voters,mean,std,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3.0,Lower,Lower,0.792,,0.987
5.0,Lower,Lower,0.592,0.0,0.966
7.0,Lower,Lower,0.808,1.156,0.975
9.0,Lower,Lower,0.605,-inf,0.949
11.0,Lower,Lower,0.863,1.515,0.976
21.0,Lower,Lower,0.853,0.833,0.965
31.0,Lower,Lower,0.858,0.923,0.964
41.0,Lower,Lower,0.955,1.486,0.987
51.0,Lower,Lower,0.864,0.565,0.953
3.0,Lower,Medium,0.743,,0.981
5.0,Lower,Medium,0.673,0.59,0.958
7.0,Lower,Medium,0.704,0.793,0.951
9.0,Lower,Medium,0.786,1.057,0.957
11.0,Lower,Medium,0.734,0.585,0.932
21.0,Lower,Medium,0.78,1.103,0.938
31.0,Lower,Medium,0.848,1.355,0.953
41.0,Lower,Medium,0.833,0.778,0.939
51.0,Lower,Medium,0.886,2.067,0.957
3.0,Lower,Upper,0.621,,0.947
5.0,Lower,Upper,0.809,1.652,0.968
7.0,Lower,Upper,0.765,0.625,0.951
9.0,Lower,Upper,0.752,0.679,0.942
11.0,Lower,Upper,0.748,0.722,0.933
21.0,Lower,Upper,0.872,1.22,0.958
31.0,Lower,Upper,0.872,0.871,0.955
41.0,Lower,Upper,0.949,4.25,0.982
51.0,Lower,Upper,0.955,1.25,0.984
3.0,Medium,Lower,1.0,,1.0
5.0,Medium,Lower,0.993,0.972,0.999
7.0,Medium,Lower,0.989,0.981,0.998
9.0,Medium,Lower,0.995,inf,0.999
11.0,Medium,Lower,0.991,0.968,0.998
21.0,Medium,Lower,0.996,1.04,0.999
31.0,Medium,Lower,0.996,1.0,0.999
41.0,Medium,Lower,1.0,inf,1.0
51.0,Medium,Lower,1.0,,1.0
3.0,Medium,Medium,0.99,,0.999
5.0,Medium,Medium,0.958,0.872,0.993
7.0,Medium,Medium,0.98,1.036,0.996
9.0,Medium,Medium,0.961,0.556,0.992
11.0,Medium,Medium,0.973,1.111,0.994
21.0,Medium,Medium,0.984,1.087,0.996
31.0,Medium,Medium,0.996,4.0,0.999
41.0,Medium,Medium,0.996,1.0,0.999
51.0,Medium,Medium,1.0,inf,1.0
3.0,Medium,Upper,0.811,,0.977
5.0,Medium,Upper,0.853,0.93,0.974
7.0,Medium,Upper,0.899,1.114,0.979
9.0,Medium,Upper,0.932,1.208,0.985
11.0,Medium,Upper,0.915,0.583,0.98
21.0,Medium,Upper,0.964,1.733,0.991
31.0,Medium,Upper,0.988,7.0,0.997
41.0,Medium,Upper,1.0,inf,1.0
51.0,Medium,Upper,1.0,,1.0
3.0,Upper,Lower,1.0,,1.0
5.0,Upper,Lower,1.0,1.0,1.0
7.0,Upper,Lower,1.0,,1.0
9.0,Upper,Lower,1.0,,1.0
11.0,Upper,Lower,1.0,,1.0
21.0,Upper,Lower,1.0,,1.0
31.0,Upper,Lower,1.0,,1.0
41.0,Upper,Lower,1.0,,1.0
51.0,Upper,Lower,1.0,,1.0
3.0,Upper,Medium,0.971,,0.998
5.0,Upper,Medium,0.976,1.0,0.998
7.0,Upper,Medium,0.988,1.5,0.999
9.0,Upper,Medium,1.0,inf,1.0
11.0,Upper,Medium,1.0,,1.0
21.0,Upper,Medium,1.0,,1.0
31.0,Upper,Medium,1.0,,1.0
41.0,Upper,Medium,1.0,,1.0
51.0,Upper,Medium,1.0,,1.0
3.0,Upper,Upper,0.879,,0.989
5.0,Upper,Upper,0.937,1.083,0.992
7.0,Upper,Upper,0.954,1.667,0.994
9.0,Upper,Upper,0.977,-2.0,0.997
11.0,Upper,Upper,0.992,1.667,0.999
21.0,Upper,Upper,1.0,inf,1.0
31.0,Upper,Upper,1.0,,1.0
41.0,Upper,Upper,1.0,,1.0
51.0,Upper,Upper,1.0,,1.0
