voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.5714285714285714,0.0785714285714285,0.588,0.947
5,0.5714285714285714,0.0785714285714285,0.472,0.917
7,0.5714285714285714,0.0785714285714285,0.549,0.91
9,0.5714285714285714,0.0785714285714285,0.538,0.901
11,0.5714285714285714,0.0785714285714285,0.477,0.865
21,0.5714285714285714,0.0785714285714285,0.608,0.875
31,0.5714285714285714,0.0785714285714285,0.711,0.897
41,0.5714285714285714,0.0785714285714285,0.704,0.887
51,0.5714285714285714,0.0785714285714285,0.739,0.9
3,0.6428571428571429,0.0785714285714285,0.714,0.969
5,0.6428571428571429,0.0785714285714285,0.805,0.966
7,0.6428571428571429,0.0785714285714285,0.872,0.976
9,0.6428571428571429,0.0785714285714285,0.822,0.957
11,0.6428571428571429,0.0785714285714285,0.819,0.951
21,0.6428571428571429,0.0785714285714285,0.909,0.971
31,0.6428571428571429,0.0785714285714285,0.922,0.973
41,0.6428571428571429,0.0785714285714285,0.953,0.984
51,0.6428571428571429,0.0785714285714285,0.955,0.984
3,0.7142857142857143,0.0785714285714285,0.956,0.994
5,0.7142857142857143,0.0785714285714285,0.942,0.991
7,0.7142857142857143,0.0785714285714285,0.932,0.987
9,0.7142857142857143,0.0785714285714285,0.952,0.989
11,0.7142857142857143,0.0785714285714285,0.955,0.989
21,0.7142857142857143,0.0785714285714285,0.993,0.998
31,0.7142857142857143,0.0785714285714285,0.99,0.997
41,0.7142857142857143,0.0785714285714285,0.993,0.998
51,0.7142857142857143,0.0785714285714285,1.0,1.0
