voters,distribution,mean,std,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.636,0.065,0.065,0.616,0.045,0.045,0.02,0.0,0.0,0.69,,0.969
5,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.682,0.111,0.111,0.648,0.077,0.077,0.034,0.016,0.023,0.693,0.696,0.95
7,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.712,0.141,0.141,0.644,0.073,0.073,0.068,-0.002,0.015,0.516,-0.133,0.904
9,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.731,0.16,0.16,0.672,0.101,0.101,0.059,0.014,0.01,0.63,1.4,0.919
11,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.748,0.177,0.177,0.705,0.134,0.134,0.043,0.016,0.009,0.756,1.778,0.943
21,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.828,0.257,0.257,0.728,0.157,0.157,0.1,0.012,0.04,0.61,0.3,0.879
31,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.882,0.311,0.311,0.788,0.217,0.217,0.094,0.03,0.027,0.697,1.111,0.893
41,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.919,0.348,0.348,0.821,0.25,0.25,0.098,0.016,0.019,0.718,0.842,0.893
51,beta,0.5714285714285714,0.0785714285714285,1000,0.5714285714285714,0.0785714285714285,0.947,0.376,0.376,0.847,0.276,0.276,0.1,0.013,0.014,0.734,0.929,0.894
3,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.703,0.06,0.06,0.699,0.056,0.056,0.004,0.0,0.0,0.933,,0.994
5,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.794,0.151,0.151,0.757,0.114,0.114,0.037,0.029,0.046,0.755,0.63,0.953
7,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.795,0.152,0.152,0.765,0.122,0.122,0.03,0.004,0.001,0.803,4.0,0.962
9,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.859,0.216,0.216,0.806,0.163,0.163,0.053,0.021,0.032,0.755,0.656,0.938
11,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.885,0.242,0.242,0.872,0.229,0.229,0.013,0.033,0.013,0.946,2.538,0.985
21,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.94,0.297,0.297,0.903,0.26,0.26,0.037,0.016,0.027,0.875,0.593,0.961
31,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.974,0.331,0.331,0.961,0.318,0.318,0.013,0.029,0.017,0.961,1.706,0.987
41,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.988,0.345,0.345,0.971,0.328,0.328,0.017,0.005,0.007,0.951,0.714,0.983
51,beta,0.6428571428571429,0.0785714285714285,1000,0.6428571428571429,0.0785714285714285,0.995,0.352,0.352,0.988,0.345,0.345,0.007,0.009,0.004,0.98,2.25,0.993
3,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.812,0.098,0.098,0.806,0.092,0.092,0.006,0.0,0.0,0.939,,0.993
5,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.878,0.164,0.164,0.861,0.147,0.147,0.017,0.027,0.033,0.896,0.818,0.981
7,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.897,0.183,0.183,0.876,0.162,0.162,0.021,0.008,0.01,0.885,0.8,0.977
9,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.944,0.23,0.23,0.923,0.209,0.209,0.021,0.024,0.023,0.909,1.043,0.978
11,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.945,0.231,0.231,0.939,0.225,0.225,0.006,0.008,0.001,0.974,8.0,0.994
21,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.989,0.275,0.275,0.979,0.265,0.265,0.01,0.02,0.022,0.964,0.909,0.99
31,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.998,0.284,0.284,0.999,0.285,0.285,-0.001,0.01,0.005,1.004,2.0,1.001
41,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,0.998,0.284,0.284,0.995,0.281,0.281,0.003,-0.002,0.0,0.989,-inf,0.997
51,beta,0.7142857142857143,0.0785714285714285,1000,0.7142857142857143,0.0785714285714285,1.0,0.286,0.286,0.999,0.285,0.285,0.001,0.002,0.001,0.996,2.0,0.999
