distribution,voters,mean,std,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
truncnorm,3.0,Lower,Lower,0.601,0.65,0.05,0.048,0.646,0.046,0.045,0.004,0.0,0.0,0.95,,0.994
truncnorm,3.0,Lower,Medium,0.62,0.691,0.091,0.071,0.677,0.077,0.057,0.014,0.0,0.0,0.812,,0.981
truncnorm,3.0,Lower,Upper,0.651,0.752,0.152,0.101,0.727,0.127,0.076,0.025,0.0,0.0,0.759,,0.967
truncnorm,3.0,Medium,Lower,0.75,0.837,0.087,0.087,0.837,0.087,0.087,0.0,0.0,0.0,1.0,,1.0
truncnorm,3.0,Medium,Medium,0.75,0.851,0.101,0.101,0.846,0.096,0.096,0.005,0.0,0.0,0.947,,0.994
truncnorm,3.0,Medium,Upper,0.75,0.863,0.113,0.113,0.843,0.093,0.093,0.02,0.0,0.0,0.83,,0.977
truncnorm,3.0,Upper,Lower,0.899,0.97,0.07,0.071,0.97,0.07,0.071,0.0,0.0,0.0,0.999,,1.0
truncnorm,3.0,Upper,Medium,0.88,0.957,0.057,0.077,0.955,0.055,0.075,0.002,0.0,0.0,0.98,,0.998
truncnorm,3.0,Upper,Upper,0.849,0.946,0.046,0.097,0.936,0.036,0.087,0.009,0.0,0.0,0.905,,0.99
truncnorm,5.0,Lower,Lower,0.601,0.679,0.079,0.077,0.674,0.074,0.073,0.004,0.014,0.014,0.941,0.775,0.994
truncnorm,5.0,Lower,Medium,0.62,0.732,0.132,0.113,0.713,0.113,0.094,0.019,0.018,0.021,0.83,0.955,0.974
truncnorm,5.0,Lower,Upper,0.651,0.795,0.195,0.144,0.764,0.164,0.113,0.031,0.019,0.022,0.789,1.016,0.961
truncnorm,5.0,Medium,Lower,0.75,0.885,0.135,0.135,0.885,0.135,0.135,0.001,0.024,0.024,0.995,0.988,0.999
truncnorm,5.0,Medium,Medium,0.75,0.897,0.147,0.147,0.885,0.135,0.135,0.012,0.019,0.023,0.926,0.882,0.987
truncnorm,5.0,Medium,Upper,0.75,0.918,0.168,0.168,0.894,0.144,0.144,0.024,0.025,0.028,0.858,0.958,0.974
truncnorm,5.0,Upper,Lower,0.899,0.989,0.089,0.09,0.988,0.088,0.09,0.0,0.01,0.01,0.999,1.045,1.0
truncnorm,5.0,Upper,Medium,0.88,0.989,0.089,0.109,0.986,0.086,0.106,0.003,0.015,0.016,0.974,0.967,0.997
truncnorm,5.0,Upper,Upper,0.849,0.983,0.083,0.134,0.973,0.073,0.124,0.01,0.018,0.019,0.929,0.995,0.99
truncnorm,7.0,Lower,Lower,0.601,0.711,0.111,0.11,0.709,0.109,0.107,0.002,0.017,0.016,0.97,1.106,0.996
truncnorm,7.0,Lower,Medium,0.62,0.772,0.172,0.152,0.744,0.144,0.124,0.028,0.016,0.02,0.813,0.8,0.964
truncnorm,7.0,Lower,Upper,0.651,0.836,0.236,0.185,0.797,0.197,0.146,0.039,0.017,0.02,0.79,0.799,0.954
truncnorm,7.0,Medium,Lower,0.75,0.919,0.169,0.169,0.918,0.168,0.168,0.001,0.017,0.017,0.992,0.986,0.999
truncnorm,7.0,Medium,Medium,0.75,0.941,0.191,0.191,0.933,0.183,0.183,0.008,0.024,0.022,0.958,1.109,0.991
truncnorm,7.0,Medium,Upper,0.75,0.95,0.2,0.2,0.926,0.176,0.176,0.023,0.016,0.016,0.884,1.122,0.975
truncnorm,7.0,Upper,Lower,0.899,0.996,0.096,0.097,0.995,0.095,0.097,0.0,0.004,0.004,0.999,1.033,1.0
truncnorm,7.0,Upper,Medium,0.88,0.996,0.096,0.116,0.995,0.095,0.115,0.001,0.005,0.004,0.991,1.344,0.999
truncnorm,7.0,Upper,Upper,0.849,0.992,0.092,0.143,0.986,0.086,0.137,0.007,0.007,0.005,0.957,1.409,0.993
truncnorm,9.0,Lower,Lower,0.601,0.737,0.137,0.135,0.73,0.13,0.129,0.006,0.011,0.013,0.935,-inf,0.99
truncnorm,9.0,Lower,Medium,0.62,0.801,0.201,0.181,0.773,0.173,0.153,0.028,0.014,0.015,0.846,0.691,0.965
truncnorm,9.0,Lower,Upper,0.651,0.875,0.275,0.224,0.826,0.226,0.175,0.049,0.015,0.02,0.782,0.796,0.944
truncnorm,9.0,Medium,Lower,0.75,0.942,0.192,0.192,0.941,0.191,0.191,0.0,0.012,0.011,0.999,1.035,1.0
truncnorm,9.0,Medium,Medium,0.75,0.952,0.202,0.202,0.944,0.194,0.194,0.008,0.006,0.006,0.964,0.655,0.992
truncnorm,9.0,Medium,Upper,0.75,0.967,0.217,0.217,0.951,0.201,0.201,0.017,0.012,0.009,0.925,1.823,0.983
truncnorm,9.0,Upper,Lower,0.899,0.997,0.097,0.099,0.997,0.097,0.099,0.0,0.001,0.001,1.0,0.778,1.0
truncnorm,9.0,Upper,Medium,0.88,0.998,0.098,0.117,0.997,0.097,0.117,0.0,0.001,0.001,0.997,,1.0
truncnorm,9.0,Upper,Upper,0.849,0.996,0.096,0.147,0.992,0.092,0.143,0.004,0.003,0.002,0.973,inf,0.996
truncnorm,11.0,Lower,Lower,0.601,0.754,0.154,0.152,0.747,0.147,0.146,0.006,0.009,0.009,0.951,0.763,0.991
truncnorm,11.0,Lower,Medium,0.62,0.823,0.223,0.203,0.792,0.192,0.172,0.03,0.01,0.011,0.849,0.879,0.963
truncnorm,11.0,Lower,Upper,0.651,0.889,0.289,0.238,0.843,0.243,0.192,0.046,0.009,0.007,0.807,0.83,0.948
truncnorm,11.0,Medium,Lower,0.75,0.957,0.207,0.207,0.958,0.208,0.208,-0.001,0.009,0.008,1.005,1.058,1.001
truncnorm,11.0,Medium,Medium,0.75,0.968,0.218,0.218,0.959,0.209,0.209,0.009,0.008,0.008,0.962,1.343,0.991
truncnorm,11.0,Medium,Upper,0.75,0.978,0.228,0.228,0.958,0.208,0.208,0.019,0.004,0.006,0.917,0.889,0.98
truncnorm,11.0,Upper,Lower,0.899,0.998,0.098,0.1,0.999,0.099,0.1,-0.0,0.001,0.001,1.001,0.75,1.0
truncnorm,11.0,Upper,Medium,0.88,0.999,0.099,0.119,0.998,0.098,0.118,0.0,0.001,0.001,0.997,0.778,1.0
truncnorm,11.0,Upper,Upper,0.849,0.999,0.099,0.15,0.997,0.097,0.148,0.002,0.003,0.002,0.987,inf,0.998
truncnorm,21.0,Lower,Lower,0.601,0.829,0.229,0.228,0.82,0.22,0.218,0.01,0.036,0.038,0.954,0.955,0.988
truncnorm,21.0,Lower,Medium,0.62,0.896,0.296,0.276,0.861,0.261,0.242,0.035,0.035,0.037,0.871,0.974,0.961
truncnorm,21.0,Lower,Upper,0.651,0.959,0.359,0.308,0.924,0.324,0.273,0.035,0.04,0.035,0.888,1.185,0.964
truncnorm,21.0,Medium,Lower,0.75,0.99,0.24,0.24,0.99,0.24,0.24,-0.0,0.016,0.016,1.002,0.983,1.0
truncnorm,21.0,Medium,Medium,0.75,0.994,0.244,0.244,0.99,0.24,0.24,0.005,0.015,0.013,0.983,1.216,0.995
truncnorm,21.0,Medium,Upper,0.75,0.997,0.247,0.247,0.992,0.242,0.242,0.004,0.017,0.01,0.983,1.921,0.996
truncnorm,21.0,Upper,Lower,0.899,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.001,0.001,1.0,0.9,1.0
truncnorm,21.0,Upper,Medium,0.88,1.0,0.1,0.12,1.0,0.1,0.12,0.0,0.001,0.001,0.999,inf,1.0
truncnorm,21.0,Upper,Upper,0.849,1.0,0.1,0.151,1.0,0.1,0.151,0.0,0.002,0.001,0.999,inf,1.0
truncnorm,31.0,Lower,Lower,0.601,0.858,0.258,0.256,0.842,0.242,0.24,0.016,0.011,0.015,0.923,0.773,0.98
truncnorm,31.0,Lower,Medium,0.62,0.927,0.327,0.307,0.897,0.297,0.277,0.03,0.018,0.016,0.898,1.581,0.967
truncnorm,31.0,Lower,Upper,0.651,0.98,0.38,0.329,0.954,0.354,0.303,0.026,0.015,0.011,0.922,1.505,0.974
