voters,mean,std,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3.0,Lower,Lower,0.792,,0.987
5.0,Lower,Lower,0.592,0.0,0.966
7.0,Lower,Lower,0.808,1.188,0.975
9.0,Lower,Lower,0.605,-inf,0.949
11.0,Lower,Lower,0.863,1.471,0.976
21.0,Lower,Lower,0.853,0.833,0.965
31.0,Lower,Lower,0.858,0.857,0.964
41.0,Lower,Lower,0.955,1.444,0.987
51.0,Lower,Lower,0.864,0.588,0.953
3.0,Lower,Medium,0.743,,0.981
5.0,Lower,Medium,0.673,0.6,0.958
7.0,Lower,Medium,0.704,0.857,0.951
9.0,Lower,Medium,0.786,1.0,0.957
11.0,Lower,Medium,0.734,0.593,0.932
21.0,Lower,Medium,0.78,1.143,0.938
31.0,Lower,Medium,0.848,1.312,0.953
41.0,Lower,Medium,0.833,0.778,0.939
51.0,Lower,Medium,0.886,2.0,0.957
3.0,Lower,Upper,0.621,,0.947
5.0,Lower,Upper,0.809,1.583,0.968
7.0,Lower,Upper,0.765,0.65,0.951
9.0,Lower,Upper,0.752,0.714,0.942
11.0,Lower,Upper,0.748,0.722,0.933
21.0,Lower,Upper,0.872,1.22,0.958
31.0,Lower,Upper,0.872,0.875,0.955
41.0,Lower,Upper,0.949,4.25,0.982
51.0,Lower,Upper,0.955,1.25,0.984
3.0,Medium,Lower,1.0,,1.0
5.0,Medium,Lower,0.993,1.0,0.999
7.0,Medium,Lower,0.989,1.0,0.998
9.0,Medium,Lower,0.995,,0.999
11.0,Medium,Lower,0.991,0.938,0.998
21.0,Medium,Lower,0.996,1.0,0.999
31.0,Medium,Lower,0.996,1.0,0.999
41.0,Medium,Lower,1.0,inf,1.0
51.0,Medium,Lower,1.0,,1.0
3.0,Medium,Medium,0.99,,0.999
5.0,Medium,Medium,0.958,0.85,0.993
7.0,Medium,Medium,0.98,1.036,0.996
9.0,Medium,Medium,0.961,0.6,0.992
11.0,Medium,Medium,0.973,1.111,0.994
21.0,Medium,Medium,0.984,1.083,0.996
31.0,Medium,Medium,0.996,2.0,0.999
41.0,Medium,Medium,0.996,1.0,0.999
51.0,Medium,Medium,1.0,inf,1.0
3.0,Medium,Upper,0.811,,0.977
5.0,Medium,Upper,0.853,0.931,0.974
7.0,Medium,Upper,0.899,1.176,0.979
9.0,Medium,Upper,0.932,1.167,0.985
11.0,Medium,Upper,0.915,0.667,0.98
21.0,Medium,Upper,0.964,1.625,0.991
31.0,Medium,Upper,0.988,4.0,0.997
41.0,Medium,Upper,1.0,inf,1.0
51.0,Medium,Upper,1.0,,1.0
3.0,Upper,Lower,1.0,,1.0
5.0,Upper,Lower,1.0,1.0,1.0
7.0,Upper,Lower,1.0,,1.0
9.0,Upper,Lower,1.0,,1.0
11.0,Upper,Lower,1.0,,1.0
21.0,Upper,Lower,1.0,,1.0
31.0,Upper,Lower,1.0,,1.0
41.0,Upper,Lower,1.0,,1.0
51.0,Upper,Lower,1.0,,1.0
3.0,Upper,Medium,0.971,,0.998
5.0,Upper,Medium,0.976,1.0,0.998
7.0,Upper,Medium,0.988,2.0,0.999
9.0,Upper,Medium,1.0,inf,1.0
11.0,Upper,Medium,1.0,,1.0
21.0,Upper,Medium,1.0,,1.0
31.0,Upper,Medium,1.0,,1.0
41.0,Upper,Medium,1.0,,1.0
51.0,Upper,Medium,1.0,,1.0
3.0,Upper,Upper,0.879,,0.989
5.0,Upper,Upper,0.937,1.111,0.992
7.0,Upper,Upper,0.954,1.5,0.994
9.0,Upper,Upper,0.977,-1.0,0.997
11.0,Upper,Upper,0.992,1.5,0.999
21.0,Upper,Upper,1.0,inf,1.0
31.0,Upper,Upper,1.0,,1.0
41.0,Upper,Upper,1.0,,1.0
51.0,Upper,Upper,1.0,,1.0
