distribution,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
truncnorm,3.0,0.55,0.02,1000.0,0.550399601364754,0.558,0.008,0.007600398635246,0.56,0.01,0.009600398635246,-0.002,0.0,0.0,1.263,,1.004
truncnorm,5.0,0.55,0.02,1000.0,0.550399601364754,0.6,0.0499999999999999,0.049600398635246,0.594,0.0439999999999999,0.043600398635246,0.006,0.017,0.021,0.879,0.81,0.99
truncnorm,7.0,0.55,0.02,1000.0,0.550399601364754,0.623,0.0729999999999999,0.072600398635246,0.634,0.0839999999999999,0.083600398635246,-0.011,0.02,0.012,1.152,1.667,1.018
truncnorm,9.0,0.55,0.02,1000.0,0.550399601364754,0.651,0.1009999999999999,0.100600398635246,0.637,0.0869999999999999,0.086600398635246,0.014,0.002,0.014,0.861,0.143,0.978
truncnorm,11.0,0.55,0.02,1000.0,0.550399601364754,0.636,0.0859999999999999,0.085600398635246,0.638,0.0879999999999999,0.087600398635246,-0.002,0.001,-0.008,1.023,-0.125,1.003
truncnorm,21.0,0.55,0.02,1000.0,0.550399601364754,0.688,0.1379999999999999,0.1376003986352459,0.69,0.1399999999999999,0.1396003986352459,-0.002,0.026,0.026,1.015,1.0,1.003
truncnorm,31.0,0.55,0.02,1000.0,0.550399601364754,0.713,0.1629999999999999,0.162600398635246,0.678,0.128,0.127600398635246,0.035,-0.006,0.013,0.785,-0.462,0.951
truncnorm,41.0,0.55,0.02,1000.0,0.550399601364754,0.771,0.2209999999999999,0.220600398635246,0.756,0.2059999999999999,0.205600398635246,0.015,0.039,0.029,0.932,1.345,0.981
truncnorm,51.0,0.55,0.02,1000.0,0.550399601364754,0.791,0.241,0.240600398635246,0.774,0.2239999999999999,0.223600398635246,0.017,0.009,0.01,0.929,0.9,0.979
truncnorm,3.0,0.55,0.03,1000.0,0.5533231948878277,0.621,0.0709999999999999,0.0676768051121723,0.598,0.0479999999999999,0.0446768051121723,0.023,0.0,0.0,0.66,,0.963
truncnorm,5.0,0.55,0.03,1000.0,0.5533231948878277,0.591,0.0409999999999999,0.0376768051121723,0.597,0.0469999999999999,0.0436768051121723,-0.006,-0.001,-0.015,1.159,0.067,1.01
truncnorm,7.0,0.55,0.03,1000.0,0.5533231948878277,0.629,0.0789999999999999,0.0756768051121723,0.613,0.0629999999999999,0.0596768051121723,0.016,0.008,0.019,0.789,0.421,0.975
truncnorm,9.0,0.55,0.03,1000.0,0.5533231948878277,0.639,0.0889999999999999,0.0856768051121723,0.642,0.0919999999999999,0.0886768051121723,-0.003,0.015,0.005,1.035,3.0,1.005
truncnorm,11.0,0.55,0.03,1000.0,0.5533231948878277,0.674,0.124,0.1206768051121723,0.656,0.1059999999999999,0.1026768051121723,0.018,0.007,0.018,0.851,0.389,0.973
truncnorm,21.0,0.55,0.03,1000.0,0.5533231948878277,0.725,0.1749999999999999,0.1716768051121723,0.703,0.1529999999999999,0.1496768051121723,0.022,0.023,0.025,0.872,0.92,0.97
truncnorm,31.0,0.55,0.03,1000.0,0.5533231948878277,0.754,0.2039999999999999,0.2006768051121723,0.72,0.1699999999999999,0.1666768051121723,0.034,0.009,0.015,0.831,0.6,0.955
truncnorm,41.0,0.55,0.03,1000.0,0.5533231948878277,0.792,0.242,0.2386768051121723,0.756,0.2059999999999999,0.2026768051121723,0.036,0.018,0.019,0.849,0.947,0.955
truncnorm,51.0,0.55,0.03,1000.0,0.5533231948878277,0.818,0.2679999999999999,0.2646768051121723,0.779,0.2289999999999999,0.2256768051121723,0.039,0.012,0.013,0.853,0.923,0.952
truncnorm,3.0,0.55,0.04,1000.0,0.5584696183361306,0.597,0.0469999999999999,0.0385303816638693,0.589,0.0389999999999999,0.0305303816638693,0.008,0.0,0.0,0.792,,0.987
truncnorm,5.0,0.55,0.04,1000.0,0.5584696183361306,0.61,0.0599999999999999,0.0515303816638693,0.589,0.0389999999999999,0.0305303816638693,0.021,0.0,0.007,0.592,0.0,0.966
truncnorm,7.0,0.55,0.04,1000.0,0.5584696183361306,0.642,0.0919999999999999,0.0835303816638693,0.626,0.0759999999999999,0.0675303816638693,0.016,0.019,0.016,0.808,1.188,0.975
truncnorm,9.0,0.55,0.04,1000.0,0.5584696183361306,0.642,0.0919999999999999,0.0835303816638693,0.609,0.0589999999999999,0.0505303816638693,0.033,-0.009,0.0,0.605,-inf,0.949
truncnorm,11.0,0.55,0.04,1000.0,0.5584696183361306,0.675,0.125,0.1165303816638694,0.659,0.1089999999999999,0.1005303816638694,0.016,0.025,0.017,0.863,1.471,0.976
truncnorm,21.0,0.55,0.04,1000.0,0.5584696183361306,0.735,0.1849999999999999,0.1765303816638693,0.709,0.1589999999999999,0.1505303816638693,0.026,0.025,0.03,0.853,0.833,0.965
truncnorm,31.0,0.55,0.04,1000.0,0.5584696183361306,0.748,0.1979999999999999,0.1895303816638693,0.721,0.1709999999999999,0.1625303816638693,0.027,0.006,0.007,0.858,0.857,0.964
truncnorm,41.0,0.55,0.04,1000.0,0.5584696183361306,0.783,0.2329999999999999,0.2245303816638694,0.773,0.2229999999999999,0.2145303816638694,0.01,0.026,0.018,0.955,1.444,0.987
truncnorm,51.0,0.55,0.04,1000.0,0.5584696183361306,0.852,0.3019999999999999,0.2935303816638693,0.812,0.262,0.2535303816638694,0.04,0.02,0.034,0.864,0.588,0.953
truncnorm,3.0,0.55,0.07,1000.0,0.5788347324891652,0.617,0.0669999999999999,0.0381652675108348,0.605,0.0549999999999999,0.0261652675108348,0.012,0.0,0.0,0.686,,0.981
truncnorm,5.0,0.55,0.07,1000.0,0.5788347324891652,0.665,0.1149999999999999,0.0861652675108348,0.649,0.0989999999999999,0.0701652675108348,0.016,0.022,0.024,0.814,0.917,0.976
truncnorm,7.0,0.55,0.07,1000.0,0.5788347324891652,0.71,0.1599999999999999,0.1311652675108348,0.68,0.13,0.1011652675108348,0.03,0.016,0.022,0.771,0.727,0.958
truncnorm,9.0,0.55,0.07,1000.0,0.5788347324891652,0.702,0.1519999999999999,0.1231652675108347,0.691,0.1409999999999999,0.1121652675108347,0.011,0.005,-0.004,0.911,-1.25,0.984
truncnorm,11.0,0.55,0.07,1000.0,0.5788347324891652,0.726,0.1759999999999999,0.1471652675108348,0.715,0.1649999999999999,0.1361652675108348,0.011,0.012,0.012,0.925,1.0,0.985
truncnorm,21.0,0.55,0.07,1000.0,0.5788347324891652,0.817,0.2669999999999999,0.2381652675108347,0.776,0.2259999999999999,0.1971652675108348,0.041,0.031,0.045,0.828,0.689,0.95
truncnorm,31.0,0.55,0.07,1000.0,0.5788347324891652,0.855,0.3049999999999999,0.2761652675108348,0.796,0.246,0.2171652675108348,0.059,0.01,0.019,0.786,0.526,0.931
truncnorm,41.0,0.55,0.07,1000.0,0.5788347324891652,0.884,0.3339999999999999,0.3051652675108348,0.843,0.2929999999999999,0.2641652675108348,0.041,0.023,0.015,0.866,1.533,0.954
truncnorm,51.0,0.55,0.07,1000.0,0.5788347324891652,0.912,0.362,0.3331652675108348,0.876,0.3259999999999999,0.2971652675108348,0.036,0.017,0.014,0.892,1.214,0.961
truncnorm,3.0,0.55,0.08,1000.0,0.5862472077293333,0.633,0.0829999999999999,0.0467527922706667,0.621,0.0709999999999999,0.0347527922706667,0.012,0.0,0.0,0.743,,0.981
truncnorm,5.0,0.55,0.08,1000.0,0.5862472077293333,0.672,0.122,0.0857527922706667,0.644,0.0939999999999999,0.0577527922706667,0.028,0.012,0.02,0.673,0.6,0.958
truncnorm,7.0,0.55,0.08,1000.0,0.5862472077293333,0.701,0.1509999999999999,0.1147527922706667,0.667,0.1169999999999999,0.0807527922706667,0.034,0.012,0.014,0.704,0.857,0.951
truncnorm,9.0,0.55,0.08,1000.0,0.5862472077293333,0.736,0.1859999999999999,0.1497527922706667,0.704,0.1539999999999999,0.1177527922706667,0.032,0.018,0.018,0.786,1.0,0.957
truncnorm,11.0,0.55,0.08,1000.0,0.5862472077293333,0.789,0.239,0.2027527922706667,0.735,0.1849999999999999,0.1487527922706667,0.054,0.016,0.027,0.734,0.593,0.932
truncnorm,21.0,0.55,0.08,1000.0,0.5862472077293333,0.818,0.2679999999999999,0.2317527922706667,0.767,0.2169999999999999,0.1807527922706667,0.051,0.016,0.014,0.78,1.143,0.938
truncnorm,31.0,0.55,0.08,1000.0,0.5862472077293333,0.849,0.2989999999999999,0.2627527922706667,0.809,0.259,0.2227527922706668,0.04,0.021,0.016,0.848,1.312,0.953
truncnorm,41.0,0.55,0.08,1000.0,0.5862472077293333,0.921,0.371,0.3347527922706668,0.865,0.3149999999999999,0.2787527922706667,0.056,0.028,0.036,0.833,0.778,0.939
truncnorm,51.0,0.55,0.08,1000.0,0.5862472077293333,0.936,0.386,0.3497527922706668,0.896,0.346,0.3097527922706667,0.04,0.016,0.008,0.886,2.0,0.957
truncnorm,3.0,0.55,0.09,1000.0,0.5937931619750162,0.65,0.0999999999999999,0.0562068380249838,0.653,0.1029999999999999,0.0592068380249838,-0.003,0.0,0.0,1.053,,1.005
truncnorm,5.0,0.55,0.09,1000.0,0.5937931619750162,0.699,0.1489999999999999,0.1052068380249837,0.675,0.125,0.0812068380249838,0.024,0.011,0.024,0.772,0.458,0.966
truncnorm,7.0,0.55,0.09,1000.0,0.5937931619750162,0.726,0.1759999999999999,0.1322068380249837,0.701,0.1509999999999999,0.1072068380249837,0.025,0.013,0.014,0.811,0.929,0.966
truncnorm,9.0,0.55,0.09,1000.0,0.5937931619750162,0.762,0.2119999999999999,0.1682068380249838,0.731,0.1809999999999999,0.1372068380249838,0.031,0.015,0.018,0.816,0.833,0.959
truncnorm,11.0,0.55,0.09,1000.0,0.5937931619750162,0.784,0.2339999999999999,0.1902068380249838,0.752,0.2019999999999999,0.1582068380249838,0.032,0.011,0.011,0.832,1.0,0.959
truncnorm,21.0,0.55,0.09,1000.0,0.5937931619750162,0.861,0.3109999999999999,0.2672068380249838,0.818,0.2679999999999999,0.2242068380249837,0.043,0.033,0.038,0.839,0.868,0.95
