distribution,voters,mean,std,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
"TruncNorm[0.001,0.999]",3,Lower,Lower,0.6,0.03,0.65,0.05,0.05,0.645,0.045,0.045,0.006,0.0,0.0,0.874,,0.991
"TruncNorm[0.001,0.999]",3,Lower,Medium,0.585,0.159,0.757,0.157,0.172,0.626,0.026,0.041,0.131,0.0,0.0,0.333,,0.834
"TruncNorm[0.001,0.999]",3,Lower,Upper,0.508,0.283,0.879,0.279,0.37,0.52,-0.08,0.012,0.359,0.0,0.0,0.032,,0.592
"TruncNorm[0.001,0.999]",3,Medium,Lower,0.75,0.03,0.836,0.086,0.086,0.836,0.086,0.086,0.0,0.0,0.0,0.998,,1.0
"TruncNorm[0.001,0.999]",3,Medium,Medium,0.705,0.149,0.86,0.11,0.155,0.789,0.039,0.083,0.072,0.0,0.0,0.605,,0.916
"TruncNorm[0.001,0.999]",3,Medium,Upper,0.521,0.282,0.881,0.131,0.361,0.538,-0.212,0.018,0.343,0.0,0.0,0.051,,0.611
"TruncNorm[0.001,0.999]",3,Upper,Lower,0.898,0.029,0.967,0.067,0.069,0.967,0.067,0.069,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.001,0.999]",3,Upper,Medium,0.805,0.129,0.927,0.027,0.122,0.889,-0.011,0.085,0.037,0.0,0.0,0.768,,0.958
"TruncNorm[0.001,0.999]",3,Upper,Upper,0.533,0.281,0.88,-0.02,0.347,0.551,-0.349,0.018,0.329,0.0,0.0,0.056,,0.627
"TruncNorm[0.001,0.999]",5,Lower,Lower,0.6,0.03,0.684,0.084,0.084,0.679,0.079,0.079,0.004,0.017,0.017,0.94,0.847,0.993
"TruncNorm[0.001,0.999]",5,Lower,Medium,0.585,0.159,0.818,0.218,0.233,0.662,0.062,0.077,0.156,0.018,0.03,0.405,0.625,0.817
"TruncNorm[0.001,0.999]",5,Lower,Upper,0.508,0.283,0.936,0.336,0.427,0.524,-0.076,0.015,0.412,0.002,0.029,0.037,0.032,0.56
"TruncNorm[0.001,0.999]",5,Medium,Lower,0.75,0.03,0.894,0.144,0.144,0.893,0.143,0.143,0.0,0.029,0.029,0.997,0.994,1.0
