voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,Lower,Lower,0.55,0.04,0.555,0.0,0.005,0.588,0.033
5,Lower,Lower,0.55,0.04,0.613,0.029,0.063,0.625,0.012
7,Lower,Lower,0.55,0.04,0.621,0.004,0.071,0.649,0.028
9,Lower,Lower,0.55,0.04,0.615,-0.003,0.065,0.665,0.05
11,Lower,Lower,0.55,0.04,0.633,0.009,0.083,0.675,0.042
21,Lower,Lower,0.55,0.04,0.679,0.023,0.129,0.728,0.049
31,Lower,Lower,0.55,0.04,0.717,0.019,0.167,0.764,0.047
41,Lower,Lower,0.55,0.04,0.73,0.007,0.18,0.806,0.076
51,Lower,Lower,0.55,0.04,0.765,0.018,0.215,0.812,0.047
3,Lower,Medium,0.549,0.158,0.602,0.0,0.053,0.711,0.109
5,Lower,Medium,0.549,0.158,0.615,0.007,0.066,0.783,0.168
7,Lower,Medium,0.549,0.158,0.597,-0.009,0.048,0.841,0.244
9,Lower,Medium,0.549,0.158,0.607,0.005,0.058,0.858,0.251
11,Lower,Medium,0.549,0.158,0.618,0.006,0.069,0.868,0.25
21,Lower,Medium,0.549,0.158,0.694,0.038,0.145,0.954,0.26
31,Lower,Medium,0.549,0.158,0.699,0.003,0.15,0.978,0.279
41,Lower,Medium,0.549,0.158,0.747,0.024,0.198,0.988,0.241
51,Lower,Medium,0.549,0.158,0.781,0.017,0.232,0.992,0.211
3,Lower,Upper,0.509,0.276,0.518,0.0,0.009,0.886,0.368
5,Lower,Upper,0.509,0.276,0.517,-0.001,0.008,0.922,0.405
7,Lower,Upper,0.509,0.276,0.528,0.006,0.019,0.958,0.43
9,Lower,Upper,0.509,0.276,0.547,0.01,0.038,0.978,0.431
11,Lower,Upper,0.509,0.276,0.543,-0.002,0.034,0.985,0.442
21,Lower,Upper,0.509,0.276,0.496,-0.024,-0.013,0.999,0.503
31,Lower,Upper,0.509,0.276,0.537,0.021,0.028,0.999,0.462
41,Lower,Upper,0.509,0.276,0.545,0.004,0.036,1.0,0.455
51,Lower,Upper,0.509,0.276,0.554,0.005,0.045,1.0,0.446
3,Medium,Lower,0.75,0.04,0.847,0.0,0.097,0.848,0.001
5,Medium,Lower,0.75,0.04,0.91,0.032,0.16,0.911,0.001
7,Medium,Lower,0.75,0.04,0.925,0.008,0.175,0.926,0.001
9,Medium,Lower,0.75,0.04,0.962,0.018,0.212,0.961,-0.001
11,Medium,Lower,0.75,0.04,0.961,-0.001,0.211,0.96,-0.001
21,Medium,Lower,0.75,0.04,0.999,0.019,0.249,0.998,-0.001
31,Medium,Lower,0.75,0.04,0.999,0.0,0.249,0.999,0.0
41,Medium,Lower,0.75,0.04,1.0,0.001,0.25,0.999,-0.001
51,Medium,Lower,0.75,0.04,1.0,0.0,0.25,1.0,0.0
3,Medium,Medium,0.73,0.142,0.803,0.0,0.073,0.866,0.063
5,Medium,Medium,0.73,0.142,0.883,0.04,0.153,0.922,0.039
7,Medium,Medium,0.73,0.142,0.895,0.006,0.165,0.945,0.05
9,Medium,Medium,0.73,0.142,0.929,0.017,0.199,0.975,0.046
11,Medium,Medium,0.73,0.142,0.942,0.006,0.212,0.983,0.041
21,Medium,Medium,0.73,0.142,0.989,0.024,0.259,0.996,0.007
31,Medium,Medium,0.73,0.142,0.999,0.005,0.269,1.0,0.001
41,Medium,Medium,0.73,0.142,0.998,-0.001,0.268,1.0,0.002
51,Medium,Medium,0.73,0.142,1.0,0.001,0.27,1.0,0.0
3,Medium,Upper,0.546,0.274,0.579,0.0,0.033,0.876,0.297
5,Medium,Upper,0.546,0.274,0.596,0.009,0.05,0.92,0.324
7,Medium,Upper,0.546,0.274,0.587,-0.005,0.041,0.96,0.373
9,Medium,Upper,0.546,0.274,0.6,0.007,0.054,0.973,0.373
11,Medium,Upper,0.546,0.274,0.602,0.001,0.056,0.981,0.379
21,Medium,Upper,0.546,0.274,0.656,0.027,0.11,1.0,0.344
31,Medium,Upper,0.546,0.274,0.713,0.028,0.167,1.0,0.287
41,Medium,Upper,0.546,0.274,0.734,0.011,0.188,1.0,0.266
51,Medium,Upper,0.546,0.274,0.757,0.012,0.211,1.0,0.243
3,Upper,Lower,0.942,0.033,0.986,0.0,0.044,0.986,0.0
5,Upper,Lower,0.942,0.033,1.0,0.007,0.058,1.0,0.0
7,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
9,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
11,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
21,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
31,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
41,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
51,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
3,Upper,Medium,0.852,0.106,0.953,0.0,0.101,0.96,0.007
5,Upper,Medium,0.852,0.106,0.979,0.013,0.127,0.984,0.005
7,Upper,Medium,0.852,0.106,0.985,0.003,0.133,0.993,0.008
9,Upper,Medium,0.852,0.106,0.997,0.006,0.145,0.998,0.001
11,Upper,Medium,0.852,0.106,0.996,-0.001,0.144,0.997,0.001
21,Upper,Medium,0.852,0.106,1.0,0.002,0.148,1.0,0.0
31,Upper,Medium,0.852,0.106,1.0,0.0,0.148,1.0,0.0
41,Upper,Medium,0.852,0.106,1.0,0.0,0.148,1.0,0.0
51,Upper,Medium,0.852,0.106,1.0,0.0,0.148,1.0,0.0
3,Upper,Upper,0.583,0.27,0.632,0.0,0.049,0.875,0.243
5,Upper,Upper,0.583,0.27,0.65,0.009,0.067,0.921,0.271
7,Upper,Upper,0.583,0.27,0.664,0.007,0.081,0.962,0.298
9,Upper,Upper,0.583,0.27,0.697,0.016,0.114,0.974,0.277
11,Upper,Upper,0.583,0.27,0.675,-0.011,0.092,0.989,0.314
21,Upper,Upper,0.583,0.27,0.791,0.058,0.208,0.998,0.207
31,Upper,Upper,0.583,0.27,0.821,0.015,0.238,1.0,0.179
41,Upper,Upper,0.583,0.27,0.859,0.019,0.276,1.0,0.141
51,Upper,Upper,0.583,0.27,0.897,0.019,0.314,1.0,0.103
3,Lower,Lower,0.558,0.033,0.575,0.0,0.017,0.571,-0.004
5,Lower,Lower,0.558,0.033,0.609,0.017,0.051,0.604,-0.005
7,Lower,Lower,0.558,0.033,0.624,0.008,0.066,0.607,-0.017
9,Lower,Lower,0.558,0.033,0.673,0.025,0.115,0.678,0.005
11,Lower,Lower,0.558,0.033,0.658,-0.008,0.1,0.689,0.031
21,Lower,Lower,0.558,0.033,0.727,0.034,0.169,0.744,0.017
31,Lower,Lower,0.558,0.033,0.752,0.013,0.194,0.788,0.036
41,Lower,Lower,0.558,0.033,0.774,0.011,0.216,0.791,0.017
51,Lower,Lower,0.558,0.033,0.788,0.007,0.23,0.828,0.04
3,Lower,Medium,0.647,0.103,0.719,0.0,0.072,0.751,0.032
5,Lower,Medium,0.647,0.103,0.739,0.01,0.092,0.791,0.052
7,Lower,Medium,0.647,0.103,0.785,0.023,0.138,0.838,0.053
9,Lower,Medium,0.647,0.103,0.827,0.021,0.18,0.87,0.043
11,Lower,Medium,0.647,0.103,0.848,0.011,0.201,0.893,0.045
21,Lower,Medium,0.647,0.103,0.917,0.035,0.27,0.96,0.043
31,Lower,Medium,0.647,0.103,0.943,0.013,0.296,0.984,0.041
