voters,mean,std,ratio_difference_to_mean,ratio_correct
3.0,Lower,Lower,0.795,0.987
5.0,Lower,Lower,0.596,0.966
7.0,Lower,Lower,0.81,0.975
9.0,Lower,Lower,0.607,0.949
11.0,Lower,Lower,0.863,0.976
21.0,Lower,Lower,0.853,0.965
31.0,Lower,Lower,0.858,0.964
41.0,Lower,Lower,0.956,0.987
51.0,Lower,Lower,0.864,0.953
3.0,Lower,Medium,0.745,0.981
5.0,Lower,Medium,0.674,0.958
7.0,Lower,Medium,0.704,0.951
9.0,Lower,Medium,0.787,0.957
11.0,Lower,Medium,0.734,0.932
21.0,Lower,Medium,0.78,0.938
31.0,Lower,Medium,0.848,0.953
41.0,Lower,Medium,0.833,0.939
51.0,Lower,Medium,0.886,0.957
3.0,Lower,Upper,0.621,0.947
5.0,Lower,Upper,0.81,0.968
7.0,Lower,Upper,0.765,0.951
9.0,Lower,Upper,0.753,0.942
11.0,Lower,Upper,0.748,0.933
21.0,Lower,Upper,0.872,0.958
31.0,Lower,Upper,0.872,0.955
41.0,Lower,Upper,0.949,0.982
51.0,Lower,Upper,0.955,0.984
3.0,Medium,Lower,1.0,1.0
5.0,Medium,Lower,0.993,0.999
7.0,Medium,Lower,0.989,0.998
9.0,Medium,Lower,0.995,0.999
11.0,Medium,Lower,0.991,0.998
21.0,Medium,Lower,0.996,0.999
31.0,Medium,Lower,0.996,0.999
41.0,Medium,Lower,1.0,1.0
51.0,Medium,Lower,1.0,1.0
3.0,Medium,Medium,0.99,0.999
5.0,Medium,Medium,0.958,0.993
7.0,Medium,Medium,0.98,0.996
9.0,Medium,Medium,0.961,0.992
11.0,Medium,Medium,0.973,0.994
21.0,Medium,Medium,0.984,0.996
31.0,Medium,Medium,0.996,0.999
41.0,Medium,Medium,0.996,0.999
51.0,Medium,Medium,1.0,1.0
3.0,Medium,Upper,0.811,0.977
5.0,Medium,Upper,0.853,0.974
7.0,Medium,Upper,0.899,0.979
9.0,Medium,Upper,0.932,0.985
11.0,Medium,Upper,0.915,0.98
21.0,Medium,Upper,0.964,0.991
31.0,Medium,Upper,0.988,0.997
41.0,Medium,Upper,1.0,1.0
51.0,Medium,Upper,1.0,1.0
3.0,Upper,Lower,1.0,1.0
5.0,Upper,Lower,1.0,1.0
7.0,Upper,Lower,1.0,1.0
9.0,Upper,Lower,1.0,1.0
11.0,Upper,Lower,1.0,1.0
21.0,Upper,Lower,1.0,1.0
31.0,Upper,Lower,1.0,1.0
41.0,Upper,Lower,1.0,1.0
51.0,Upper,Lower,1.0,1.0
3.0,Upper,Medium,0.971,0.998
5.0,Upper,Medium,0.976,0.998
7.0,Upper,Medium,0.988,0.999
9.0,Upper,Medium,1.0,1.0
11.0,Upper,Medium,1.0,1.0
21.0,Upper,Medium,1.0,1.0
31.0,Upper,Medium,1.0,1.0
41.0,Upper,Medium,1.0,1.0
51.0,Upper,Medium,1.0,1.0
3.0,Upper,Upper,0.879,0.989
5.0,Upper,Upper,0.937,0.992
7.0,Upper,Upper,0.954,0.994
9.0,Upper,Upper,0.977,0.997
11.0,Upper,Upper,0.992,0.999
21.0,Upper,Upper,1.0,1.0
31.0,Upper,Upper,1.0,1.0
41.0,Upper,Upper,1.0,1.0
51.0,Upper,Upper,1.0,1.0
