,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
9,3,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.588,0.038,0.038,0.555,0.005,0.005,0.033,0.0,0.0,0.132,,0.944
10,5,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.625,0.075,0.075,0.613,0.063,0.063,0.012,0.029,0.019,0.84,1.526,0.981
11,7,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.649,0.099,0.099,0.621,0.071,0.071,0.028,0.004,0.012,0.717,0.333,0.957
12,9,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.665,0.115,0.115,0.615,0.065,0.065,0.05,-0.003,0.008,0.565,-0.375,0.925
13,11,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.675,0.125,0.125,0.633,0.083,0.083,0.042,0.009,0.005,0.664,1.8,0.938
14,21,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.728,0.178,0.178,0.679,0.129,0.129,0.049,0.023,0.026,0.725,0.885,0.933
15,31,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.764,0.214,0.214,0.717,0.167,0.167,0.047,0.019,0.018,0.78,1.056,0.938
16,41,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.806,0.256,0.256,0.73,0.18,0.18,0.076,0.007,0.021,0.703,0.333,0.906
17,51,Lower,Lower,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.812,0.262,0.262,0.765,0.215,0.215,0.047,0.018,0.003,0.821,6.0,0.942
27,3,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.711,0.161,0.162,0.602,0.052,0.053,0.109,0.0,0.0,0.327,,0.847
28,5,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.783,0.233,0.234,0.615,0.065,0.066,0.168,0.007,0.036,0.282,0.194,0.785
29,7,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.841,0.291,0.292,0.597,0.047,0.048,0.244,-0.009,0.029,0.164,-0.31,0.71
30,9,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.858,0.308,0.309,0.607,0.057,0.058,0.251,0.005,0.009,0.188,0.556,0.707
31,11,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.868,0.318,0.319,0.618,0.068,0.069,0.25,0.006,0.005,0.216,1.2,0.712
32,21,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.954,0.404,0.405,0.694,0.144,0.145,0.26,0.038,0.043,0.358,0.884,0.727
33,31,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.978,0.428,0.429,0.699,0.149,0.15,0.279,0.003,0.012,0.35,0.25,0.715
34,41,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.988,0.438,0.439,0.747,0.197,0.198,0.241,0.024,0.005,0.451,4.8,0.756
35,51,Lower,Medium,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.992,0.442,0.443,0.781,0.231,0.232,0.211,0.017,0.002,0.524,8.5,0.787
45,3,Lower,Upper,"TruncNorm[0.001,0.999]",1000,0.509,0.276,0.886,0.336,0.377,0.518,-0.032,0.009,0.368,0.0,0.0,0.024,,0.585
46,5,Lower,Upper,"TruncNorm[0.001,0.999]",1000,0.509,0.276,0.922,0.372,0.413,0.517,-0.033,0.008,0.405,-0.001,0.018,0.019,-0.056,0.561
47,7,Lower,Upper,"TruncNorm[0.001,0.999]",1000,0.509,0.276,0.958,0.408,0.449,0.528,-0.022,0.019,0.43,0.006,0.018,0.042,0.333,0.551
48,9,Lower,Upper,"TruncNorm[0.001,0.999]",1000,0.509,0.276,0.978,0.428,0.469,0.547,-0.003,0.038,0.431,0.01,0.01,0.081,1.0,0.559
49,11,Lower,Upper,"TruncNorm[0.001,0.999]",1000,0.509,0.276,0.985,0.435,0.476,0.543,-0.007,0.034,0.442,-0.002,0.004,0.071,-0.5,0.551
