voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.02,0.55,0.02,0.568,0.0,0.018,0.566,-0.002
5,0.55,0.02,0.55,0.02,0.601,0.017,0.051,0.609,0.008
7,0.55,0.02,0.55,0.02,0.597,-0.002,0.047,0.615,0.018
9,0.55,0.02,0.55,0.02,0.598,0.001,0.048,0.609,0.011
11,0.55,0.02,0.55,0.02,0.63,0.016,0.08,0.635,0.005
21,0.55,0.02,0.55,0.02,0.694,0.032,0.144,0.697,0.003
31,0.55,0.02,0.55,0.02,0.709,0.008,0.159,0.737,0.028
41,0.55,0.02,0.55,0.02,0.764,0.028,0.214,0.777,0.013
51,0.55,0.02,0.55,0.02,0.752,-0.006,0.202,0.769,0.017
3,0.55,0.04,0.55,0.04,0.555,0.0,0.005,0.588,0.033
5,0.55,0.04,0.55,0.04,0.613,0.029,0.063,0.625,0.012
7,0.55,0.04,0.55,0.04,0.621,0.004,0.071,0.649,0.028
9,0.55,0.04,0.55,0.04,0.615,-0.003,0.065,0.665,0.05
11,0.55,0.04,0.55,0.04,0.633,0.009,0.083,0.675,0.042
21,0.55,0.04,0.55,0.04,0.679,0.023,0.129,0.728,0.049
31,0.55,0.04,0.55,0.04,0.717,0.019,0.167,0.764,0.047
41,0.55,0.04,0.55,0.04,0.73,0.007,0.18,0.806,0.076
51,0.55,0.04,0.55,0.04,0.765,0.018,0.215,0.812,0.047
3,0.55,0.08,0.5499999953905459,0.0799999870528959,0.571,0.0,0.021,0.648,0.077
5,0.55,0.08,0.5499999953905459,0.0799999870528959,0.579,0.004,0.029,0.667,0.088
7,0.55,0.08,0.5499999953905459,0.0799999870528959,0.605,0.013,0.055,0.686,0.081
9,0.55,0.08,0.5499999953905459,0.0799999870528959,0.624,0.01,0.074,0.739,0.115
11,0.55,0.08,0.5499999953905459,0.0799999870528959,0.628,0.002,0.078,0.71,0.082
