voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.02,1.125,1.004
5,0.55,0.02,0.864,0.987
7,0.55,0.02,0.723,0.971
9,0.55,0.02,0.814,0.982
11,0.55,0.02,0.941,0.992
21,0.55,0.02,0.98,0.996
31,0.55,0.02,0.85,0.962
41,0.55,0.02,0.943,0.983
51,0.55,0.02,0.922,0.978
3,0.55,0.04,0.132,0.944
5,0.55,0.04,0.84,0.981
7,0.55,0.04,0.717,0.957
9,0.55,0.04,0.565,0.925
11,0.55,0.04,0.664,0.938
21,0.55,0.04,0.725,0.933
31,0.55,0.04,0.78,0.938
41,0.55,0.04,0.703,0.906
51,0.55,0.04,0.821,0.942
3,0.55,0.08,0.214,0.881
5,0.55,0.08,0.248,0.868
7,0.55,0.08,0.404,0.882
9,0.55,0.08,0.392,0.844
11,0.55,0.08,0.488,0.885
21,0.55,0.08,0.494,0.834
31,0.55,0.08,0.54,0.837
41,0.55,0.08,0.529,0.823
51,0.55,0.08,0.571,0.829
3,0.55,0.16,0.327,0.847
5,0.55,0.16,0.282,0.785
7,0.55,0.16,0.164,0.71
9,0.55,0.16,0.188,0.707
11,0.55,0.16,0.216,0.712
21,0.55,0.16,0.358,0.727
31,0.55,0.16,0.35,0.715
41,0.55,0.16,0.451,0.756
51,0.55,0.16,0.524,0.787
3,0.55,0.32,0.06,0.661
5,0.55,0.32,0.034,0.593
7,0.55,0.32,0.138,0.622
9,0.55,0.32,0.184,0.636
11,0.55,0.32,0.035,0.565
21,0.55,0.32,0.17,0.612
31,0.55,0.32,0.256,0.65
41,0.55,0.32,0.274,0.658
51,0.55,0.32,0.299,0.67
3,0.55,0.64,0.024,0.585
5,0.55,0.64,0.019,0.561
7,0.55,0.64,0.042,0.551
9,0.55,0.64,0.081,0.559
11,0.55,0.64,0.071,0.551
21,0.55,0.64,-0.027,0.496
31,0.55,0.64,0.057,0.538
41,0.55,0.64,0.073,0.545
51,0.55,0.64,0.092,0.554
3,0.55,1.28,0.018,0.577
5,0.55,1.28,0.005,0.539
7,0.55,1.28,0.024,0.533
9,0.55,1.28,0.037,0.529
11,0.55,1.28,-0.033,0.492
21,0.55,1.28,-0.006,0.5
31,0.55,1.28,-0.016,0.494
41,0.55,1.28,0.028,0.516
51,0.55,1.28,-0.038,0.483
3,0.55,2.56,-0.005,0.558
5,0.55,2.56,-0.059,0.506
7,0.55,2.56,0.032,0.535
9,0.55,2.56,0.013,0.521
11,0.55,2.56,-0.019,0.498
21,0.55,2.56,-0.044,0.48
31,0.55,2.56,-0.02,0.491
41,0.55,2.56,-0.046,0.478
51,0.55,2.56,0.018,0.51
3,0.6,0.02,1.022,1.002
5,0.6,0.02,0.989,0.999
7,0.6,0.02,0.99,0.999
9,0.6,0.02,1.009,1.001
11,0.6,0.02,0.964,0.993
21,0.6,0.02,0.956,0.987
31,0.6,0.02,0.989,0.997
41,0.6,0.02,1.0,1.0
51,0.6,0.02,0.997,0.999
3,0.6,0.04,1.022,1.002
5,0.6,0.04,0.898,0.986
7,0.6,0.04,0.933,0.989
9,0.6,0.04,0.893,0.979
11,0.6,0.04,0.906,0.98
21,0.6,0.04,0.901,0.971
31,0.6,0.04,0.923,0.975
41,0.6,0.04,0.942,0.98
51,0.6,0.04,0.988,0.996
3,0.6,0.08,0.627,0.963
5,0.6,0.08,0.782,0.958
7,0.6,0.08,0.725,0.942
9,0.6,0.08,0.597,0.903
11,0.6,0.08,0.715,0.923
21,0.6,0.08,0.803,0.935
31,0.6,0.08,0.798,0.928
41,0.6,0.08,0.855,0.946
51,0.6,0.08,0.874,0.952
3,0.6,0.16,0.187,0.819
5,0.6,0.16,0.394,0.838
7,0.6,0.16,0.37,0.804
9,0.6,0.16,0.389,0.797
11,0.6,0.16,0.457,0.809
21,0.6,0.16,0.571,0.834
31,0.6,0.16,0.685,0.876
41,0.6,0.16,0.737,0.895
51,0.6,0.16,0.796,0.918
3,0.6,0.32,0.116,0.707
5,0.6,0.32,0.15,0.677
7,0.6,0.32,0.18,0.666
9,0.6,0.32,0.198,0.663
11,0.6,0.32,0.244,0.678
21,0.6,0.32,0.364,0.719
31,0.6,0.32,0.414,0.741
41,0.6,0.32,0.475,0.768
51,0.6,0.32,0.48,0.77
3,0.6,0.64,0.071,0.625
5,0.6,0.64,0.087,0.595
7,0.6,0.64,0.014,0.554
9,0.6,0.64,-0.031,0.521
11,0.6,0.64,0.137,0.592
21,0.6,0.64,0.125,0.579
31,0.6,0.64,0.087,0.561
41,0.6,0.64,0.148,0.59
51,0.6,0.64,0.15,0.591
3,0.6,1.28,-0.019,0.574
5,0.6,1.28,0.078,0.572
7,0.6,1.28,0.024,0.53
9,0.6,1.28,0.055,0.541
11,0.6,1.28,0.063,0.544
21,0.6,1.28,0.028,0.519
31,0.6,1.28,0.059,0.534
41,0.6,1.28,-0.008,0.501
51,0.6,1.28,0.103,0.556
3,0.6,2.56,0.111,0.616
5,0.6,2.56,0.011,0.535
7,0.6,2.56,-0.043,0.497
9,0.6,2.56,0.079,0.55
11,0.6,2.56,0.006,0.509
21,0.6,2.56,0.012,0.507
31,0.6,2.56,0.012,0.507
41,0.6,2.56,0.048,0.525
51,0.6,2.56,-0.002,0.5
3,0.65,0.02,1.0,1.0
5,0.65,0.02,1.01,1.001
7,0.65,0.02,1.0,1.0
9,0.65,0.02,1.016,1.004
11,0.65,0.02,1.0,1.0
21,0.65,0.02,1.0,1.0
31,0.65,0.02,0.997,0.999
41,0.65,0.02,1.0,1.0
51,0.65,0.02,0.997,0.999
3,0.65,0.04,0.944,0.993
5,0.65,0.04,1.037,1.004
7,0.65,0.04,0.986,0.997
