voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.566,0.016,0.016,0.568,0.018,0.018,-0.002,0.0,0.0,1.125,,1.004
5,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.609,0.059,0.059,0.601,0.051,0.051,0.008,0.017,0.022,0.864,0.773,0.987
7,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.615,0.065,0.065,0.597,0.047,0.047,0.018,-0.002,0.003,0.723,-0.667,0.971
9,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.609,0.059,0.059,0.598,0.048,0.048,0.011,0.001,-0.003,0.814,-0.333,0.982
11,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.635,0.085,0.085,0.63,0.08,0.08,0.005,0.016,0.013,0.941,1.231,0.992
21,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.697,0.147,0.147,0.694,0.144,0.144,0.003,0.032,0.031,0.98,1.032,0.996
31,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.737,0.187,0.187,0.709,0.159,0.159,0.028,0.008,0.02,0.85,0.4,0.962
41,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.777,0.227,0.227,0.764,0.214,0.214,0.013,0.028,0.02,0.943,1.4,0.983
51,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.769,0.219,0.219,0.752,0.202,0.202,0.017,-0.006,-0.004,0.922,1.5,0.978
3,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.588,0.038,0.038,0.555,0.005,0.005,0.033,0.0,0.0,0.132,,0.944
5,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.625,0.075,0.075,0.613,0.063,0.063,0.012,0.029,0.019,0.84,1.526,0.981
7,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.649,0.099,0.099,0.621,0.071,0.071,0.028,0.004,0.012,0.717,0.333,0.957
9,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.665,0.115,0.115,0.615,0.065,0.065,0.05,-0.003,0.008,0.565,-0.375,0.925
