voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.04,0.55,0.04,0.555,0.0,0.005,0.567,0.012
5,0.55,0.04,0.55,0.04,0.561,0.003,0.011,0.583,0.022
7,0.55,0.04,0.55,0.04,0.608,0.023,0.058,0.65,0.042
9,0.55,0.04,0.55,0.04,0.674,0.033,0.124,0.671,-0.003
11,0.55,0.04,0.55,0.04,0.643,-0.016,0.093,0.661,0.018
21,0.55,0.04,0.55,0.04,0.657,0.007,0.107,0.721,0.064
31,0.55,0.04,0.55,0.04,0.727,0.035,0.177,0.766,0.039
41,0.55,0.04,0.55,0.04,0.747,0.01,0.197,0.791,0.044
51,0.55,0.04,0.55,0.04,0.762,0.008,0.212,0.819,0.057
3,0.55,0.16,0.549,0.158,0.542,0.0,-0.007,0.738,0.196
5,0.55,0.16,0.549,0.158,0.591,0.024,0.042,0.785,0.194
7,0.55,0.16,0.549,0.158,0.596,0.003,0.047,0.84,0.244
9,0.55,0.16,0.549,0.158,0.578,-0.009,0.029,0.86,0.282
11,0.55,0.16,0.549,0.158,0.625,0.024,0.076,0.869,0.244
21,0.55,0.16,0.549,0.158,0.676,0.026,0.127,0.955,0.279
31,0.55,0.16,0.549,0.158,0.717,0.02,0.168,0.973,0.256
41,0.55,0.16,0.549,0.158,0.74,0.012,0.191,0.989,0.249
51,0.55,0.16,0.549,0.158,0.768,0.014,0.219,0.994,0.226
3,0.55,0.64,0.509,0.276,0.537,0.0,0.028,0.863,0.326
5,0.55,0.64,0.509,0.276,0.529,-0.004,0.02,0.914,0.385
7,0.55,0.64,0.509,0.276,0.514,-0.008,0.005,0.955,0.441
9,0.55,0.64,0.509,0.276,0.506,-0.004,-0.003,0.981,0.475
11,0.55,0.64,0.509,0.276,0.51,0.002,0.001,0.988,0.478
21,0.55,0.64,0.509,0.276,0.562,0.026,0.053,1.0,0.438
31,0.55,0.64,0.509,0.276,0.534,-0.014,0.025,1.0,0.466
41,0.55,0.64,0.509,0.276,0.53,-0.002,0.021,1.0,0.47
51,0.55,0.64,0.509,0.276,0.571,0.02,0.062,1.0,0.429
3,0.75,0.04,0.75,0.04,0.851,0.0,0.101,0.849,-0.002
5,0.75,0.04,0.75,0.04,0.913,0.031,0.163,0.914,0.001
7,0.75,0.04,0.75,0.04,0.924,0.006,0.174,0.925,0.001
9,0.75,0.04,0.75,0.04,0.961,0.018,0.211,0.963,0.002
11,0.75,0.04,0.75,0.04,0.974,0.007,0.224,0.974,0.0
21,0.75,0.04,0.75,0.04,0.994,0.01,0.244,0.994,0.0
31,0.75,0.04,0.75,0.04,0.998,0.002,0.248,0.996,-0.002
41,0.75,0.04,0.75,0.04,0.999,0.001,0.249,0.999,0.0
51,0.75,0.04,0.75,0.04,1.0,0.001,0.25,1.0,0.0
3,0.75,0.16,0.73,0.142,0.81,0.0,0.08,0.859,0.049
5,0.75,0.16,0.73,0.142,0.858,0.024,0.128,0.901,0.043
7,0.75,0.16,0.73,0.142,0.905,0.024,0.175,0.952,0.047
9,0.75,0.16,0.73,0.142,0.938,0.016,0.208,0.978,0.04
11,0.75,0.16,0.73,0.142,0.939,0.001,0.209,0.976,0.037
21,0.75,0.16,0.73,0.142,0.985,0.023,0.255,0.998,0.013
31,0.75,0.16,0.73,0.142,0.996,0.006,0.266,1.0,0.004
41,0.75,0.16,0.73,0.142,0.998,0.001,0.268,1.0,0.002
51,0.75,0.16,0.73,0.142,1.0,0.001,0.27,1.0,0.0
3,0.75,0.64,0.546,0.274,0.563,0.0,0.017,0.868,0.305
5,0.75,0.64,0.546,0.274,0.598,0.018,0.052,0.947,0.349
7,0.75,0.64,0.546,0.274,0.606,0.004,0.06,0.957,0.351
9,0.75,0.64,0.546,0.274,0.638,0.016,0.092,0.975,0.337
11,0.75,0.64,0.546,0.274,0.611,-0.014,0.065,0.978,0.367
21,0.75,0.64,0.546,0.274,0.679,0.034,0.133,0.999,0.32
31,0.75,0.64,0.546,0.274,0.696,0.008,0.15,0.999,0.303
41,0.75,0.64,0.546,0.274,0.756,0.03,0.21,1.0,0.244
51,0.75,0.64,0.546,0.274,0.741,-0.008,0.195,1.0,0.259
3,0.95,0.04,0.942,0.033,0.993,0.0,0.051,0.993,0.0
5,0.95,0.04,0.942,0.033,0.998,0.003,0.056,0.998,0.0
7,0.95,0.04,0.942,0.033,1.0,0.001,0.058,1.0,0.0
9,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
11,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
21,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
31,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
41,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
51,0.95,0.04,0.942,0.033,1.0,0.0,0.058,1.0,0.0
3,0.95,0.16,0.852,0.106,0.924,0.0,0.072,0.937,0.013
5,0.95,0.16,0.852,0.106,0.977,0.026,0.125,0.984,0.007
7,0.95,0.16,0.852,0.106,0.986,0.005,0.134,0.99,0.004
9,0.95,0.16,0.852,0.106,0.995,0.005,0.143,0.998,0.003
11,0.95,0.16,0.852,0.106,0.998,0.002,0.146,0.999,0.001
21,0.95,0.16,0.852,0.106,1.0,0.001,0.148,1.0,0.0
31,0.95,0.16,0.852,0.106,1.0,0.0,0.148,1.0,0.0
41,0.95,0.16,0.852,0.106,1.0,0.0,0.148,1.0,0.0
51,0.95,0.16,0.852,0.106,1.0,0.0,0.148,1.0,0.0
3,0.95,0.64,0.583,0.27,0.613,0.0,0.03,0.866,0.253
5,0.95,0.64,0.583,0.27,0.671,0.029,0.088,0.948,0.277
7,0.95,0.64,0.583,0.27,0.662,-0.005,0.079,0.967,0.305
9,0.95,0.64,0.583,0.27,0.687,0.013,0.104,0.981,0.294
11,0.95,0.64,0.583,0.27,0.714,0.013,0.131,0.985,0.271
21,0.95,0.64,0.583,0.27,0.771,0.029,0.188,0.998,0.227
31,0.95,0.64,0.583,0.27,0.827,0.028,0.244,1.0,0.173
41,0.95,0.64,0.583,0.27,0.859,0.016,0.276,1.0,0.141
51,0.95,0.64,0.583,0.27,0.894,0.018,0.311,1.0,0.106
