voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.04,0.294,0.979
5,0.55,0.04,0.333,0.962
7,0.55,0.04,0.58,0.935
9,0.55,0.04,1.025,1.004
11,0.55,0.04,0.838,0.973
21,0.55,0.04,0.626,0.911
31,0.55,0.04,0.819,0.949
41,0.55,0.04,0.817,0.944
51,0.55,0.04,0.788,0.93
3,0.55,0.16,-0.037,0.734
5,0.55,0.16,0.178,0.753
7,0.55,0.16,0.162,0.71
9,0.55,0.16,0.093,0.672
11,0.55,0.16,0.238,0.719
21,0.55,0.16,0.313,0.708
31,0.55,0.16,0.396,0.737
41,0.55,0.16,0.434,0.748
51,0.55,0.16,0.492,0.773
3,0.55,0.64,0.078,0.622
5,0.55,0.64,0.049,0.579
7,0.55,0.64,0.01,0.538
9,0.55,0.64,-0.007,0.516
11,0.55,0.64,0.001,0.516
21,0.55,0.64,0.107,0.562
31,0.55,0.64,0.05,0.534
41,0.55,0.64,0.042,0.53
51,0.55,0.64,0.126,0.571
3,0.75,0.04,1.02,1.002
5,0.75,0.04,0.994,0.999
7,0.75,0.04,0.994,0.999
9,0.75,0.04,0.991,0.998
11,0.75,0.04,1.0,1.0
21,0.75,0.04,1.0,1.0
31,0.75,0.04,1.008,1.002
41,0.75,0.04,1.0,1.0
51,0.75,0.04,1.0,1.0
3,0.75,0.16,0.621,0.943
5,0.75,0.16,0.749,0.952
7,0.75,0.16,0.789,0.951
9,0.75,0.16,0.839,0.959
11,0.75,0.16,0.85,0.962
21,0.75,0.16,0.952,0.987
31,0.75,0.16,0.985,0.996
41,0.75,0.16,0.993,0.998
51,0.75,0.16,1.0,1.0
3,0.75,0.64,0.052,0.649
5,0.75,0.64,0.129,0.631
7,0.75,0.64,0.145,0.633
9,0.75,0.64,0.214,0.654
11,0.75,0.64,0.15,0.625
21,0.75,0.64,0.293,0.68
31,0.75,0.64,0.33,0.697
41,0.75,0.64,0.462,0.756
51,0.75,0.64,0.429,0.741
3,0.95,0.04,1.0,1.0
5,0.95,0.04,1.0,1.0
7,0.95,0.04,1.0,1.0
9,0.95,0.04,1.0,1.0
11,0.95,0.04,1.0,1.0
21,0.95,0.04,1.0,1.0
31,0.95,0.04,1.0,1.0
41,0.95,0.04,1.0,1.0
51,0.95,0.04,1.0,1.0
3,0.95,0.16,0.847,0.986
5,0.95,0.16,0.947,0.993
7,0.95,0.16,0.971,0.996
9,0.95,0.16,0.979,0.997
11,0.95,0.16,0.993,0.999
21,0.95,0.16,1.0,1.0
31,0.95,0.16,1.0,1.0
41,0.95,0.16,1.0,1.0
51,0.95,0.16,1.0,1.0
3,0.95,0.64,0.107,0.708
5,0.95,0.64,0.242,0.708
7,0.95,0.64,0.207,0.685
9,0.95,0.64,0.262,0.7
11,0.95,0.64,0.327,0.725
21,0.95,0.64,0.454,0.773
31,0.95,0.64,0.586,0.827
41,0.95,0.64,0.662,0.859
51,0.95,0.64,0.746,0.894
