,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
18,3,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.567,0.017,0.017,0.555,0.005,0.005,0.012,0.0,0.0,0.294,,0.979
19,5,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.583,0.033,0.033,0.561,0.011,0.011,0.022,0.003,0.008,0.333,0.375,0.962
20,7,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.65,0.1,0.1,0.608,0.058,0.058,0.042,0.023,0.034,0.58,0.676,0.935
21,9,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.671,0.121,0.121,0.674,0.124,0.124,-0.003,0.033,0.011,1.025,3.0,1.004
22,11,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.661,0.111,0.111,0.643,0.093,0.093,0.018,-0.016,-0.005,0.838,3.2,0.973
23,21,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.721,0.171,0.171,0.657,0.107,0.107,0.064,0.007,0.03,0.626,0.233,0.911
24,31,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.766,0.216,0.216,0.727,0.177,0.177,0.039,0.035,0.023,0.819,1.522,0.949
25,41,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.791,0.241,0.241,0.747,0.197,0.197,0.044,0.01,0.013,0.817,0.769,0.944
26,51,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.819,0.269,0.269,0.762,0.212,0.212,0.057,0.008,0.014,0.788,0.571,0.93
36,3,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.738,0.188,0.189,0.542,-0.008,-0.007,0.196,0.0,0.0,-0.037,,0.734
37,5,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.785,0.235,0.236,0.591,0.041,0.042,0.194,0.024,0.024,0.178,1.0,0.753
38,7,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.84,0.29,0.291,0.596,0.046,0.047,0.244,0.003,0.027,0.162,0.111,0.71
39,9,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.86,0.31,0.311,0.578,0.028,0.029,0.282,-0.009,0.01,0.093,-0.9,0.672
40,11,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.549,0.158,0.869,0.319,0.32,0.625,0.075,0.076,0.244,0.024,0.005,0.238,4.8,0.719
