distribution,voters,mean,std,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
"TruncNorm[0.501,0.999]",3,Lower,Lower,0.601,0.022,0.652,0.052,0.051,0.653,0.053,0.052,-0.001,0.0,0.0,1.036,,1.002
"TruncNorm[0.501,0.999]",3,Lower,Medium,0.671,0.104,0.771,0.171,0.1,0.743,0.143,0.072,0.028,0.0,0.0,0.732,,0.965
"TruncNorm[0.501,0.999]",3,Lower,Upper,0.747,0.143,0.875,0.275,0.128,0.836,0.236,0.089,0.039,0.0,0.0,0.694,,0.955
"TruncNorm[0.501,0.999]",3,Medium,Lower,0.75,0.023,0.84,0.09,0.09,0.84,0.09,0.09,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",3,Medium,Medium,0.75,0.112,0.865,0.115,0.115,0.844,0.094,0.094,0.02,0.0,0.0,0.831,,0.977
"TruncNorm[0.501,0.999]",3,Medium,Upper,0.75,0.143,0.881,0.131,0.131,0.846,0.096,0.096,0.035,0.0,0.0,0.732,,0.96
"TruncNorm[0.501,0.999]",3,Upper,Lower,0.899,0.022,0.972,0.072,0.073,0.972,0.072,0.073,0.0,0.0,0.0,0.998,,1.0
"TruncNorm[0.501,0.999]",3,Upper,Medium,0.829,0.104,0.934,0.034,0.104,0.917,0.017,0.088,0.016,0.0,0.0,0.866,,0.982
"TruncNorm[0.501,0.999]",3,Upper,Upper,0.753,0.143,0.891,-0.009,0.137,0.847,-0.053,0.093,0.044,0.0,0.0,0.681,,0.951
"TruncNorm[0.501,0.999]",5,Lower,Lower,0.601,0.022,0.685,0.085,0.084,0.685,0.085,0.084,0.0,0.016,0.017,1.017,0.93,1.0
"TruncNorm[0.501,0.999]",5,Lower,Medium,0.671,0.104,0.83,0.23,0.159,0.8,0.2,0.129,0.03,0.028,0.03,0.823,0.957,0.965
"TruncNorm[0.501,0.999]",5,Lower,Upper,0.747,0.143,0.939,0.339,0.192,0.893,0.293,0.146,0.046,0.029,0.032,0.761,0.93,0.951
"TruncNorm[0.501,0.999]",5,Medium,Lower,0.75,0.023,0.884,0.134,0.134,0.884,0.134,0.134,0.0,0.022,0.022,0.998,0.996,1.0
"TruncNorm[0.501,0.999]",5,Medium,Medium,0.75,0.112,0.92,0.17,0.17,0.893,0.143,0.143,0.026,0.025,0.027,0.85,0.932,0.972
"TruncNorm[0.501,0.999]",5,Medium,Upper,0.75,0.143,0.942,0.192,0.192,0.895,0.145,0.145,0.047,0.025,0.03,0.757,0.833,0.95
"TruncNorm[0.501,0.999]",5,Upper,Lower,0.899,0.022,0.988,0.088,0.089,0.988,0.088,0.089,0.0,0.008,0.008,0.998,1.0,1.0
"TruncNorm[0.501,0.999]",5,Upper,Medium,0.829,0.104,0.968,0.068,0.139,0.956,0.056,0.127,0.012,0.019,0.017,0.927,1.143,0.988
"TruncNorm[0.501,0.999]",5,Upper,Upper,0.753,0.143,0.937,0.037,0.184,0.899,-0.001,0.146,0.038,0.027,0.023,0.793,1.178,0.959
"TruncNorm[0.501,0.999]",7,Lower,Lower,0.601,0.022,0.7,0.1,0.099,0.698,0.098,0.097,0.001,0.007,0.007,0.983,1.361,0.998
"TruncNorm[0.501,0.999]",7,Lower,Medium,0.671,0.104,0.854,0.254,0.184,0.821,0.221,0.15,0.033,0.011,0.012,0.818,1.007,0.961
"TruncNorm[0.501,0.999]",7,Lower,Upper,0.747,0.143,0.968,0.368,0.221,0.93,0.33,0.183,0.038,0.019,0.014,0.828,1.415,0.961
"TruncNorm[0.501,0.999]",7,Medium,Lower,0.75,0.023,0.928,0.178,0.178,0.928,0.178,0.178,-0.0,0.023,0.022,1.002,1.008,1.0
"TruncNorm[0.501,0.999]",7,Medium,Medium,0.75,0.112,0.948,0.198,0.198,0.923,0.173,0.173,0.026,0.015,0.014,0.874,1.058,0.973
"TruncNorm[0.501,0.999]",7,Medium,Upper,0.75,0.143,0.966,0.216,0.216,0.931,0.181,0.181,0.035,0.018,0.012,0.838,1.535,0.964
"TruncNorm[0.501,0.999]",7,Upper,Lower,0.899,0.022,0.996,0.096,0.097,0.995,0.095,0.096,0.0,0.004,0.004,0.998,-inf,1.0
"TruncNorm[0.501,0.999]",7,Upper,Medium,0.829,0.104,0.987,0.087,0.158,0.976,0.076,0.147,0.011,0.01,0.01,0.94,1.008,0.989
"TruncNorm[0.501,0.999]",7,Upper,Upper,0.753,0.143,0.967,0.067,0.214,0.93,0.03,0.177,0.036,0.016,0.015,0.829,1.082,0.962
"TruncNorm[0.501,0.999]",9,Lower,Lower,0.601,0.022,0.733,0.133,0.132,0.728,0.128,0.127,0.006,0.015,0.017,0.946,0.838,0.992
"TruncNorm[0.501,0.999]",9,Lower,Medium,0.671,0.104,0.886,0.286,0.215,0.852,0.252,0.181,0.034,0.015,0.016,0.844,1.016,0.962
"TruncNorm[0.501,0.999]",9,Lower,Upper,0.747,0.143,0.98,0.38,0.234,0.949,0.349,0.202,0.031,0.009,0.007,0.866,1.878,0.968
"TruncNorm[0.501,0.999]",9,Medium,Lower,0.75,0.023,0.942,0.192,0.192,0.942,0.192,0.192,-0.0,0.007,0.007,1.0,1.007,1.0
"TruncNorm[0.501,0.999]",9,Medium,Medium,0.75,0.112,0.968,0.218,0.218,0.942,0.192,0.192,0.026,0.01,0.01,0.884,1.015,0.973
"TruncNorm[0.501,0.999]",9,Medium,Upper,0.75,0.143,0.981,0.231,0.231,0.953,0.203,0.203,0.028,0.011,0.008,0.878,1.46,0.971
"TruncNorm[0.501,0.999]",9,Upper,Lower,0.899,0.022,0.998,0.098,0.099,0.998,0.098,0.099,0.0,0.001,0.001,0.999,inf,1.0
"TruncNorm[0.501,0.999]",9,Upper,Medium,0.829,0.104,0.993,0.093,0.164,0.984,0.084,0.155,0.009,0.004,0.003,0.954,1.921,0.991
"TruncNorm[0.501,0.999]",9,Upper,Upper,0.753,0.143,0.982,0.082,0.229,0.958,0.058,0.205,0.025,0.014,0.008,0.892,1.655,0.975
"TruncNorm[0.501,0.999]",11,Lower,Lower,0.601,0.022,0.757,0.157,0.156,0.749,0.149,0.148,0.008,0.011,0.012,0.929,0.453,0.989
"TruncNorm[0.501,0.999]",11,Lower,Medium,0.671,0.104,0.906,0.306,0.236,0.872,0.272,0.202,0.034,0.01,0.011,0.855,inf,0.962
"TruncNorm[0.501,0.999]",11,Lower,Upper,0.747,0.143,0.988,0.388,0.241,0.96,0.36,0.213,0.028,0.005,0.004,0.884,1.361,0.972
"TruncNorm[0.501,0.999]",11,Medium,Lower,0.75,0.023,0.958,0.208,0.208,0.956,0.206,0.206,0.001,0.007,0.008,0.994,0.824,0.999
"TruncNorm[0.501,0.999]",11,Medium,Medium,0.75,0.112,0.977,0.227,0.227,0.961,0.211,0.211,0.016,0.009,0.004,0.932,0.273,0.984
"TruncNorm[0.501,0.999]",11,Medium,Upper,0.75,0.143,0.989,0.239,0.239,0.967,0.217,0.217,0.022,0.007,0.004,0.909,2.393,0.978
"TruncNorm[0.501,0.999]",11,Upper,Lower,0.899,0.022,0.999,0.099,0.1,0.999,0.099,0.1,-0.0,0.001,0.001,1.001,inf,1.0
"TruncNorm[0.501,0.999]",11,Upper,Medium,0.829,0.104,0.997,0.097,0.168,0.991,0.091,0.162,0.006,0.004,0.002,0.97,1.708,0.994
"TruncNorm[0.501,0.999]",11,Upper,Upper,0.753,0.143,0.989,0.089,0.236,0.966,0.066,0.213,0.023,0.005,0.004,0.904,1.744,0.977
"TruncNorm[0.501,0.999]",21,Lower,Lower,0.601,0.022,0.818,0.218,0.217,0.814,0.214,0.213,0.004,0.033,0.031,0.979,1.099,0.995
"TruncNorm[0.501,0.999]",21,Lower,Medium,0.671,0.104,0.954,0.354,0.283,0.93,0.33,0.259,0.024,0.029,0.024,0.917,1.538,0.975
"TruncNorm[0.501,0.999]",21,Lower,Upper,0.747,0.143,0.999,0.399,0.252,0.992,0.392,0.245,0.007,0.016,0.006,0.971,3.082,0.993
"TruncNorm[0.501,0.999]",21,Medium,Lower,0.75,0.023,0.989,0.239,0.239,0.989,0.239,0.239,0.0,0.016,0.016,0.998,1.055,1.0
"TruncNorm[0.501,0.999]",21,Medium,Medium,0.75,0.112,0.996,0.246,0.246,0.99,0.24,0.24,0.006,0.015,0.01,0.975,1.632,0.994
"TruncNorm[0.501,0.999]",21,Medium,Upper,0.75,0.143,0.999,0.249,0.249,0.994,0.244,0.244,0.006,0.014,0.005,0.978,2.637,0.994
"TruncNorm[0.501,0.999]",21,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.001,0.999,0.875,1.0
"TruncNorm[0.501,0.999]",21,Upper,Medium,0.829,0.104,1.0,0.1,0.171,0.999,0.099,0.17,0.001,0.004,0.002,0.996,inf,0.999
"TruncNorm[0.501,0.999]",21,Upper,Upper,0.753,0.143,0.999,0.099,0.246,0.994,0.094,0.241,0.005,0.014,0.005,0.98,3.067,0.995
"TruncNorm[0.501,0.999]",31,Lower,Lower,0.601,0.022,0.863,0.263,0.262,0.855,0.255,0.254,0.007,0.021,0.022,0.973,1.081,0.991
"TruncNorm[0.501,0.999]",31,Lower,Medium,0.671,0.104,0.973,0.373,0.303,0.955,0.355,0.285,0.018,0.013,0.01,0.942,inf,0.981
"TruncNorm[0.501,0.999]",31,Lower,Upper,0.747,0.143,1.0,0.4,0.253,0.998,0.398,0.251,0.002,0.003,0.0,0.993,inf,0.998
"TruncNorm[0.501,0.999]",31,Medium,Lower,0.75,0.023,0.996,0.246,0.246,0.996,0.246,0.246,0.001,0.004,0.004,0.998,0.967,0.999
"TruncNorm[0.501,0.999]",31,Medium,Medium,0.75,0.112,0.999,0.249,0.249,0.998,0.248,0.248,0.002,0.004,0.002,0.994,inf,0.998
"TruncNorm[0.501,0.999]",31,Medium,Upper,0.75,0.143,1.0,0.25,0.25,0.998,0.248,0.248,0.002,0.002,0.0,0.993,inf,0.998
"TruncNorm[0.501,0.999]",31,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",31,Upper,Medium,0.829,0.104,1.0,0.1,0.171,1.0,0.1,0.171,0.0,0.001,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",31,Upper,Upper,0.753,0.143,1.0,0.1,0.247,0.999,0.099,0.246,0.001,0.003,0.001,0.996,inf,0.999
"TruncNorm[0.501,0.999]",41,Lower,Lower,0.601,0.022,0.887,0.287,0.286,0.877,0.277,0.276,0.01,0.011,0.012,0.962,1.091,0.988
"TruncNorm[0.501,0.999]",41,Lower,Medium,0.671,0.104,0.983,0.383,0.313,0.971,0.371,0.3,0.013,0.008,0.005,0.961,inf,0.987
"TruncNorm[0.501,0.999]",41,Lower,Upper,0.747,0.143,1.0,0.4,0.253,1.0,0.4,0.253,0.0,0.001,0.0,0.999,inf,1.0
"TruncNorm[0.501,0.999]",41,Medium,Lower,0.75,0.023,0.999,0.249,0.249,0.999,0.249,0.249,0.0,0.002,0.001,1.0,inf,1.0
"TruncNorm[0.501,0.999]",41,Medium,Medium,0.75,0.112,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,0.999,inf,1.0
"TruncNorm[0.501,0.999]",41,Medium,Upper,0.75,0.143,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,0.999,inf,1.0
"TruncNorm[0.501,0.999]",41,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",41,Upper,Medium,0.829,0.104,1.0,0.1,0.171,1.0,0.1,0.171,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",41,Upper,Upper,0.753,0.143,1.0,0.1,0.247,1.0,0.1,0.247,0.0,0.001,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Lower,Lower,0.601,0.022,0.899,0.299,0.298,0.892,0.292,0.291,0.006,0.008,0.006,0.976,-0.046,0.993
"TruncNorm[0.501,0.999]",51,Lower,Medium,0.671,0.104,0.988,0.388,0.317,0.979,0.379,0.308,0.009,0.004,0.002,0.975,,0.991
"TruncNorm[0.501,0.999]",51,Lower,Upper,0.747,0.143,1.0,0.4,0.253,1.0,0.4,0.253,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Medium,Lower,0.75,0.023,1.0,0.25,0.25,0.999,0.249,0.249,0.0,0.0,0.0,1.0,1.0,1.0
"TruncNorm[0.501,0.999]",51,Medium,Medium,0.75,0.112,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,0.999,-inf,1.0
"TruncNorm[0.501,0.999]",51,Medium,Upper,0.75,0.143,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,inf,1.0
"TruncNorm[0.501,0.999]",51,Upper,Lower,0.899,0.022,1.0,0.1,0.101,1.0,0.1,0.101,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",51,Upper,Medium,0.829,0.104,1.0,0.1,0.171,1.0,0.1,0.171,0.0,0.0,0.0,1.0,,1.0
"TruncNorm[0.501,0.999]",51,Upper,Upper,0.753,0.143,1.0,0.1,0.247,1.0,0.1,0.247,0.0,-0.0,0.0,1.0,-inf,1.0
