voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.01,0.5500000243896191,0.0099999402452248,0.564,0.0,0.014,0.564,0.0
5,0.55,0.01,0.5500000243896191,0.0099999402452248,0.597,0.017,0.047,0.588,-0.009
7,0.55,0.01,0.5500000243896191,0.0099999402452248,0.611,0.007,0.061,0.608,-0.003
9,0.55,0.01,0.5500000243896191,0.0099999402452248,0.616,0.003,0.066,0.624,0.008
11,0.55,0.01,0.5500000243896191,0.0099999402452248,0.669,0.027,0.119,0.675,0.006
21,0.55,0.01,0.5500000243896191,0.0099999402452248,0.695,0.013,0.145,0.696,0.001
31,0.55,0.01,0.5500000243896191,0.0099999402452248,0.709,0.007,0.159,0.702,-0.007
41,0.55,0.01,0.5500000243896191,0.0099999402452248,0.734,0.013,0.184,0.742,0.008
51,0.55,0.01,0.5500000243896191,0.0099999402452248,0.762,0.014,0.212,0.763,0.001
3,0.55,0.02,0.550399601364754,0.0195002526105777,0.597,0.0,0.047,0.59,-0.007
5,0.55,0.02,0.550399601364754,0.0195002526105777,0.598,0.001,0.048,0.595,-0.003
7,0.55,0.02,0.550399601364754,0.0195002526105777,0.585,-0.007,0.035,0.585,0.0
9,0.55,0.02,0.550399601364754,0.0195002526105777,0.607,0.011,0.057,0.611,0.004
11,0.55,0.02,0.550399601364754,0.0195002526105777,0.621,0.007,0.071,0.639,0.018
21,0.55,0.02,0.550399601364754,0.0195002526105777,0.682,0.031,0.132,0.681,-0.001
31,0.55,0.02,0.550399601364754,0.0195002526105777,0.736,0.027,0.186,0.742,0.006
41,0.55,0.02,0.550399601364754,0.0195002526105777,0.766,0.015,0.216,0.771,0.005
51,0.55,0.02,0.550399601364754,0.0195002526105777,0.746,-0.01,0.196,0.76,0.014
3,0.55,0.04,0.5584696183361306,0.0333654651813799,0.59,0.0,0.032,0.583,-0.007
5,0.55,0.04,0.5584696183361306,0.0333654651813799,0.636,0.023,0.078,0.641,0.005
7,0.55,0.04,0.5584696183361306,0.0333654651813799,0.619,-0.009,0.061,0.635,0.016
9,0.55,0.04,0.5584696183361306,0.0333654651813799,0.646,0.014,0.088,0.657,0.011
11,0.55,0.04,0.5584696183361306,0.0333654651813799,0.63,-0.008,0.072,0.66,0.03
21,0.55,0.04,0.5584696183361306,0.0333654651813799,0.705,0.037,0.147,0.725,0.02
31,0.55,0.04,0.5584696183361306,0.0333654651813799,0.752,0.024,0.194,0.778,0.026
41,0.55,0.04,0.5584696183361306,0.0333654651813799,0.758,0.003,0.2,0.814,0.056
51,0.55,0.04,0.5584696183361306,0.0333654651813799,0.791,0.017,0.233,0.807,0.016
3,0.55,0.08,0.5862472077293333,0.0575328046145712,0.628,0.0,0.042,0.631,0.003
5,0.55,0.08,0.5862472077293333,0.0575328046145712,0.662,0.017,0.076,0.676,0.014
7,0.55,0.08,0.5862472077293333,0.0575328046145712,0.683,0.011,0.097,0.701,0.018
9,0.55,0.08,0.5862472077293333,0.0575328046145712,0.686,0.002,0.1,0.708,0.022
11,0.55,0.08,0.5862472077293333,0.0575328046145712,0.721,0.017,0.135,0.752,0.031
21,0.55,0.08,0.5862472077293333,0.0575328046145712,0.789,0.034,0.203,0.828,0.039
31,0.55,0.08,0.5862472077293333,0.0575328046145712,0.822,0.016,0.236,0.879,0.057
41,0.55,0.08,0.5862472077293333,0.0575328046145712,0.874,0.026,0.288,0.915,0.041
51,0.55,0.08,0.5862472077293333,0.0575328046145712,0.895,0.011,0.309,0.93,0.035
3,0.55,0.16,0.6465738962457261,0.1026556580430055,0.721,0.0,0.074,0.749,0.028
5,0.55,0.16,0.6465738962457261,0.1026556580430055,0.776,0.028,0.129,0.813,0.037
7,0.55,0.16,0.6465738962457261,0.1026556580430055,0.778,0.001,0.131,0.839,0.061
9,0.55,0.16,0.6465738962457261,0.1026556580430055,0.828,0.025,0.181,0.866,0.038
11,0.55,0.16,0.6465738962457261,0.1026556580430055,0.861,0.017,0.214,0.894,0.033
21,0.55,0.16,0.6465738962457261,0.1026556580430055,0.906,0.023,0.259,0.958,0.052
31,0.55,0.16,0.6465738962457261,0.1026556580430055,0.958,0.026,0.311,0.987,0.029
41,0.55,0.16,0.6465738962457261,0.1026556580430055,0.971,0.007,0.324,0.993,0.022
51,0.55,0.16,0.6465738962457261,0.1026556580430055,0.988,0.009,0.341,0.998,0.01
3,0.55,0.32,0.7132889890192271,0.1352811298475507,0.789,0.0,0.076,0.833,0.044
5,0.55,0.32,0.7132889890192271,0.1352811298475507,0.874,0.042,0.161,0.915,0.041
7,0.55,0.32,0.7132889890192271,0.1352811298475507,0.898,0.012,0.185,0.94,0.042
9,0.55,0.32,0.7132889890192271,0.1352811298475507,0.9,0.001,0.187,0.96,0.06
11,0.55,0.32,0.7132889890192271,0.1352811298475507,0.93,0.015,0.217,0.967,0.037
21,0.55,0.32,0.7132889890192271,0.1352811298475507,0.988,0.029,0.275,0.998,0.01
31,0.55,0.32,0.7132889890192271,0.1352811298475507,0.996,0.004,0.283,1.0,0.004
41,0.55,0.32,0.7132889890192271,0.1352811298475507,1.0,0.002,0.287,1.0,0.0
51,0.55,0.32,0.7132889890192271,0.1352811298475507,0.999,-0.001,0.286,1.0,0.001
3,0.55,0.64,0.7401202493698373,0.142110505886336,0.826,0.0,0.086,0.861,0.035
5,0.55,0.64,0.7401202493698373,0.142110505886336,0.903,0.039,0.163,0.944,0.041
7,0.55,0.64,0.7401202493698373,0.142110505886336,0.927,0.012,0.187,0.969,0.042
9,0.55,0.64,0.7401202493698373,0.142110505886336,0.954,0.013,0.214,0.98,0.026
11,0.55,0.64,0.7401202493698373,0.142110505886336,0.951,-0.002,0.211,0.99,0.039
21,0.55,0.64,0.7401202493698373,0.142110505886336,0.99,0.02,0.25,1.0,0.01
31,0.55,0.64,0.7401202493698373,0.142110505886336,0.997,0.004,0.257,1.0,0.003
41,0.55,0.64,0.7401202493698373,0.142110505886336,1.0,0.002,0.26,1.0,0.0
51,0.55,0.64,0.7401202493698373,0.142110505886336,1.0,0.0,0.26,1.0,0.0
3,0.55,1.28,0.7474900323155698,0.1433846098421971,0.843,0.0,0.096,0.873,0.03
5,0.55,1.28,0.7474900323155698,0.1433846098421971,0.885,0.021,0.138,0.946,0.061
7,0.55,1.28,0.7474900323155698,0.1433846098421971,0.924,0.02,0.177,0.958,0.034
9,0.55,1.28,0.7474900323155698,0.1433846098421971,0.959,0.017,0.212,0.985,0.026
11,0.55,1.28,0.7474900323155698,0.1433846098421971,0.967,0.004,0.22,0.988,0.021
21,0.55,1.28,0.7474900323155698,0.1433846098421971,0.994,0.014,0.247,0.999,0.005
31,0.55,1.28,0.7474900323155698,0.1433846098421971,0.997,0.002,0.25,0.998,0.001
41,0.55,1.28,0.7474900323155698,0.1433846098421971,1.0,0.002,0.253,1.0,0.0
51,0.55,1.28,0.7474900323155698,0.1433846098421971,1.0,0.0,0.253,1.0,0.0
3,0.55,2.56,0.7493700908555275,0.1436687311284967,0.84,0.0,0.091,0.884,0.044
5,0.55,2.56,0.7493700908555275,0.1436687311284967,0.886,0.023,0.137,0.938,0.052
7,0.55,2.56,0.7493700908555275,0.1436687311284967,0.936,0.025,0.187,0.973,0.037
9,0.55,2.56,0.7493700908555275,0.1436687311284967,0.942,0.003,0.193,0.975,0.033
11,0.55,2.56,0.7493700908555275,0.1436687311284967,0.963,0.011,0.214,0.991,0.028
21,0.55,2.56,0.7493700908555275,0.1436687311284967,0.989,0.013,0.24,0.999,0.01
31,0.55,2.56,0.7493700908555275,0.1436687311284967,0.998,0.005,0.249,1.0,0.002
41,0.55,2.56,0.7493700908555275,0.1436687311284967,1.0,0.001,0.251,1.0,0.0
51,0.55,2.56,0.7493700908555275,0.1436687311284967,1.0,0.0,0.251,1.0,0.0
3,0.6,0.01,0.6,0.01,0.675,0.0,0.075,0.675,0.0
5,0.6,0.01,0.6,0.01,0.675,0.0,0.075,0.675,0.0
7,0.6,0.01,0.6,0.01,0.692,0.008,0.092,0.693,0.001
9,0.6,0.01,0.6,0.01,0.745,0.027,0.145,0.745,0.0
11,0.6,0.01,0.6,0.01,0.748,0.002,0.148,0.749,0.001
21,0.6,0.01,0.6,0.01,0.84,0.046,0.24,0.84,0.0
31,0.6,0.01,0.6,0.01,0.883,0.022,0.283,0.886,0.003
41,0.6,0.01,0.6,0.01,0.9,0.009,0.3,0.903,0.003
51,0.6,0.01,0.6,0.01,0.931,0.016,0.331,0.932,0.001
3,0.6,0.02,0.6000000381320322,0.0199999056229612,0.663,0.0,0.063,0.663,0.0
5,0.6,0.02,0.6000000381320322,0.0199999056229612,0.681,0.009,0.081,0.679,-0.002
7,0.6,0.02,0.6000000381320322,0.0199999056229612,0.689,0.004,0.089,0.688,-0.001
9,0.6,0.02,0.6000000381320322,0.0199999056229612,0.718,0.015,0.118,0.718,0.0
11,0.6,0.02,0.6000000381320322,0.0199999056229612,0.748,0.015,0.148,0.749,0.001
21,0.6,0.02,0.6000000381320322,0.0199999056229612,0.823,0.037,0.223,0.823,0.0
31,0.6,0.02,0.6000000381320322,0.0199999056229612,0.873,0.025,0.273,0.88,0.007
41,0.6,0.02,0.6000000381320322,0.0199999056229612,0.888,0.008,0.288,0.886,-0.002
51,0.6,0.02,0.6000000381320322,0.0199999056229612,0.933,0.023,0.333,0.939,0.006
3,0.6,0.04,0.6007511217813778,0.0390522055678438,0.638,0.0,0.037,0.644,0.006
5,0.6,0.04,0.6007511217813778,0.0390522055678438,0.703,0.032,0.102,0.707,0.004
7,0.6,0.04,0.6007511217813778,0.0390522055678438,0.711,0.004,0.11,0.71,-0.001
9,0.6,0.04,0.6007511217813778,0.0390522055678438,0.718,0.004,0.117,0.737,0.019
11,0.6,0.04,0.6007511217813778,0.0390522055678438,0.764,0.023,0.163,0.775,0.011
21,0.6,0.04,0.6007511217813778,0.0390522055678438,0.846,0.041,0.245,0.853,0.007
31,0.6,0.04,0.6007511217813778,0.0390522055678438,0.871,0.013,0.27,0.899,0.028
41,0.6,0.04,0.6007511217813778,0.0390522055678438,0.922,0.026,0.321,0.93,0.008
