voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.564,0.014,0.014,0.564,0.014,0.014,0.0,0.0,0.0,1.0,,1.0
5,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.588,0.038,0.038,0.597,0.047,0.047,-0.009,0.017,0.012,1.237,1.417,1.015
7,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.608,0.058,0.058,0.611,0.061,0.061,-0.003,0.007,0.01,1.052,0.7,1.005
9,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.624,0.074,0.074,0.616,0.066,0.066,0.008,0.003,0.008,0.892,0.375,0.987
11,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.675,0.125,0.125,0.669,0.119,0.119,0.006,0.027,0.026,0.952,1.038,0.991
21,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.696,0.146,0.146,0.695,0.145,0.145,0.001,0.013,0.01,0.993,1.3,0.999
31,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.702,0.152,0.152,0.709,0.159,0.159,-0.007,0.007,0.003,1.046,2.333,1.01
41,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.742,0.192,0.192,0.734,0.184,0.184,0.008,0.013,0.02,0.958,0.65,0.989
51,0.55,0.01,"TruncNorm[0.501,0.999]",1000,0.5500000243896191,0.0099999402452248,0.763,0.213,0.213,0.762,0.212,0.212,0.001,0.014,0.011,0.995,1.273,0.999
3,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.59,0.04,0.04,0.597,0.047,0.047,-0.007,0.0,0.0,1.177,,1.012
5,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.595,0.045,0.045,0.598,0.048,0.048,-0.003,0.001,0.003,1.067,0.333,1.005
7,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.585,0.035,0.035,0.585,0.035,0.035,0.0,-0.007,-0.005,1.0,1.4,1.0
9,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.611,0.061,0.061,0.607,0.057,0.057,0.004,0.011,0.013,0.934,0.846,0.993
11,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.639,0.089,0.089,0.621,0.071,0.071,0.018,0.007,0.014,0.797,0.5,0.972
21,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.681,0.131,0.131,0.682,0.132,0.132,-0.001,0.031,0.021,1.008,1.476,1.001
31,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.742,0.192,0.192,0.736,0.186,0.186,0.006,0.027,0.03,0.969,0.9,0.992
41,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.771,0.221,0.221,0.766,0.216,0.216,0.005,0.015,0.015,0.977,1.0,0.994
51,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.76,0.21,0.21,0.746,0.196,0.196,0.014,-0.01,-0.006,0.933,1.667,0.982
3,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.583,0.033,0.025,0.59,0.04,0.032,-0.007,0.0,0.0,1.285,,1.012
5,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.641,0.091,0.083,0.636,0.086,0.078,0.005,0.023,0.029,0.939,0.793,0.992
7,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.635,0.085,0.077,0.619,0.069,0.061,0.016,-0.009,-0.003,0.791,3.0,0.975
9,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.657,0.107,0.099,0.646,0.096,0.088,0.011,0.014,0.011,0.888,1.273,0.983
11,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.66,0.11,0.102,0.63,0.08,0.072,0.03,-0.008,0.002,0.705,-4.0,0.955
21,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.725,0.175,0.167,0.705,0.155,0.147,0.02,0.037,0.032,0.88,1.156,0.972
31,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.778,0.228,0.22,0.752,0.202,0.194,0.026,0.024,0.027,0.882,0.889,0.967
41,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.814,0.264,0.256,0.758,0.208,0.2,0.056,0.003,0.018,0.781,0.167,0.931
51,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.807,0.257,0.249,0.791,0.241,0.233,0.016,0.017,-0.003,0.936,-5.667,0.98
3,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.631,0.081,0.045,0.628,0.078,0.042,0.003,0.0,0.0,0.933,,0.995
5,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.676,0.126,0.09,0.662,0.112,0.076,0.014,0.017,0.023,0.844,0.739,0.979
7,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.701,0.151,0.115,0.683,0.133,0.097,0.018,0.011,0.012,0.843,0.917,0.974
9,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.708,0.158,0.122,0.686,0.136,0.1,0.022,0.002,0.004,0.819,0.5,0.969
11,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.752,0.202,0.166,0.721,0.171,0.135,0.031,0.017,0.022,0.813,0.773,0.959
21,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.828,0.278,0.242,0.789,0.239,0.203,0.039,0.034,0.038,0.839,0.895,0.953
31,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.879,0.329,0.293,0.822,0.272,0.236,0.057,0.016,0.026,0.805,0.615,0.935
41,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.915,0.365,0.329,0.874,0.324,0.288,0.041,0.026,0.018,0.875,1.444,0.955
51,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.93,0.38,0.344,0.895,0.345,0.309,0.035,0.011,0.008,0.898,1.375,0.962
3,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.749,0.199,0.102,0.721,0.171,0.074,0.028,0.0,0.0,0.727,,0.963
5,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.813,0.263,0.166,0.776,0.226,0.129,0.037,0.028,0.032,0.778,0.875,0.954
