voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.026,1.6,1.021
5,0.55,0.026,1.0,1.0
7,0.55,0.026,0.746,0.971
9,0.55,0.026,0.684,0.97
11,0.55,0.026,0.856,0.977
21,0.55,0.026,0.887,0.977
31,0.55,0.026,0.798,0.945
41,0.55,0.026,0.828,0.948
51,0.55,0.026,0.872,0.961
3,0.6,0.055,0.662,0.967
5,0.6,0.055,0.94,0.991
7,0.6,0.055,0.697,0.95
9,0.6,0.055,0.801,0.956
11,0.6,0.055,0.867,0.969
21,0.6,0.055,0.898,0.97
31,0.6,0.055,0.848,0.948
41,0.6,0.055,0.896,0.963
51,0.6,0.055,0.917,0.97
3,0.65,0.029,1.0,1.0
5,0.65,0.029,1.0,1.0
7,0.65,0.029,1.008,1.001
9,0.65,0.029,0.977,0.995
11,0.65,0.029,0.99,0.998
21,0.65,0.029,0.975,0.992
31,0.65,0.029,1.0,1.0
41,0.65,0.029,0.984,0.995
51,0.65,0.029,1.0,1.0
3,0.66,0.084,0.51,0.936
5,0.66,0.084,0.847,0.969
7,0.66,0.084,0.854,0.967
9,0.66,0.084,0.808,0.951
11,0.66,0.084,0.887,0.97
21,0.66,0.084,0.903,0.969
31,0.66,0.084,0.978,0.993
41,0.66,0.084,0.967,0.989
51,0.66,0.084,0.994,0.998
3,0.7,0.058,0.94,0.994
5,0.7,0.058,0.994,0.999
7,0.7,0.058,0.943,0.989
9,0.7,0.058,0.939,0.987
11,0.7,0.058,0.964,0.991
21,0.7,0.058,1.019,1.005
31,0.7,0.058,0.997,0.999
41,0.7,0.058,1.0,1.0
51,0.7,0.058,0.997,0.999
3,0.7,0.113,0.803,0.97
5,0.7,0.113,0.754,0.952
7,0.7,0.113,0.779,0.95
9,0.7,0.113,0.885,0.972
11,0.7,0.113,0.881,0.969
21,0.7,0.113,0.928,0.979
31,0.7,0.113,0.95,0.985
41,0.7,0.113,0.99,0.997
51,0.7,0.113,1.0,1.0
3,0.75,0.029,1.0,1.0
5,0.75,0.029,1.0,1.0
7,0.75,0.029,1.006,1.001
9,0.75,0.029,1.01,1.002
11,0.75,0.029,1.0,1.0
21,0.75,0.029,1.008,1.002
31,0.75,0.029,1.0,1.0
41,0.75,0.029,1.0,1.0
51,0.75,0.029,1.004,1.001
3,0.75,0.087,0.958,0.994
5,0.75,0.087,0.926,0.987
7,0.75,0.087,0.935,0.987
9,0.75,0.087,0.93,0.984
11,0.75,0.087,0.995,0.999
21,0.75,0.087,0.992,0.998
31,0.75,0.087,1.0,1.0
41,0.75,0.087,0.996,0.999
51,0.75,0.087,1.0,1.0
3,0.75,0.139,0.746,0.964
5,0.75,0.139,0.812,0.962
7,0.75,0.139,0.889,0.976
9,0.75,0.139,0.828,0.959
11,0.75,0.139,0.906,0.978
21,0.75,0.139,0.98,0.995
31,0.75,0.139,0.996,0.999
41,0.75,0.139,1.0,1.0
51,0.75,0.139,1.0,1.0
3,0.8,0.058,0.979,0.998
5,0.8,0.058,1.0,1.0
7,0.8,0.058,0.977,0.996
9,0.8,0.058,0.989,0.998
11,0.8,0.058,0.995,0.999
21,0.8,0.058,0.995,0.999
31,0.8,0.058,1.0,1.0
41,0.8,0.058,1.0,1.0
51,0.8,0.058,1.0,1.0
3,0.8,0.113,0.939,0.992
5,0.8,0.113,0.932,0.989
7,0.8,0.113,0.87,0.976
9,0.8,0.113,0.926,0.986
11,0.8,0.113,0.939,0.988
21,0.8,0.113,0.99,0.998
31,0.8,0.113,1.0,1.0
41,0.8,0.113,1.0,1.0
51,0.8,0.113,1.0,1.0
3,0.84,0.084,0.93,0.993
5,0.84,0.084,1.0,1.0
7,0.84,0.084,0.98,0.997
9,0.84,0.084,1.0,1.0
11,0.84,0.084,0.994,0.999
21,0.84,0.084,1.0,1.0
31,0.84,0.084,1.0,1.0
41,0.84,0.084,1.0,1.0
51,0.84,0.084,1.0,1.0
3,0.85,0.029,1.0,1.0
5,0.85,0.029,1.0,1.0
7,0.85,0.029,1.0,1.0
9,0.85,0.029,1.0,1.0
11,0.85,0.029,1.0,1.0
21,0.85,0.029,1.0,1.0
31,0.85,0.029,1.0,1.0
41,0.85,0.029,1.0,1.0
51,0.85,0.029,1.0,1.0
3,0.9,0.055,1.0,1.0
5,0.9,0.055,0.99,0.999
7,0.9,0.055,0.98,0.998
9,0.9,0.055,1.0,1.0
11,0.9,0.055,1.0,1.0
21,0.9,0.055,1.0,1.0
31,0.9,0.055,1.0,1.0
41,0.9,0.055,1.0,1.0
51,0.9,0.055,1.0,1.0
3,0.94,0.026,1.0,1.0
5,0.94,0.026,1.0,1.0
7,0.94,0.026,1.0,1.0
9,0.94,0.026,1.0,1.0
11,0.94,0.026,1.0,1.0
21,0.94,0.026,1.0,1.0
31,0.94,0.026,1.0,1.0
41,0.94,0.026,1.0,1.0
51,0.94,0.026,1.0,1.0
