voters,distribution,mean,std,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,uniform,0.55,0.026,1000,0.55,0.026,0.57,0.02,0.02,0.582,0.032,0.032,-0.012,0.0,0.0,1.6,,1.021
5,uniform,0.55,0.026,1000,0.55,0.026,0.606,0.056,0.056,0.606,0.056,0.056,0.0,0.012,0.018,1.0,0.667,1.0
7,uniform,0.55,0.026,1000,0.55,0.026,0.621,0.071,0.071,0.603,0.053,0.053,0.018,-0.002,0.008,0.746,-0.25,0.971
9,uniform,0.55,0.026,1000,0.55,0.026,0.607,0.057,0.057,0.589,0.039,0.039,0.018,-0.007,-0.007,0.684,1.0,0.97
11,uniform,0.55,0.026,1000,0.55,0.026,0.654,0.104,0.104,0.639,0.089,0.089,0.015,0.025,0.024,0.856,1.042,0.977
21,uniform,0.55,0.026,1000,0.55,0.026,0.691,0.141,0.141,0.675,0.125,0.125,0.016,0.018,0.018,0.887,1.0,0.977
31,uniform,0.55,0.026,1000,0.55,0.026,0.758,0.208,0.208,0.716,0.166,0.166,0.042,0.02,0.034,0.798,0.588,0.945
41,uniform,0.55,0.026,1000,0.55,0.026,0.788,0.238,0.238,0.747,0.197,0.197,0.041,0.016,0.015,0.828,1.067,0.948
51,uniform,0.55,0.026,1000,0.55,0.026,0.793,0.243,0.243,0.762,0.212,0.212,0.031,0.008,0.003,0.872,2.667,0.961
3,uniform,0.6,0.055,1000,0.6,0.055,0.665,0.065,0.065,0.643,0.043,0.043,0.022,0.0,0.0,0.662,,0.967
5,uniform,0.6,0.055,1000,0.6,0.055,0.7,0.1,0.1,0.694,0.094,0.094,0.006,0.025,0.017,0.94,1.471,0.991
7,uniform,0.6,0.055,1000,0.6,0.055,0.719,0.119,0.119,0.683,0.083,0.083,0.036,-0.005,0.01,0.697,-0.5,0.95
9,uniform,0.6,0.055,1000,0.6,0.055,0.771,0.171,0.171,0.737,0.137,0.137,0.034,0.027,0.026,0.801,1.038,0.956
11,uniform,0.6,0.055,1000,0.6,0.055,0.781,0.181,0.181,0.757,0.157,0.157,0.024,0.01,0.005,0.867,2.0,0.969
21,uniform,0.6,0.055,1000,0.6,0.055,0.844,0.244,0.244,0.819,0.219,0.219,0.025,0.031,0.031,0.898,1.0,0.97
31,uniform,0.6,0.055,1000,0.6,0.055,0.915,0.315,0.315,0.867,0.267,0.267,0.048,0.024,0.036,0.848,0.667,0.948
41,uniform,0.6,0.055,1000,0.6,0.055,0.928,0.328,0.328,0.894,0.294,0.294,0.034,0.014,0.007,0.896,2.0,0.963
51,uniform,0.6,0.055,1000,0.6,0.055,0.938,0.338,0.338,0.91,0.31,0.31,0.028,0.008,0.005,0.917,1.6,0.97
3,uniform,0.65,0.029,1000,0.65,0.029,0.698,0.048,0.048,0.698,0.048,0.048,0.0,0.0,0.0,1.0,,1.0
5,uniform,0.65,0.029,1000,0.65,0.029,0.752,0.102,0.102,0.752,0.102,0.102,0.0,0.027,0.027,1.0,1.0,1.0
7,uniform,0.65,0.029,1000,0.65,0.029,0.768,0.118,0.118,0.769,0.119,0.119,-0.001,0.009,0.008,1.008,1.125,1.001
9,uniform,0.65,0.029,1000,0.65,0.029,0.826,0.176,0.176,0.822,0.172,0.172,0.004,0.026,0.029,0.977,0.897,0.995
11,uniform,0.65,0.029,1000,0.65,0.029,0.848,0.198,0.198,0.846,0.196,0.196,0.002,0.012,0.011,0.99,1.091,0.998
21,uniform,0.65,0.029,1000,0.65,0.029,0.927,0.277,0.277,0.92,0.27,0.27,0.007,0.037,0.04,0.975,0.925,0.992
31,uniform,0.65,0.029,1000,0.65,0.029,0.955,0.305,0.305,0.955,0.305,0.305,0.0,0.017,0.014,1.0,1.214,1.0
41,uniform,0.65,0.029,1000,0.65,0.029,0.971,0.321,0.321,0.966,0.316,0.316,0.005,0.006,0.008,0.984,0.75,0.995
51,uniform,0.65,0.029,1000,0.65,0.029,0.99,0.34,0.34,0.99,0.34,0.34,0.0,0.012,0.01,1.0,1.2,1.0
3,uniform,0.66,0.084,1000,0.66,0.084,0.76,0.1,0.1,0.711,0.051,0.051,0.049,0.0,0.0,0.51,,0.936
5,uniform,0.66,0.084,1000,0.66,0.084,0.83,0.17,0.17,0.804,0.144,0.144,0.026,0.047,0.035,0.847,1.343,0.969
7,uniform,0.66,0.084,1000,0.66,0.084,0.852,0.192,0.192,0.824,0.164,0.164,0.028,0.01,0.011,0.854,0.909,0.967
9,uniform,0.66,0.084,1000,0.66,0.084,0.884,0.224,0.224,0.841,0.181,0.181,0.043,0.009,0.016,0.808,0.562,0.951
11,uniform,0.66,0.084,1000,0.66,0.084,0.898,0.238,0.238,0.871,0.211,0.211,0.027,0.015,0.007,0.887,2.143,0.97
21,uniform,0.66,0.084,1000,0.66,0.084,0.97,0.31,0.31,0.94,0.28,0.28,0.03,0.034,0.036,0.903,0.944,0.969
31,uniform,0.66,0.084,1000,0.66,0.084,0.976,0.316,0.316,0.969,0.309,0.309,0.007,0.015,0.003,0.978,5.0,0.993
41,uniform,0.66,0.084,1000,0.66,0.084,0.992,0.332,0.332,0.981,0.321,0.321,0.011,0.006,0.008,0.967,0.75,0.989
51,uniform,0.66,0.084,1000,0.66,0.084,0.998,0.338,0.338,0.996,0.336,0.336,0.002,0.008,0.003,0.994,2.667,0.998
3,uniform,0.7,0.058,1000,0.7,0.058,0.784,0.084,0.084,0.779,0.079,0.079,0.005,0.0,0.0,0.94,,0.994
5,uniform,0.7,0.058,1000,0.7,0.058,0.865,0.165,0.165,0.864,0.164,0.164,0.001,0.042,0.04,0.994,1.05,0.999
7,uniform,0.7,0.058,1000,0.7,0.058,0.875,0.175,0.175,0.865,0.165,0.165,0.01,0.001,0.005,0.943,0.2,0.989
9,uniform,0.7,0.058,1000,0.7,0.058,0.898,0.198,0.198,0.886,0.186,0.186,0.012,0.011,0.012,0.939,0.917,0.987
11,uniform,0.7,0.058,1000,0.7,0.058,0.923,0.223,0.223,0.915,0.215,0.215,0.008,0.015,0.013,0.964,1.154,0.991
21,uniform,0.7,0.058,1000,0.7,0.058,0.967,0.267,0.267,0.972,0.272,0.272,-0.005,0.028,0.022,1.019,1.273,1.005
31,uniform,0.7,0.058,1000,0.7,0.058,0.992,0.292,0.292,0.991,0.291,0.291,0.001,0.01,0.013,0.997,0.769,0.999
41,uniform,0.7,0.058,1000,0.7,0.058,0.996,0.296,0.296,0.996,0.296,0.296,0.0,0.003,0.002,1.0,1.5,1.0
51,uniform,0.7,0.058,1000,0.7,0.058,0.998,0.298,0.298,0.997,0.297,0.297,0.001,0.001,0.001,0.997,1.0,0.999
3,uniform,0.7,0.113,1000,0.7,0.113,0.827,0.127,0.127,0.802,0.102,0.102,0.025,0.0,0.0,0.803,,0.97
