Unnamed: 0.1,Unnamed: 0,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
0.0,0.0,3.0,0.55,0.02,1000.0,0.550399601364754,0.558,0.008,0.007600398635246,0.56,0.01,0.009600398635246,-0.002,0.0,0.0,1.25,,1.003584229390681
1.0,81.0,5.0,0.55,0.02,1000.0,0.550399601364754,0.6,0.0499999999999999,0.049600398635246,0.594,0.0439999999999999,0.043600398635246,0.006,0.0339999999999999,0.0419999999999999,0.8799999999999998,0.8095238095238091,0.99
2.0,1.0,3.0,0.55,0.03,1000.0,0.5533231948878277,0.621,0.0709999999999999,0.0676768051121723,0.598,0.0479999999999999,0.0446768051121723,0.023,0.0,0.0,0.6760563380281686,,0.9629629629629628
3.0,82.0,5.0,0.55,0.03,1000.0,0.5533231948878277,0.591,0.0409999999999999,0.0376768051121723,0.597,0.0469999999999999,0.0436768051121723,-0.006,-0.001,-0.03,1.1463414634146347,0.0333333333333333,1.0101522842639594
4.0,2.0,3.0,0.55,0.04,1000.0,0.5584696183361306,0.597,0.0469999999999999,0.0385303816638693,0.589,0.0389999999999999,0.0305303816638693,0.008,0.0,0.0,0.8297872340425528,,0.9865996649916248
5.0,83.0,5.0,0.55,0.04,1000.0,0.5584696183361306,0.61,0.0599999999999999,0.0515303816638693,0.589,0.0389999999999999,0.0305303816638693,0.021,0.0,0.013,0.6499999999999995,0.0,0.9655737704918032
6.0,3.0,3.0,0.55,0.07,1000.0,0.5788347324891652,0.617,0.0669999999999999,0.0381652675108348,0.605,0.0549999999999999,0.0261652675108348,0.012,0.0,0.0,0.8208955223880594,,0.9805510534846028
7.0,84.0,5.0,0.55,0.07,1000.0,0.5788347324891652,0.665,0.1149999999999999,0.0861652675108348,0.649,0.0989999999999999,0.0701652675108348,0.016,0.044,0.048,0.8608695652173912,0.9166666666666666,0.97593984962406
8.0,4.0,3.0,0.55,0.08,1000.0,0.5862472077293333,0.633,0.0829999999999999,0.0467527922706667,0.621,0.0709999999999999,0.0347527922706667,0.012,0.0,0.0,0.8554216867469878,,0.981042654028436
9.0,85.0,5.0,0.55,0.08,1000.0,0.5862472077293333,0.672,0.122,0.0857527922706667,0.644,0.0939999999999999,0.0577527922706667,0.028,0.023,0.039,0.7704918032786877,0.5897435897435898,0.9583333333333331
10.0,5.0,3.0,0.55,0.09,1000.0,0.5937931619750162,0.65,0.0999999999999999,0.0562068380249838,0.653,0.1029999999999999,0.0592068380249838,-0.003,0.0,0.0,1.03,,1.004615384615385
11.0,86.0,5.0,0.55,0.09,1000.0,0.5937931619750162,0.699,0.1489999999999999,0.1052068380249837,0.675,0.125,0.0812068380249838,0.024,0.022,0.0489999999999999,0.8389261744966447,0.4489795918367356,0.9656652360515022
12.0,6.0,3.0,0.55,0.12,1000.0,0.6168295337958563,0.716,0.1659999999999999,0.0991704662041437,0.687,0.137,0.0701704662041438,0.029,0.0,0.0,0.8253012048192777,,0.9594972067039108
13.0,87.0,5.0,0.55,0.12,1000.0,0.6168295337958563,0.731,0.1809999999999999,0.1141704662041437,0.719,0.1689999999999999,0.1021704662041437,0.012,0.0319999999999999,0.015,0.9337016574585636,2.133333333333326,0.9835841313269492
14.0,7.0,3.0,0.55,0.13,1000.0,0.6245010983283475,0.705,0.1549999999999999,0.0804989016716524,0.686,0.136,0.0614989016716525,0.019,0.0,0.0,0.8774193548387104,,0.9730496453900712
15.0,88.0,5.0,0.55,0.13,1000.0,0.6245010983283475,0.777,0.2269999999999999,0.1524989016716524,0.744,0.1939999999999999,0.1194989016716524,0.033,0.0579999999999999,0.072,0.8546255506607929,0.8055555555555542,0.9575289575289576
16.0,8.0,3.0,0.55,0.14,1000.0,0.6320664588183131,0.735,0.1849999999999999,0.1029335411816868,0.696,0.1459999999999999,0.0639335411816868,0.039,0.0,0.0,0.7891891891891891,,0.946938775510204
17.0,89.0,5.0,0.55,0.14,1000.0,0.6320664588183131,0.758,0.2079999999999999,0.1259335411816868,0.734,0.1839999999999999,0.1019335411816868,0.024,0.038,0.023,0.8846153846153846,1.6521739130434785,0.9683377308707124
18.0,9.0,3.0,0.6,0.02,1000.0,0.6000000381320322,0.665,0.065,0.0649999618679678,0.665,0.065,0.0649999618679678,0.0,0.0,0.0,1.0,,1.0
19.0,90.0,5.0,0.6,0.02,1000.0,0.6000000381320322,0.671,0.071,0.0709999618679678,0.674,0.074,0.0739999618679678,-0.003,0.009,0.006,1.0422535211267605,1.4999999999999998,1.0044709388971684
20.0,10.0,3.0,0.6,0.03,1000.0,0.6000517020621967,0.629,0.029,0.0289482979378032,0.623,0.023,0.0229482979378032,0.006,0.0,0.0,0.793103448275862,,0.9904610492845788
21.0,91.0,5.0,0.6,0.03,1000.0,0.6000517020621967,0.668,0.068,0.0679482979378033,0.668,0.068,0.0679482979378033,0.0,0.045,0.039,1.0,1.1538461538461535,1.0
22.0,11.0,3.0,0.6,0.04,1000.0,0.6007511217813778,0.668,0.068,0.0672488782186222,0.663,0.063,0.0622488782186222,0.005,0.0,0.0,0.926470588235294,,0.9925149700598802
23.0,92.0,5.0,0.6,0.04,1000.0,0.6007511217813778,0.69,0.0899999999999999,0.0892488782186221,0.673,0.073,0.0722488782186222,0.017,0.01,0.0219999999999999,0.811111111111112,0.4545454545454566,0.97536231884058
24.0,12.0,3.0,0.6,0.07,1000.0,0.6111490891665544,0.685,0.085,0.0738509108334456,0.661,0.061,0.0498509108334456,0.024,0.0,0.0,0.7176470588235293,,0.964963503649635
