voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.0195002526105777,0.566,0.0159999999999999,0.0156003986352459,0.57,0.0199999999999999,0.0196003986352459,-0.004
3,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.566,0.0159999999999999,0.0159999999999999,0.568,0.0179999999999999,0.0179999999999999,-0.002
3,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.0333654651813799,0.571,0.0209999999999999,0.0125303816638693,0.575,0.0249999999999999,0.0165303816638693,-0.004
3,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.588,0.0379999999999999,0.0379999999999999,0.555,0.005,0.005,0.033
3,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.645,0.0949999999999999,0.0587527922706667,0.651,0.1009999999999999,0.0647527922706667,-0.006
3,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.0799999870528959,0.648,0.0979999999999999,0.0980000046094541,0.571,0.0209999999999999,0.021000004609454,0.077
3,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.751,0.2009999999999999,0.1044261037542738,0.719,0.1689999999999999,0.0724261037542738,0.032
3,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.1579270639166682,0.711,0.1609999999999999,0.162070285976013,0.602,0.0519999999999999,0.053070285976013,0.109
3,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.833,0.2829999999999999,0.1197110109807728,0.809,0.259,0.0957110109807729,0.024
3,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.827,0.2769999999999999,0.2979904962931529,0.547,-0.003,0.0179904962931529,0.28
3,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.878,0.3279999999999999,0.1378797506301626,0.823,0.2729999999999999,0.0828797506301626,0.055
3,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.2764526969282136,0.886,0.3359999999999999,0.3766666910570825,0.518,-0.032,0.0086666910570825,0.368
3,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.1433846098421971,0.88,0.3299999999999999,0.1325099676844302,0.844,0.2939999999999999,0.0965099676844302,0.036
3,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.882,0.3319999999999999,0.3795180201116099,0.509,-0.041,0.0065180201116099,0.373
3,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.881,0.3309999999999999,0.1316299091444724,0.852,0.3019999999999999,0.1026299091444724,0.029
3,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.895,0.345,0.3943699604615404,0.499,-0.051,-0.0016300395384596,0.396
3,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.0199999056229612,0.635,0.035,0.0349999618679678,0.636,0.036,0.0359999618679678,-0.001
3,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.646,0.046,0.046,0.647,0.047,0.047,-0.001
3,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.0390522055678438,0.637,0.037,0.0362488782186222,0.644,0.044,0.0432488782186222,-0.007
3,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.646,0.046,0.046,0.647,0.047,0.047,-0.001
