distribution,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
uniform,3,0.55,0.0519615242270663,1000,0.55,0.659,0.1089999999999999,0.1089999999999999,0.662,0.1119999999999999,0.1119999999999999,-0.003,,,,,
uniform,5,0.55,0.0519615242270663,1000,0.55,0.695,0.1449999999999999,0.1449999999999999,0.691,0.1409999999999999,0.1409999999999999,0.004,,,,,
uniform,7,0.55,0.0519615242270663,1000,0.55,0.697,0.1469999999999999,0.1469999999999999,0.71,0.1599999999999999,0.1599999999999999,-0.013,,,,,
uniform,9,0.55,0.0519615242270663,1000,0.55,0.721,0.1709999999999999,0.1709999999999999,0.719,0.1689999999999999,0.1689999999999999,0.002,,,,,
uniform,11,0.55,0.0519615242270663,1000,0.55,0.745,0.1949999999999999,0.1949999999999999,0.738,0.1879999999999999,0.1879999999999999,0.007,,,,,
uniform,21,0.55,0.0519615242270663,1000,0.55,0.833,0.2829999999999999,0.2829999999999999,0.827,0.2769999999999999,0.2769999999999999,0.006,,,,,
uniform,31,0.55,0.0519615242270663,1000,0.55,0.858,0.3079999999999999,0.3079999999999999,0.855,0.3049999999999999,0.3049999999999999,0.003,,,,,
uniform,41,0.55,0.0519615242270663,1000,0.55,0.893,0.3429999999999999,0.3429999999999999,0.883,0.3329999999999999,0.3329999999999999,0.01,,,,,
uniform,51,0.55,0.0519615242270663,1000,0.55,0.914,0.364,0.364,0.903,0.353,0.353,0.011,,,,,
uniform,3,0.55,0.0519615242270663,1000,0.55,0.638,0.0879999999999999,0.0879999999999999,0.644,0.0939999999999999,0.0939999999999999,-0.006,,,,,
uniform,5,0.55,0.0519615242270663,1000,0.55,0.655,0.1049999999999999,0.1049999999999999,0.651,0.1009999999999999,0.1009999999999999,0.004,,,,,
uniform,7,0.55,0.0519615242270663,1000,0.55,0.705,0.1549999999999999,0.1549999999999999,0.698,0.1479999999999999,0.1479999999999999,0.007,,,,,
uniform,9,0.55,0.0519615242270663,1000,0.55,0.731,0.1809999999999999,0.1809999999999999,0.732,0.1819999999999999,0.1819999999999999,-0.001,,,,,
uniform,11,0.55,0.0519615242270663,1000,0.55,0.732,0.1819999999999999,0.1819999999999999,0.724,0.1739999999999999,0.1739999999999999,0.008,,,,,
uniform,21,0.55,0.0519615242270663,1000,0.55,0.825,0.2749999999999999,0.2749999999999999,0.813,0.2629999999999999,0.2629999999999999,0.012,,,,,
uniform,31,0.55,0.0519615242270663,1000,0.55,0.874,0.3239999999999999,0.3239999999999999,0.849,0.2989999999999999,0.2989999999999999,0.025,,,,,
uniform,41,0.55,0.0519615242270663,1000,0.55,0.9,0.35,0.35,0.886,0.3359999999999999,0.3359999999999999,0.014,,,,,
uniform,51,0.55,0.0519615242270663,1000,0.55,0.924,0.374,0.374,0.922,0.372,0.372,0.002,,,,,
uniform,3,0.6,0.1096965511460288,1000,0.6,0.784,0.184,0.184,0.788,0.188,0.188,-0.004,,,,,
uniform,5,0.6,0.1096965511460288,1000,0.6,0.841,0.241,0.241,0.838,0.238,0.238,0.003,,,,,
uniform,7,0.6,0.1096965511460288,1000,0.6,0.871,0.271,0.271,0.865,0.265,0.265,0.006,,,,,
uniform,9,0.6,0.1096965511460288,1000,0.6,0.9,0.3,0.3,0.891,0.291,0.291,0.009,,,,,
uniform,11,0.6,0.1096965511460288,1000,0.6,0.922,0.322,0.322,0.903,0.303,0.303,0.019,,,,,
uniform,21,0.6,0.1096965511460288,1000,0.6,0.98,0.38,0.38,0.967,0.367,0.367,0.013,,,,,
uniform,31,0.6,0.1096965511460288,1000,0.6,0.995,0.395,0.395,0.991,0.391,0.391,0.004,,,,,
uniform,41,0.6,0.1096965511460288,1000,0.6,0.996,0.396,0.396,0.997,0.397,0.397,-0.001,,,,,
uniform,51,0.6,0.1096965511460288,1000,0.6,0.999,0.399,0.399,0.998,0.398,0.398,0.001,,,,,
uniform,3,0.66,0.1674315780649915,1000,0.66,0.901,0.241,0.241,0.904,0.244,0.244,-0.003,,,,,
uniform,5,0.66,0.1674315780649915,1000,0.66,0.956,0.2959999999999999,0.2959999999999999,0.954,0.2939999999999999,0.2939999999999999,0.002,,,,,
uniform,7,0.66,0.1674315780649915,1000,0.66,0.978,0.3179999999999999,0.3179999999999999,0.97,0.3099999999999999,0.3099999999999999,0.008,,,,,
uniform,9,0.66,0.1674315780649915,1000,0.66,0.993,0.3329999999999999,0.3329999999999999,0.99,0.3299999999999999,0.3299999999999999,0.003,,,,,
uniform,11,0.66,0.1674315780649915,1000,0.66,0.997,0.3369999999999999,0.3369999999999999,0.993,0.3329999999999999,0.3329999999999999,0.004,,,,,
uniform,21,0.66,0.1674315780649915,1000,0.66,1.0,0.3399999999999999,0.3399999999999999,1.0,0.3399999999999999,0.3399999999999999,0.0,,,,,
uniform,31,0.66,0.1674315780649915,1000,0.66,1.0,0.3399999999999999,0.3399999999999999,1.0,0.3399999999999999,0.3399999999999999,0.0,,,,,
uniform,41,0.66,0.1674315780649915,1000,0.66,1.0,0.3399999999999999,0.3399999999999999,1.0,0.3399999999999999,0.3399999999999999,0.0,,,,,
uniform,51,0.66,0.1674315780649915,1000,0.66,1.0,0.3399999999999999,0.3399999999999999,1.0,0.3399999999999999,0.3399999999999999,0.0,,,,,
uniform,3,0.55,0.0519615242270663,1000,0.55,0.671,0.121,0.121,0.664,0.1139999999999999,0.1139999999999999,0.007,,,,,
uniform,5,0.55,0.0519615242270663,1000,0.55,0.676,0.126,0.126,0.665,0.1149999999999999,0.1149999999999999,0.011,,,,,
uniform,7,0.55,0.0519615242270663,1000,0.55,0.715,0.1649999999999999,0.1649999999999999,0.721,0.1709999999999999,0.1709999999999999,-0.006,,,,,
uniform,9,0.55,0.0519615242270663,1000,0.55,0.745,0.1949999999999999,0.1949999999999999,0.74,0.1899999999999999,0.1899999999999999,0.005,,,,,
