voters,mean,std,true_mean,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.026,0.55,0.574,0.0,0.024,0.585,0.011
5,0.55,0.026,0.55,0.567,-0.004,0.017,0.617,0.05
7,0.55,0.026,0.55,0.594,0.014,0.044,0.616,0.022
9,0.55,0.026,0.55,0.648,0.027,0.098,0.642,-0.006
11,0.55,0.026,0.55,0.613,-0.018,0.063,0.649,0.036
21,0.55,0.026,0.55,0.689,0.038,0.139,0.706,0.017
31,0.55,0.026,0.55,0.715,0.013,0.165,0.746,0.031
41,0.55,0.026,0.55,0.754,0.02,0.204,0.784,0.03
51,0.55,0.026,0.55,0.752,-0.001,0.202,0.789,0.037
3,0.6,0.055,0.6,0.641,0.0,0.041,0.674,0.033
5,0.6,0.055,0.6,0.669,0.014,0.069,0.7,0.031
7,0.6,0.055,0.6,0.706,0.018,0.106,0.72,0.014
9,0.6,0.055,0.6,0.718,0.006,0.118,0.735,0.017
11,0.6,0.055,0.6,0.761,0.022,0.161,0.794,0.033
21,0.6,0.055,0.6,0.828,0.033,0.228,0.868,0.04
31,0.6,0.055,0.6,0.885,0.029,0.285,0.921,0.036
41,0.6,0.055,0.6,0.887,0.001,0.287,0.928,0.041
51,0.6,0.055,0.6,0.938,0.025,0.338,0.953,0.015
3,0.65,0.029,0.65,0.726,0.0,0.076,0.726,0.0
5,0.65,0.029,0.65,0.774,0.024,0.124,0.775,0.001
7,0.65,0.029,0.65,0.809,0.018,0.159,0.809,0.0
9,0.65,0.029,0.65,0.821,0.006,0.171,0.826,0.005
11,0.65,0.029,0.65,0.839,0.009,0.189,0.846,0.007
21,0.65,0.029,0.65,0.931,0.046,0.281,0.934,0.003
31,0.65,0.029,0.65,0.95,0.009,0.3,0.949,-0.001
41,0.65,0.029,0.65,0.977,0.014,0.327,0.982,0.005
51,0.65,0.029,0.65,0.985,0.004,0.335,0.983,-0.002
3,0.66,0.084,0.66,0.737,0.0,0.077,0.753,0.016
5,0.66,0.084,0.66,0.778,0.021,0.118,0.807,0.029
7,0.66,0.084,0.66,0.807,0.015,0.147,0.835,0.028
9,0.66,0.084,0.66,0.865,0.029,0.205,0.896,0.031
11,0.66,0.084,0.66,0.861,-0.002,0.201,0.905,0.044
21,0.66,0.084,0.66,0.942,0.04,0.282,0.969,0.027
31,0.66,0.084,0.66,0.966,0.012,0.306,0.986,0.02
41,0.66,0.084,0.66,0.987,0.011,0.327,0.992,0.005
51,0.66,0.084,0.66,0.993,0.003,0.333,0.997,0.004
3,0.7,0.058,0.7,0.804,0.0,0.104,0.804,0.0
5,0.7,0.058,0.7,0.841,0.018,0.141,0.848,0.007
7,0.7,0.058,0.7,0.883,0.021,0.183,0.887,0.004
9,0.7,0.058,0.7,0.896,0.007,0.196,0.906,0.01
11,0.7,0.058,0.7,0.916,0.01,0.216,0.928,0.012
21,0.7,0.058,0.7,0.972,0.028,0.272,0.982,0.01
31,0.7,0.058,0.7,0.99,0.009,0.29,0.993,0.003
41,0.7,0.058,0.7,0.998,0.004,0.298,0.999,0.001
51,0.7,0.058,0.7,1.0,0.001,0.3,1.0,0.0
3,0.7,0.113,0.7,0.786,0.0,0.086,0.797,0.011
5,0.7,0.113,0.7,0.842,0.028,0.142,0.881,0.039
7,0.7,0.113,0.7,0.886,0.022,0.186,0.915,0.029
9,0.7,0.113,0.7,0.898,0.006,0.198,0.957,0.059
11,0.7,0.113,0.7,0.929,0.016,0.229,0.964,0.035
21,0.7,0.113,0.7,0.982,0.026,0.282,0.991,0.009
31,0.7,0.113,0.7,0.992,0.005,0.292,1.0,0.008
41,0.7,0.113,0.7,0.991,-0.001,0.291,1.0,0.009
51,0.7,0.113,0.7,0.998,0.004,0.298,1.0,0.002
3,0.75,0.029,0.75,0.828,0.0,0.078,0.828,0.0
5,0.75,0.029,0.75,0.903,0.038,0.153,0.903,0.0
7,0.75,0.029,0.75,0.91,0.004,0.16,0.91,0.0
9,0.75,0.029,0.75,0.95,0.02,0.2,0.95,0.0
11,0.75,0.029,0.75,0.97,0.01,0.22,0.971,0.001
21,0.75,0.029,0.75,0.994,0.012,0.244,0.994,0.0
31,0.75,0.029,0.75,0.999,0.003,0.249,0.999,0.0
41,0.75,0.029,0.75,1.0,0.001,0.25,1.0,0.0
51,0.75,0.029,0.75,1.0,0.0,0.25,1.0,0.0
3,0.75,0.087,0.75,0.842,0.0,0.092,0.858,0.016
5,0.75,0.087,0.75,0.892,0.025,0.142,0.903,0.011
7,0.75,0.087,0.75,0.929,0.019,0.179,0.943,0.014
9,0.75,0.087,0.75,0.952,0.011,0.202,0.957,0.005
11,0.75,0.087,0.75,0.96,0.004,0.21,0.975,0.015
21,0.75,0.087,0.75,0.991,0.016,0.241,0.994,0.003
