voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.026,0.686,0.981
5,0.55,0.026,0.254,0.919
7,0.55,0.026,0.667,0.964
9,0.55,0.026,1.065,1.009
11,0.55,0.026,0.636,0.945
21,0.55,0.026,0.891,0.976
31,0.55,0.026,0.842,0.958
41,0.55,0.026,0.872,0.962
51,0.55,0.026,0.845,0.953
3,0.6,0.055,0.554,0.951
5,0.6,0.055,0.69,0.956
7,0.6,0.055,0.883,0.981
9,0.6,0.055,0.874,0.977
11,0.6,0.055,0.83,0.958
21,0.6,0.055,0.851,0.954
31,0.6,0.055,0.888,0.961
41,0.6,0.055,0.875,0.956
51,0.6,0.055,0.958,0.984
3,0.65,0.029,1.0,1.0
5,0.65,0.029,0.992,0.999
7,0.65,0.029,1.0,1.0
9,0.65,0.029,0.972,0.994
11,0.65,0.029,0.964,0.992
21,0.65,0.029,0.989,0.997
31,0.65,0.029,1.003,1.001
41,0.65,0.029,0.985,0.995
51,0.65,0.029,1.006,1.002
3,0.66,0.084,0.828,0.979
5,0.66,0.084,0.803,0.964
7,0.66,0.084,0.84,0.966
9,0.66,0.084,0.869,0.965
11,0.66,0.084,0.82,0.951
21,0.66,0.084,0.913,0.972
31,0.66,0.084,0.939,0.98
41,0.66,0.084,0.985,0.995
51,0.66,0.084,0.988,0.996
3,0.7,0.058,1.0,1.0
5,0.7,0.058,0.953,0.992
7,0.7,0.058,0.979,0.995
9,0.7,0.058,0.951,0.989
11,0.7,0.058,0.947,0.987
21,0.7,0.058,0.965,0.99
31,0.7,0.058,0.99,0.997
41,0.7,0.058,0.997,0.999
51,0.7,0.058,1.0,1.0
3,0.7,0.113,0.887,0.986
5,0.7,0.113,0.785,0.956
7,0.7,0.113,0.865,0.968
9,0.7,0.113,0.77,0.938
11,0.7,0.113,0.867,0.964
21,0.7,0.113,0.969,0.991
31,0.7,0.113,0.973,0.992
41,0.7,0.113,0.97,0.991
51,0.7,0.113,0.993,0.998
3,0.75,0.029,1.0,1.0
5,0.75,0.029,1.0,1.0
7,0.75,0.029,1.0,1.0
9,0.75,0.029,1.0,1.0
11,0.75,0.029,0.995,0.999
21,0.75,0.029,1.0,1.0
31,0.75,0.029,1.0,1.0
41,0.75,0.029,1.0,1.0
51,0.75,0.029,1.0,1.0
3,0.75,0.087,0.852,0.981
5,0.75,0.087,0.928,0.988
7,0.75,0.087,0.927,0.985
9,0.75,0.087,0.976,0.995
11,0.75,0.087,0.933,0.985
21,0.75,0.087,0.988,0.997
31,0.75,0.087,0.992,0.998
41,0.75,0.087,1.0,1.0
51,0.75,0.087,1.0,1.0
3,0.75,0.139,0.83,0.972
5,0.75,0.139,0.806,0.96
7,0.75,0.139,0.862,0.968
9,0.75,0.139,0.835,0.961
11,0.75,0.139,0.949,0.988
21,0.75,0.139,0.976,0.994
31,0.75,0.139,0.988,0.997
41,0.75,0.139,1.0,1.0
51,0.75,0.139,1.0,1.0
3,0.8,0.058,1.019,1.002
5,0.8,0.058,1.02,1.003
7,0.8,0.058,1.018,1.003
9,0.8,0.058,1.006,1.001
11,0.8,0.058,1.0,1.0
21,0.8,0.058,1.0,1.0
31,0.8,0.058,1.0,1.0
41,0.8,0.058,1.0,1.0
51,0.8,0.058,1.0,1.0
3,0.8,0.113,0.788,0.974
5,0.8,0.113,0.954,0.992
7,0.8,0.113,0.91,0.984
9,0.8,0.113,0.958,0.992
11,0.8,0.113,0.959,0.992
21,0.8,0.113,1.005,1.001
31,0.8,0.113,1.0,1.0
41,0.8,0.113,1.0,1.0
51,0.8,0.113,1.0,1.0
3,0.84,0.084,0.962,0.996
5,0.84,0.084,0.902,0.987
7,0.84,0.084,0.98,0.997
9,0.84,0.084,0.987,0.998
11,0.84,0.084,0.962,0.994
21,0.84,0.084,1.0,1.0
31,0.84,0.084,1.0,1.0
41,0.84,0.084,1.0,1.0
51,0.84,0.084,1.0,1.0
3,0.85,0.029,1.0,1.0
5,0.85,0.029,1.0,1.0
7,0.85,0.029,1.0,1.0
9,0.85,0.029,1.0,1.0
11,0.85,0.029,1.0,1.0
21,0.85,0.029,1.0,1.0
31,0.85,0.029,1.0,1.0
41,0.85,0.029,1.0,1.0
51,0.85,0.029,1.0,1.0
3,0.9,0.055,1.012,1.001
5,0.9,0.055,1.0,1.0
7,0.9,0.055,1.01,1.001
9,0.9,0.055,0.99,0.999
11,0.9,0.055,1.0,1.0
21,0.9,0.055,1.0,1.0
31,0.9,0.055,1.0,1.0
41,0.9,0.055,1.0,1.0
51,0.9,0.055,1.0,1.0
3,0.94,0.026,1.0,1.0
5,0.94,0.026,1.0,1.0
7,0.94,0.026,1.0,1.0
9,0.94,0.026,1.0,1.0
11,0.94,0.026,1.0,1.0
21,0.94,0.026,1.0,1.0
31,0.94,0.026,1.0,1.0
41,0.94,0.026,1.0,1.0
51,0.94,0.026,1.0,1.0
