voters,mean_bucket,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,majority_correct,expert_correct
3.0,Lower,Lower,0.786,0.214,0.0,0.214,0.214,1.0,0.579,0.555
3.0,Lower,Medium,0.539,0.461,0.0,0.461,0.461,1.0,0.606,0.601
3.0,Lower,Upper,0.326,0.674,0.0,0.674,0.674,1.0,0.786,0.815
3.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,1.0,0.843,0.752
3.0,Medium,Medium,0.904,0.096,0.0,0.096,0.096,1.0,0.844,0.791
3.0,Medium,Upper,0.397,0.603,0.0,0.603,0.603,1.0,0.842,0.865
3.0,Upper,Lower,0.998,0.002,0.0,0.002,0.002,1.0,0.987,0.953
3.0,Upper,Medium,0.911,0.089,0.0,0.089,0.089,1.0,0.981,0.957
3.0,Upper,Upper,0.438,0.562,0.0,0.562,0.562,1.0,0.883,0.904
5.0,Lower,Lower,0.67,0.33,0.28,0.049,0.049,0.513,0.595,0.551
5.0,Lower,Medium,0.207,0.793,0.719,0.074,0.074,0.529,0.629,0.613
5.0,Lower,Upper,0.021,0.979,0.78,0.199,0.199,0.717,0.838,0.86
5.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.631,0.893,0.752
5.0,Medium,Medium,0.653,0.347,0.343,0.003,0.003,0.678,0.892,0.805
5.0,Medium,Upper,0.05,0.95,0.796,0.154,0.154,0.771,0.896,0.905
5.0,Upper,Lower,0.975,0.025,0.025,0.0,0.0,0.91,0.996,0.952
5.0,Upper,Medium,0.618,0.382,0.381,0.001,0.001,0.919,0.994,0.967
5.0,Upper,Upper,0.077,0.923,0.793,0.13,0.13,0.824,0.931,0.935
7.0,Lower,Lower,0.639,0.361,0.349,0.013,0.007,0.26,0.61,0.558
7.0,Lower,Medium,0.114,0.886,0.866,0.02,0.009,0.286,0.648,0.634
7.0,Lower,Upper,0.0,1.0,0.934,0.066,0.045,0.573,0.872,0.876
7.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.446,0.921,0.755
7.0,Medium,Medium,0.453,0.547,0.547,0.0,0.0,0.513,0.922,0.815
7.0,Medium,Upper,0.004,0.996,0.948,0.048,0.034,0.653,0.931,0.923
7.0,Upper,Lower,0.902,0.098,0.098,0.0,0.0,0.869,0.999,0.954
7.0,Upper,Medium,0.344,0.656,0.656,0.0,0.0,0.882,0.999,0.973
7.0,Upper,Upper,0.009,0.991,0.953,0.038,0.026,0.74,0.953,0.948
9.0,Lower,Lower,0.593,0.407,0.322,0.085,0.0,0.139,0.623,0.558
9.0,Lower,Medium,0.078,0.922,0.78,0.143,0.001,0.162,0.674,0.631
9.0,Lower,Upper,0.0,1.0,0.717,0.283,0.01,0.471,0.898,0.891
9.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.331,0.943,0.758
9.0,Medium,Medium,0.327,0.673,0.67,0.003,0.0,0.404,0.944,0.825
9.0,Medium,Upper,0.0,1.0,0.781,0.219,0.008,0.565,0.951,0.934
9.0,Upper,Lower,0.804,0.196,0.196,0.0,0.0,0.829,1.0,0.956
9.0,Upper,Medium,0.206,0.794,0.794,0.0,0.0,0.848,0.999,0.975
9.0,Upper,Upper,0.001,0.999,0.808,0.191,0.004,0.669,0.969,0.961
11.0,Lower,Lower,0.541,0.459,0.235,0.223,0.0,0.074,0.636,0.56
11.0,Lower,Medium,0.055,0.945,0.521,0.424,0.0,0.095,0.684,0.634
11.0,Lower,Upper,0.0,1.0,0.314,0.686,0.002,0.394,0.913,0.902
11.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.251,0.959,0.756
11.0,Medium,Medium,0.25,0.75,0.73,0.02,0.0,0.318,0.958,0.827
11.0,Medium,Upper,0.0,1.0,0.444,0.556,0.001,0.489,0.967,0.943
11.0,Upper,Lower,0.727,0.273,0.273,0.0,0.0,0.795,1.0,0.956
11.0,Upper,Medium,0.156,0.844,0.842,0.002,0.0,0.816,1.0,0.979
11.0,Upper,Upper,0.0,1.0,0.502,0.498,0.0,0.608,0.981,0.966
