iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,majority_correct,expert_correct
1000.0,3.0,0.5,,0.02,,0.349,0.651,0.0,0.651,0.651,1.0,0.546,0.537
1000.0,3.0,0.5,,0.03,,0.344,0.656,0.0,0.656,0.656,1.0,0.5335,0.523
1000.0,3.0,0.5,,0.04,,0.345,0.655,0.0,0.655,0.655,1.0,0.569,0.5445
1000.0,3.0,0.5,,0.06,,0.353,0.647,0.0,0.647,0.647,1.0,0.5605,0.591
1000.0,3.0,0.5,,0.07,,0.372,0.628,0.0,0.628,0.628,1.0,0.57,0.578
1000.0,3.0,0.5,,0.08,,0.36,0.64,0.0,0.64,0.64,1.0,0.5915,0.605
1000.0,3.0,0.5,,0.1,,0.349,0.651,0.0,0.651,0.651,1.0,0.6305,0.631
1000.0,3.0,0.5,,0.11,,0.363,0.637,0.0,0.637,0.637,1.0,0.6395,0.632
1000.0,3.0,0.5,,0.12,,0.334,0.666,0.0,0.666,0.666,1.0,0.639,0.6455
1000.0,3.0,0.55,,0.02,,0.791,0.209,0.0,0.209,0.209,1.0,0.57,0.576
1000.0,3.0,0.55,,0.03,,0.623,0.377,0.0,0.377,0.377,1.0,0.5915,0.569
1000.0,3.0,0.55,,0.04,,0.549,0.451,0.0,0.451,0.451,1.0,0.5895,0.591
1000.0,3.0,0.55,,0.06,,0.438,0.562,0.0,0.562,0.562,1.0,0.5985,0.616
1000.0,3.0,0.55,,0.07,,0.411,0.589,0.0,0.589,0.589,1.0,0.618,0.626
1000.0,3.0,0.55,,0.08,,0.411,0.589,0.0,0.589,0.589,1.0,0.628,0.6445
1000.0,3.0,0.55,,0.1,,0.382,0.618,0.0,0.618,0.618,1.0,0.6525,0.675
1000.0,3.0,0.55,,0.11,,0.388,0.612,0.0,0.612,0.612,1.0,0.6645,0.682
1000.0,3.0,0.55,,0.12,,0.351,0.649,0.0,0.649,0.649,1.0,0.6765,0.683
1000.0,3.0,0.6,,0.02,,0.991,0.009,0.0,0.009,0.009,1.0,0.6395,0.615
1000.0,3.0,0.6,,0.03,,0.911,0.089,0.0,0.089,0.089,1.0,0.6465,0.632
1000.0,3.0,0.6,,0.04,,0.799,0.201,0.0,0.201,0.201,1.0,0.653,0.633
1000.0,3.0,0.6,,0.06,,0.56,0.44,0.0,0.44,0.44,1.0,0.66,0.658
1000.0,3.0,0.6,,0.07,,0.56,0.44,0.0,0.44,0.44,1.0,0.6715,0.665
1000.0,3.0,0.6,,0.08,,0.495,0.505,0.0,0.505,0.505,1.0,0.6645,0.696
1000.0,3.0,0.6,,0.1,,0.464,0.536,0.0,0.536,0.536,1.0,0.67,0.708
1000.0,3.0,0.6,,0.11,,0.427,0.573,0.0,0.573,0.573,1.0,0.697,0.7015
1000.0,3.0,0.6,,0.12,,0.407,0.593,0.0,0.593,0.593,1.0,0.7015,0.732
