iterations,voters,mean,mean_bucket,std,majority_correct_with_equal_expertise,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000,3,0.5,,0.02,0.477,,,,,
1000,5,0.5,,0.02,0.516,,,,,
1000,7,0.5,,0.02,0.506,,,,,
1000,9,0.5,,0.02,0.494,,,,,
1000,11,0.5,,0.02,0.487,,,,,
1000,21,0.5,,0.02,0.53,,,,,
1000,41,0.5,,0.02,0.467,,,,,
1000,51,0.5,,0.02,0.488,,,,,
1000,3,0.5,,0.03,0.502,,,,,
1000,5,0.5,,0.03,0.507,,,,,
1000,7,0.5,,0.03,0.519,,,,,
1000,9,0.5,,0.03,0.498,,,,,
1000,11,0.5,,0.03,0.507,,,,,
1000,21,0.5,,0.03,0.506,,,,,
1000,31,0.5,,0.03,0.503,,,,,
1000,41,0.5,,0.03,0.477,,,,,
1000,51,0.5,,0.03,0.524,,,,,
1000,3,0.5,,0.04,0.493,,,,,
1000,5,0.5,,0.04,0.497,,,,,
1000,7,0.5,,0.04,0.49,,,,,
1000,9,0.5,,0.04,0.5,,,,,
1000,11,0.5,,0.04,0.506,,,,,
1000,21,0.5,,0.04,0.485,,,,,
1000,31,0.5,,0.04,0.503,,,,,
1000,41,0.5,,0.04,0.45,,,,,
1000,51,0.5,,0.04,0.47,,,,,
1000,3,0.5,,0.06,0.489,,,,,
1000,5,0.5,,0.06,0.499,,,,,
1000,7,0.5,,0.06,0.524,,,,,
1000,9,0.5,,0.06,0.507,,,,,
1000,11,0.5,,0.06,0.51,,,,,
1000,21,0.5,,0.06,0.499,,,,,
1000,31,0.5,,0.06,0.492,,,,,
1000,41,0.5,,0.06,0.49,,,,,
1000,51,0.5,,0.06,0.497,,,,,
1000,3,0.5,,0.07,0.491,,,,,
1000,5,0.5,,0.07,0.5,,,,,
1000,7,0.5,,0.07,0.478,,,,,
1000,9,0.5,,0.07,0.499,,,,,
1000,11,0.5,,0.07,0.461,,,,,
1000,21,0.5,,0.07,0.525,,,,,
1000,31,0.5,,0.07,0.479,,,,,
1000,41,0.5,,0.07,0.491,,,,,
1000,51,0.5,,0.07,0.493,,,,,
1000,3,0.5,,0.08,0.516,,,,,
1000,5,0.5,,0.08,0.498,,,,,
1000,7,0.5,,0.08,0.523,,,,,
1000,9,0.5,,0.08,0.506,,,,,
1000,11,0.5,,0.08,0.476,,,,,
1000,21,0.5,,0.08,0.499,,,,,
1000,31,0.5,,0.08,0.487,,,,,
1000,41,0.5,,0.08,0.515,,,,,
1000,51,0.5,,0.08,0.495,,,,,
1000,3,0.5,,0.1,0.494,,,,,
1000,5,0.5,,0.1,0.519,,,,,
1000,7,0.5,,0.1,0.504,,,,,
1000,9,0.5,,0.1,0.476,,,,,
1000,11,0.5,,0.1,0.501,,,,,
1000,21,0.5,,0.1,0.502,,,,,
1000,31,0.5,,0.1,0.501,,,,,
1000,41,0.5,,0.1,0.494,,,,,
1000,51,0.5,,0.1,0.496,,,,,
1000,3,0.5,,0.11,0.485,,,,,
1000,5,0.5,,0.11,0.468,,,,,
1000,7,0.5,,0.11,0.466,,,,,
1000,9,0.5,,0.11,0.49,,,,,
1000,11,0.5,,0.11,0.491,,,,,
1000,21,0.5,,0.11,0.516,,,,,
1000,31,0.5,,0.11,0.523,,,,,
1000,41,0.5,,0.11,0.503,,,,,
1000,51,0.5,,0.11,0.504,,,,,
1000,3,0.5,,0.12,0.498,,,,,
1000,5,0.5,,0.12,0.493,,,,,
1000,7,0.5,,0.12,0.512,,,,,
1000,9,0.5,,0.12,0.521,,,,,
1000,11,0.5,,0.12,0.49,,,,,
1000,21,0.5,,0.12,0.479,,,,,
1000,31,0.5,,0.12,0.516,,,,,
1000,41,0.5,,0.12,0.475,,,,,
1000,51,0.5,,0.12,0.529,,,,,
1000,3,0.55,,0.02,0.555,,,,,
1000,5,0.55,,0.02,0.56,,,,,
1000,7,0.55,,0.02,0.611,,,,,
1000,9,0.55,,0.02,0.627,,,,,
1000,11,0.55,,0.02,0.647,,,,,
1000,21,0.55,,0.02,0.705,,,,,
1000,31,0.55,,0.02,0.708,,,,,
1000,41,0.55,,0.02,0.747,,,,,
1000,51,0.55,,0.02,0.757,,,,,
1000,3,0.55,,0.03,0.568,,,,,
1000,5,0.55,,0.03,0.644,,,,,
1000,7,0.55,,0.03,0.604,,,,,
1000,9,0.55,,0.03,0.611,,,,,
1000,11,0.55,,0.03,0.644,,,,,
1000,21,0.55,,0.03,0.684,,,,,
1000,31,0.55,,0.03,0.709,,,,,
1000,41,0.55,,0.03,0.737,,,,,
1000,51,0.55,,0.03,0.778,,,,,
1000,3,0.55,,0.04,0.557,,,,,
1000,5,0.55,,0.04,0.6,,,,,
1000,7,0.55,,0.04,0.628,,,,,
1000,9,0.55,,0.04,0.644,,,,,
1000,11,0.55,,0.04,0.65,,,,,
1000,21,0.55,,0.04,0.685,,,,,
1000,31,0.55,,0.04,0.682,,,,,
1000,41,0.55,,0.04,0.721,,,,,
1000,51,0.55,,0.04,0.751,,,,,
1000,3,0.55,,0.06,0.574,,,,,
1000,5,0.55,,0.06,0.611,,,,,
1000,7,0.55,,0.06,0.598,,,,,
1000,9,0.55,,0.06,0.608,,,,,
1000,11,0.55,,0.06,0.647,,,,,
1000,21,0.55,,0.06,0.653,,,,,
1000,31,0.55,,0.06,0.7,,,,,
1000,41,0.55,,0.06,0.709,,,,,
1000,51,0.55,,0.06,0.751,,,,,
1000,3,0.55,,0.07,0.547,,,,,
1000,5,0.55,,0.07,0.59,,,,,
1000,7,0.55,,0.07,0.634,,,,,
1000,9,0.55,,0.07,0.635,,,,,
1000,11,0.55,,0.07,0.631,,,,,
1000,21,0.55,,0.07,0.678,,,,,
1000,31,0.55,,0.07,0.707,,,,,
1000,41,0.55,,0.07,0.743,,,,,
1000,51,0.55,,0.07,0.769,,,,,
1000,3,0.55,,0.08,0.546,,,,,
1000,5,0.55,,0.08,0.606,,,,,
1000,7,0.55,,0.08,0.616,,,,,
1000,9,0.55,,0.08,0.623,,,,,
1000,11,0.55,,0.08,0.642,,,,,
1000,21,0.55,,0.08,0.685,,,,,
1000,31,0.55,,0.08,0.713,,,,,
1000,41,0.55,,0.08,0.731,,,,,
1000,51,0.55,,0.08,0.731,,,,,
1000,3,0.55,,0.1,0.596,,,,,
1000,5,0.55,,0.1,0.597,,,,,
1000,7,0.55,,0.1,0.611,,,,,
1000,9,0.55,,0.1,0.636,,,,,
1000,11,0.55,,0.1,0.651,,,,,
1000,21,0.55,,0.1,0.697,,,,,
1000,31,0.55,,0.1,0.704,,,,,
1000,41,0.55,,0.1,0.742,,,,,
1000,51,0.55,,0.1,0.767,,,,,
1000,3,0.55,,0.11,0.57,,,,,
1000,5,0.55,,0.11,0.598,,,,,
1000,7,0.55,,0.11,0.598,,,,,
1000,9,0.55,,0.11,0.619,,,,,
1000,11,0.55,,0.11,0.64,,,,,
1000,21,0.55,,0.11,0.682,,,,,
1000,31,0.55,,0.11,0.717,,,,,
1000,41,0.55,,0.11,0.758,,,,,
1000,51,0.55,,0.11,0.775,,,,,
1000,3,0.55,,0.12,0.59,,,,,
1000,5,0.55,,0.12,0.599,,,,,
1000,7,0.55,,0.12,0.611,,,,,
1000,9,0.55,,0.12,0.61,,,,,
1000,11,0.55,,0.12,0.618,,,,,
1000,21,0.55,,0.12,0.689,,,,,
1000,31,0.55,,0.12,0.738,,,,,
1000,41,0.55,,0.12,0.708,,,,,
1000,51,0.55,,0.12,0.763,,,,,
1000,3,0.6,,0.02,0.659,,,,,
1000,5,0.6,,0.02,0.685,,,,,
1000,7,0.6,,0.02,0.702,,,,,
1000,9,0.6,,0.02,0.737,,,,,
1000,11,0.6,,0.02,0.745,,,,,
1000,21,0.6,,0.02,0.836,,,,,
1000,31,0.6,,0.02,0.864,,,,,
1000,41,0.6,,0.02,0.923,,,,,
1000,51,0.6,,0.02,0.919,,,,,
1000,3,0.6,,0.03,0.672,,,,,
1000,5,0.6,,0.03,0.673,,,,,
1000,7,0.6,,0.03,0.738,,,,,
1000,9,0.6,,0.03,0.734,,,,,
1000,11,0.6,,0.03,0.735,,,,,
1000,21,0.6,,0.03,0.799,,,,,
1000,31,0.6,,0.03,0.875,,,,,
1000,41,0.6,,0.03,0.895,,,,,
1000,51,0.6,,0.03,0.923,,,,,
1000,3,0.6,,0.04,0.622,,,,,
1000,5,0.6,,0.04,0.658,,,,,
1000,7,0.6,,0.04,0.697,,,,,
1000,9,0.6,,0.04,0.737,,,,,
1000,11,0.6,,0.04,0.736,,,,,
1000,21,0.6,,0.04,0.818,,,,,
1000,31,0.6,,0.04,0.878,,,,,
1000,41,0.6,,0.04,0.903,,,,,
