,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct
0,1000,3,0.5,,0.02,,0.35700000000000004,0.643,0.0,0.643,0.643,0.643,1.0,0.528,0.527,0.519,0.528,0.528,0.8390000000000001,0.8390000000000001,1.0,0.8390000000000001,1.0,0.0010000000000000009
1,1000,3,0.5,,0.03,,0.35100000000000003,0.649,0.0,0.649,0.649,0.649,1.0,0.516,0.532,0.529,0.516,0.516,0.826,0.826,1.0,0.826,1.0,-0.016000000000000014
2,1000,3,0.5,,0.04,,0.345,0.655,0.0,0.655,0.655,0.655,1.0,0.565,0.551,0.56,0.565,0.565,0.848,0.848,1.0,0.848,1.0,0.013999999999999901
3,1000,3,0.5,,0.06,,0.318,0.682,0.0,0.682,0.682,0.682,1.0,0.613,0.589,0.61,0.613,0.613,0.8540000000000001,0.8540000000000001,1.0,0.8540000000000001,1.0,0.02400000000000002
4,1000,3,0.5,,0.07,,0.35700000000000004,0.643,0.0,0.643,0.643,0.643,1.0,0.606,0.585,0.5920000000000001,0.606,0.606,0.8370000000000001,0.8370000000000001,1.0,0.8370000000000001,1.0,0.02100000000000002
5,1000,3,0.5,,0.08,,0.331,0.669,0.0,0.669,0.669,0.669,1.0,0.621,0.5770000000000001,0.608,0.621,0.621,0.818,0.818,1.0,0.818,1.0,0.04399999999999993
6,1000,3,0.5,,0.1,,0.33899999999999997,0.6609999999999999,0.0,0.6609999999999999,0.6609999999999999,0.6609999999999999,1.0,0.637,0.619,0.632,0.637,0.637,0.838,0.838,1.0,0.838,1.0,0.018000000000000016
7,1000,3,0.5,,0.11,,0.326,0.674,0.0,0.674,0.674,0.674,1.0,0.672,0.638,0.6579999999999999,0.672,0.672,0.8420000000000001,0.8420000000000001,1.0,0.8420000000000001,1.0,0.03400000000000003
8,1000,3,0.5,,0.12,,0.311,0.6890000000000001,0.0,0.6890000000000001,0.6890000000000001,0.6890000000000001,1.0,0.665,0.6629999999999999,0.6609999999999999,0.665,0.665,0.85,0.85,1.0,0.85,1.0,0.002000000000000113
9,1000,3,0.55,,0.02,,0.7829999999999999,0.217,0.0,0.217,0.217,0.217,1.0,0.578,0.5820000000000001,0.574,0.578,0.578,0.9540000000000001,0.9540000000000001,1.0,0.9540000000000001,1.0,-0.004000000000000115
10,1000,3,0.55,,0.03,,0.624,0.376,0.0,0.376,0.376,0.376,1.0,0.596,0.593,0.594,0.596,0.596,0.895,0.895,1.0,0.895,1.0,0.0030000000000000027
11,1000,3,0.55,,0.04,,0.519,0.48100000000000004,0.0,0.48100000000000004,0.48100000000000004,0.48100000000000004,1.0,0.5870000000000001,0.573,0.588,0.5870000000000001,0.5870000000000001,0.878,0.878,1.0,0.878,1.0,0.014000000000000123
12,1000,3,0.55,,0.06,,0.4,0.6,0.0,0.6,0.6,0.6,1.0,0.6459999999999999,0.631,0.63,0.6459999999999999,0.6459999999999999,0.853,0.853,1.0,0.853,1.0,0.014999999999999902
13,1000,3,0.55,,0.07,,0.423,0.5770000000000001,0.0,0.5770000000000001,0.5770000000000001,0.5770000000000001,1.0,0.631,0.629,0.611,0.631,0.631,0.866,0.866,1.0,0.866,1.0,0.0020000000000000018
14,1000,3,0.55,,0.08,,0.40299999999999997,0.597,0.0,0.597,0.597,0.597,1.0,0.659,0.645,0.643,0.659,0.659,0.8340000000000001,0.8340000000000001,1.0,0.8340000000000001,1.0,0.014000000000000012
