voters,mean,std,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
11.0,Lower,Lower,0.878,0.999,0.879,0.896,0.983
11.0,Lower,Medium,0.852,1.0,0.853,0.877,0.976
11.0,Lower,Upper,0.871,0.999,0.872,0.896,0.974
11.0,Medium,Lower,0.997,1.0,0.997,0.997,1.0
11.0,Medium,Medium,0.982,1.0,0.982,0.983,0.999
11.0,Medium,Upper,0.973,1.0,0.973,0.975,0.997
11.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
11.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
11.0,Upper,Upper,0.999,1.0,0.999,0.999,1.0
21.0,Lower,Lower,0.874,1.0,0.874,0.905,0.968
21.0,Lower,Medium,0.873,1.0,0.873,0.912,0.961
21.0,Lower,Upper,0.888,1.0,0.888,0.923,0.964
21.0,Medium,Lower,0.998,1.0,0.998,0.998,1.0
21.0,Medium,Medium,0.994,1.0,0.994,0.995,0.999
21.0,Medium,Upper,0.992,1.0,0.992,0.993,0.999
21.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
21.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
21.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
31.0,Lower,Lower,0.888,1.0,0.888,0.928,0.96
31.0,Lower,Medium,0.883,1.0,0.883,0.931,0.952
31.0,Lower,Upper,0.917,1.0,0.917,0.953,0.964
31.0,Medium,Lower,0.999,1.0,0.999,0.999,1.0
31.0,Medium,Medium,0.997,1.0,0.997,0.998,0.999
31.0,Medium,Upper,0.997,1.0,0.997,0.998,0.999
31.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
31.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
31.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
41.0,Lower,Lower,0.885,1.0,0.885,0.93,0.955
41.0,Lower,Medium,0.899,1.0,0.899,0.944,0.955
41.0,Lower,Upper,0.929,1.0,0.929,0.961,0.968
41.0,Medium,Lower,1.0,1.0,1.0,1.0,1.0
41.0,Medium,Medium,0.999,1.0,0.999,1.0,1.0
41.0,Medium,Upper,0.999,1.0,0.999,0.999,1.0
41.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
41.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
41.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
51.0,Lower,Lower,0.893,1.0,0.893,0.94,0.953
51.0,Lower,Medium,0.906,1.0,0.906,0.955,0.952
51.0,Lower,Upper,0.949,1.0,0.949,0.973,0.975
51.0,Medium,Lower,1.0,1.0,1.0,1.0,1.0
51.0,Medium,Medium,1.0,1.0,1.0,1.0,1.0
51.0,Medium,Upper,1.0,1.0,1.0,1.0,1.0
51.0,Upper,Lower,1.0,1.0,1.0,1.0,1.0
51.0,Upper,Medium,1.0,1.0,1.0,1.0,1.0
51.0,Upper,Upper,1.0,1.0,1.0,1.0,1.0
