voters,mean,std,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct
11.0,Lower,Lower,0.666,0.656,0.596,0.657,0.664
11.0,Lower,Medium,0.74,0.709,0.667,0.71,0.738
11.0,Lower,Upper,0.817,0.775,0.747,0.776,0.806
11.0,Medium,Lower,0.961,0.961,0.792,0.961,0.961
11.0,Medium,Medium,0.964,0.959,0.86,0.959,0.964
11.0,Medium,Upper,0.973,0.96,0.904,0.96,0.972
11.0,Upper,Lower,1.0,1.0,0.974,1.0,1.0
11.0,Upper,Medium,1.0,1.0,0.983,1.0,1.0
11.0,Upper,Upper,0.999,0.999,0.985,0.999,0.999
21.0,Lower,Lower,0.726,0.708,0.618,0.708,0.723
21.0,Lower,Medium,0.815,0.779,0.699,0.779,0.806
21.0,Lower,Upper,0.897,0.847,0.773,0.847,0.883
21.0,Medium,Lower,0.989,0.988,0.808,0.988,0.989
21.0,Medium,Medium,0.993,0.991,0.875,0.991,0.992
21.0,Medium,Upper,0.995,0.989,0.93,0.989,0.994
21.0,Upper,Lower,1.0,1.0,0.981,1.0,1.0
21.0,Upper,Medium,1.0,1.0,0.99,1.0,1.0
21.0,Upper,Upper,1.0,1.0,0.989,1.0,1.0
31.0,Lower,Lower,0.754,0.739,0.609,0.739,0.75
31.0,Lower,Medium,0.854,0.82,0.708,0.82,0.843
31.0,Lower,Upper,0.936,0.89,0.797,0.89,0.919
31.0,Medium,Lower,0.996,0.996,0.811,0.996,0.996
31.0,Medium,Medium,0.997,0.996,0.89,0.996,0.997
31.0,Medium,Upper,0.999,0.997,0.944,0.997,0.998
31.0,Upper,Lower,1.0,1.0,0.984,1.0,1.0
31.0,Upper,Medium,1.0,1.0,0.993,1.0,1.0
31.0,Upper,Upper,1.0,1.0,0.993,1.0,1.0
41.0,Lower,Lower,0.781,0.754,0.612,0.754,0.771
41.0,Lower,Medium,0.886,0.847,0.707,0.847,0.872
41.0,Lower,Upper,0.957,0.912,0.805,0.912,0.938
41.0,Medium,Lower,0.999,0.999,0.812,0.999,0.999
41.0,Medium,Medium,1.0,0.999,0.894,0.999,0.999
41.0,Medium,Upper,1.0,0.999,0.953,0.999,1.0
41.0,Upper,Lower,1.0,1.0,0.985,1.0,1.0
41.0,Upper,Medium,1.0,1.0,0.994,1.0,1.0
41.0,Upper,Upper,1.0,1.0,0.994,1.0,1.0
51.0,Lower,Lower,0.813,0.788,0.623,0.788,0.804
51.0,Lower,Medium,0.91,0.868,0.715,0.868,0.888
51.0,Lower,Upper,0.969,0.934,0.812,0.934,0.953
51.0,Medium,Lower,0.999,0.999,0.811,0.999,0.999
51.0,Medium,Medium,1.0,1.0,0.904,1.0,1.0
51.0,Medium,Upper,1.0,1.0,0.955,1.0,1.0
51.0,Upper,Lower,1.0,1.0,0.987,1.0,1.0
51.0,Upper,Medium,1.0,1.0,0.996,1.0,1.0
51.0,Upper,Upper,1.0,1.0,0.996,1.0,1.0
