voters,mean,std,smr,mino-d,n-t-m-d,mino-t,expert,min-coll
11.0,Lower,Lower,0.003,0.997,0.997,0.0,0.0,0.082
11.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.106
11.0,Lower,Upper,0.0,1.0,0.999,0.001,0.001,0.153
11.0,Medium,Lower,0.371,0.629,0.629,0.0,0.0,0.296
11.0,Medium,Medium,0.001,0.999,0.999,0.0,0.0,0.344
11.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.414
11.0,Upper,Lower,0.145,0.855,0.855,0.0,0.0,0.824
11.0,Upper,Medium,0.001,0.999,0.999,0.0,0.0,0.817
11.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.768
21.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.005
21.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.009
21.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.02
21.0,Medium,Lower,0.004,0.996,0.996,0.0,0.0,0.087
21.0,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.13
21.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.175
21.0,Upper,Lower,0.001,0.999,0.999,0.0,0.0,0.695
21.0,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.677
21.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.61
31.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.0
31.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.001
31.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.003
31.0,Medium,Lower,0.0,1.0,1.0,0.0,0.0,0.027
31.0,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.05
31.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.078
31.0,Upper,Lower,0.0,1.0,1.0,0.0,0.0,0.599
31.0,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.554
31.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.48
41.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.0
41.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.0
41.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.001
41.0,Medium,Lower,0.0,1.0,1.0,0.0,0.0,0.01
41.0,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.019
41.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.036
41.0,Upper,Lower,0.0,1.0,1.0,0.0,0.0,0.52
41.0,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.467
41.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.368
51.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.0
51.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.0
51.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.0
51.0,Medium,Lower,0.0,1.0,1.0,0.0,0.0,0.004
51.0,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.009
51.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.018
51.0,Upper,Lower,0.0,1.0,1.0,0.0,0.0,0.454
51.0,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.383
51.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.297
