iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
1000.0,11.0,0.5,,0.02,,0.0,1.0,0.999,0.001,0.001,0.045,0.568,0.57,0.527,0.57,0.567,0.806,1.0,0.806,0.853,0.953
1000.0,11.0,0.5,,0.03,,0.0,1.0,1.0,0.0,0.0,0.066,0.581,0.586,0.541,0.588,0.575,0.823,0.998,0.825,0.859,0.964
1000.0,11.0,0.5,,0.04,,0.0,1.0,1.0,0.0,0.0,0.066,0.614,0.583,0.576,0.584,0.609,0.795,0.999,0.796,0.842,0.953
1000.0,11.0,0.5,,0.06,,0.0,1.0,1.0,0.0,0.0,0.079,0.663,0.629,0.606,0.63,0.666,0.816,0.999,0.817,0.857,0.959
1000.0,11.0,0.5,,0.07,,0.0,1.0,1.0,0.0,0.0,0.072,0.673,0.65,0.621,0.65,0.673,0.825,1.0,0.825,0.855,0.97
1000.0,11.0,0.5,,0.08,,0.0,1.0,1.0,0.0,0.0,0.1,0.722,0.671,0.634,0.672,0.713,0.815,0.999,0.816,0.856,0.959
1000.0,11.0,0.5,,0.1,,0.0,1.0,0.999,0.001,0.001,0.098,0.748,0.712,0.706,0.715,0.738,0.854,0.997,0.857,0.888,0.966
1000.0,11.0,0.5,,0.11,,0.0,1.0,0.998,0.002,0.001,0.123,0.776,0.707,0.712,0.707,0.75,0.843,1.0,0.843,0.879,0.964
1000.0,11.0,0.5,,0.12,,0.0,1.0,0.998,0.002,0.002,0.129,0.791,0.757,0.738,0.756,0.783,0.84,0.999,0.841,0.866,0.974
1000.0,11.0,0.55,,0.02,,0.0,1.0,1.0,0.0,0.0,0.09,0.646,0.637,0.592,0.637,0.647,0.917,1.0,0.917,0.918,0.999
1000.0,11.0,0.55,,0.03,,0.0,1.0,1.0,0.0,0.0,0.071,0.669,0.649,0.591,0.65,0.666,0.854,0.999,0.855,0.861,0.993
1000.0,11.0,0.55,,0.04,,0.0,1.0,1.0,0.0,0.0,0.084,0.669,0.647,0.633,0.647,0.668,0.87,1.0,0.87,0.887,0.983
1000.0,11.0,0.55,,0.06,,0.0,1.0,0.999,0.001,0.0,0.105,0.723,0.706,0.664,0.706,0.718,0.861,1.0,0.861,0.882,0.979
1000.0,11.0,0.55,,0.07,,0.0,1.0,1.0,0.0,0.0,0.09,0.735,0.708,0.682,0.708,0.732,0.847,1.0,0.847,0.87,0.977
1000.0,11.0,0.55,,0.08,,0.0,1.0,1.0,0.0,0.0,0.109,0.765,0.717,0.691,0.717,0.765,0.86,1.0,0.86,0.886,0.974
1000.0,11.0,0.55,,0.1,,0.0,1.0,1.0,0.0,0.0,0.13,0.774,0.731,0.68,0.731,0.762,0.849,1.0,0.849,0.877,0.972
1000.0,11.0,0.55,,0.11,,0.0,1.0,0.999,0.001,0.001,0.139,0.826,0.776,0.771,0.776,0.81,0.868,1.0,0.868,0.896,0.972
1000.0,11.0,0.55,,0.12,,0.0,1.0,0.999,0.001,0.001,0.16,0.849,0.789,0.749,0.79,0.835,0.88,0.997,0.883,0.9,0.98
1000.0,11.0,0.6,,0.02,,0.03,0.97,0.97,0.0,0.0,0.112,0.749,0.753,0.594,0.753,0.749,0.97,1.0,0.97,0.97,1.0
1000.0,11.0,0.6,,0.03,,0.0,1.0,1.0,0.0,0.0,0.092,0.737,0.731,0.631,0.732,0.737,0.942,0.999,0.943,0.942,1.0
1000.0,11.0,0.6,,0.04,,0.0,1.0,1.0,0.0,0.0,0.116,0.763,0.748,0.679,0.749,0.762,0.929,0.999,0.93,0.93,0.999
1000.0,11.0,0.6,,0.06,,0.0,1.0,1.0,0.0,0.0,0.11,0.786,0.764,0.695,0.765,0.784,0.902,0.999,0.903,0.91,0.992
1000.0,11.0,0.6,,0.07,,0.0,1.0,1.0,0.0,0.0,0.144,0.795,0.778,0.693,0.778,0.795,0.879,1.0,0.879,0.893,0.986
1000.0,11.0,0.6,,0.08,,0.0,1.0,1.0,0.0,0.0,0.144,0.802,0.761,0.715,0.762,0.799,0.867,0.999,0.868,0.882,0.985
1000.0,11.0,0.6,,0.1,,0.0,1.0,1.0,0.0,0.0,0.192,0.846,0.824,0.777,0.824,0.846,0.892,1.0,0.892,0.912,0.98
1000.0,11.0,0.6,,0.11,,0.0,1.0,0.999,0.001,0.001,0.205,0.847,0.821,0.786,0.822,0.844,0.902,0.999,0.903,0.925,0.977
1000.0,11.0,0.6,,0.12,,0.0,1.0,0.999,0.001,0.001,0.203,0.894,0.861,0.805,0.864,0.888,0.907,0.997,0.91,0.925,0.982
