voters,mean,std,Unnamed: 0,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
3.0,Lower,Lower,10,inf,inf,inf,inf,inf
3.0,Lower,Medium,13,6.487,6.487,inf,6.487,inf
3.0,Lower,Upper,16,6.001,6.001,inf,6.001,inf
3.0,Medium,Lower,37,inf,inf,inf,inf,inf
3.0,Medium,Medium,40,66.851,66.851,inf,66.851,inf
3.0,Medium,Upper,43,18.399,18.399,inf,18.399,inf
3.0,Upper,Lower,64,inf,inf,inf,inf,inf
3.0,Upper,Medium,67,inf,inf,inf,inf,inf
3.0,Upper,Upper,70,113.899,113.899,inf,113.899,inf
5.0,Lower,Lower,91,16.783,28.993,73.654,16.897,inf
5.0,Lower,Medium,94,5.842,17.816,10.021,6.051,393.356
5.0,Lower,Upper,97,5.479,16.429,9.366,5.847,142.397
5.0,Medium,Lower,118,inf,inf,inf,inf,inf
5.0,Medium,Medium,121,38.656,63.189,109.607,38.656,inf
5.0,Medium,Upper,124,19.841,45.892,39.411,19.952,inf
5.0,Upper,Lower,145,inf,inf,inf,inf,inf
5.0,Upper,Medium,148,inf,inf,inf,inf,inf
5.0,Upper,Upper,151,217.783,418.753,inf,217.783,inf
7.0,Lower,Lower,172,14.447,65.321,25.788,14.765,inf
7.0,Lower,Medium,175,5.883,61.946,6.796,6.384,209.497
7.0,Lower,Upper,178,5.755,70.322,6.477,6.618,61.766
7.0,Medium,Lower,199,inf,inf,inf,inf,inf
7.0,Medium,Medium,202,46.2,298.038,63.121,46.239,inf
7.0,Medium,Upper,205,24.417,219.238,28.604,25.17,inf
7.0,Upper,Lower,226,inf,inf,inf,inf,inf
7.0,Upper,Medium,229,inf,inf,inf,inf,inf
7.0,Upper,Upper,232,inf,inf,inf,inf,inf
9.0,Lower,Lower,253,12.377,350.852,13.43,12.955,inf
9.0,Lower,Medium,256,5.951,360.111,6.141,7.015,60.016
9.0,Lower,Upper,259,6.204,277.836,6.422,7.509,48.837
9.0,Medium,Lower,280,inf,inf,inf,inf,inf
9.0,Medium,Medium,283,80.134,inf,84.828,80.748,inf
9.0,Medium,Upper,286,40.69,inf,43.508,44.777,inf
9.0,Upper,Lower,307,inf,inf,inf,inf,inf
9.0,Upper,Medium,310,inf,inf,inf,inf,inf
9.0,Upper,Upper,313,inf,inf,inf,inf,inf
11.0,Lower,Lower,334,11.406,inf,11.711,12.099,inf
11.0,Lower,Medium,337,5.976,inf,6.025,7.443,43.315
11.0,Lower,Upper,340,6.476,inf,6.571,8.243,38.813
11.0,Medium,Lower,361,inf,inf,inf,inf,inf
11.0,Medium,Medium,364,116.507,inf,116.748,121.118,inf
11.0,Medium,Upper,367,46.084,inf,46.946,50.21,inf
11.0,Upper,Lower,388,inf,inf,inf,inf,inf
11.0,Upper,Medium,391,inf,inf,inf,inf,inf
11.0,Upper,Upper,394,inf,inf,inf,inf,inf
