voters,mean,std,smr,mino-d,n-t-m-d,mino-t,expert,min-coll
3.0,Lower,Lower,0.629,0.371,0.0,0.371,0.371,1.0
3.0,Lower,Medium,0.424,0.576,0.0,0.576,0.576,1.0
3.0,Lower,Upper,0.371,0.629,0.0,0.629,0.629,1.0
3.0,Medium,Lower,0.997,0.003,0.0,0.003,0.003,1.0
3.0,Medium,Medium,0.84,0.16,0.0,0.16,0.16,1.0
3.0,Medium,Upper,0.598,0.402,0.0,0.402,0.402,1.0
3.0,Upper,Lower,0.968,0.032,0.0,0.032,0.032,1.0
3.0,Upper,Medium,0.857,0.143,0.0,0.143,0.143,1.0
3.0,Upper,Upper,0.743,0.257,0.0,0.257,0.257,1.0
5.0,Lower,Lower,0.247,0.753,0.695,0.058,0.058,0.522
5.0,Lower,Medium,0.055,0.945,0.851,0.094,0.094,0.536
5.0,Lower,Upper,0.034,0.966,0.824,0.142,0.142,0.559
5.0,Medium,Lower,0.954,0.046,0.046,0.0,0.0,0.653
5.0,Medium,Medium,0.388,0.612,0.609,0.002,0.002,0.698
5.0,Medium,Upper,0.124,0.876,0.84,0.036,0.036,0.721
5.0,Upper,Lower,0.792,0.208,0.208,0.0,0.0,0.927
5.0,Upper,Medium,0.416,0.584,0.582,0.002,0.002,0.93
5.0,Upper,Upper,0.242,0.758,0.749,0.009,0.009,0.905
7.0,Lower,Lower,0.084,0.916,0.903,0.013,0.007,0.27
7.0,Lower,Medium,0.003,0.997,0.975,0.023,0.01,0.301
7.0,Lower,Upper,0.001,0.999,0.964,0.034,0.019,0.348
7.0,Medium,Lower,0.79,0.21,0.21,0.0,0.0,0.48
7.0,Medium,Medium,0.093,0.907,0.907,0.0,0.0,0.534
7.0,Medium,Upper,0.01,0.99,0.984,0.006,0.005,0.589
7.0,Upper,Lower,0.519,0.481,0.481,0.0,0.0,0.888
7.0,Upper,Medium,0.102,0.898,0.898,0.0,0.0,0.881
7.0,Upper,Upper,0.033,0.967,0.967,0.0,0.0,0.858
9.0,Lower,Lower,0.023,0.977,0.975,0.002,0.001,0.149
9.0,Lower,Medium,0.0,1.0,0.998,0.002,0.002,0.179
9.0,Lower,Upper,0.0,1.0,0.995,0.005,0.003,0.222
9.0,Medium,Lower,0.569,0.431,0.431,0.0,0.0,0.369
9.0,Medium,Medium,0.014,0.986,0.986,0.0,0.0,0.436
9.0,Medium,Upper,0.001,0.999,0.999,0.001,0.001,0.501
9.0,Upper,Lower,0.288,0.712,0.712,0.0,0.0,0.855
9.0,Upper,Medium,0.012,0.988,0.988,0.0,0.0,0.85
9.0,Upper,Upper,0.003,0.997,0.997,0.0,0.0,0.817
11.0,Lower,Lower,0.003,0.997,0.997,0.0,0.0,0.082
11.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.106
11.0,Lower,Upper,0.0,1.0,0.999,0.001,0.001,0.153
11.0,Medium,Lower,0.371,0.629,0.629,0.0,0.0,0.296
11.0,Medium,Medium,0.001,0.999,0.999,0.0,0.0,0.344
11.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.414
11.0,Upper,Lower,0.145,0.855,0.855,0.0,0.0,0.824
11.0,Upper,Medium,0.001,0.999,0.999,0.0,0.0,0.817
11.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.768
21.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.005
21.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.009
21.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.02
21.0,Medium,Lower,0.004,0.996,0.996,0.0,0.0,0.087
21.0,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.13
21.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.175
21.0,Upper,Lower,0.001,0.999,0.999,0.0,0.0,0.695
21.0,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.677
21.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.61
31.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.0
31.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.001
31.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.003
31.0,Medium,Lower,0.0,1.0,1.0,0.0,0.0,0.027
31.0,Medium,Medium,0.0,1.0,1.0,0.0,0.0,0.05
31.0,Medium,Upper,0.0,1.0,1.0,0.0,0.0,0.078
31.0,Upper,Lower,0.0,1.0,1.0,0.0,0.0,0.599
31.0,Upper,Medium,0.0,1.0,1.0,0.0,0.0,0.554
31.0,Upper,Upper,0.0,1.0,1.0,0.0,0.0,0.48
41.0,Lower,Lower,0.0,1.0,1.0,0.0,0.0,0.0
41.0,Lower,Medium,0.0,1.0,1.0,0.0,0.0,0.0
41.0,Lower,Upper,0.0,1.0,1.0,0.0,0.0,0.001
41.0,Medium,Lower,0.0,1.0,1.0,0.0,0.0,0.01
