voters,mean,std,smr,mino-d,n-t-m-d,mino-t,expert,min-coll
3.0,Lower,Lower,0.629,0.371,0.0,0.371,0.371,1.0
3.0,Lower,Medium,0.432,0.568,0.0,0.568,0.568,1.0
3.0,Lower,Upper,0.378,0.622,0.0,0.622,0.622,1.0
3.0,Medium,Lower,0.997,0.003,0.0,0.003,0.003,1.0
3.0,Medium,Medium,0.845,0.155,0.0,0.155,0.155,1.0
3.0,Medium,Upper,0.603,0.397,0.0,0.397,0.397,1.0
3.0,Upper,Lower,0.967,0.033,0.0,0.033,0.033,1.0
3.0,Upper,Medium,0.866,0.134,0.0,0.134,0.134,1.0
3.0,Upper,Upper,0.748,0.252,0.0,0.252,0.252,1.0
5.0,Lower,Lower,0.253,0.747,0.691,0.055,0.055,0.514
5.0,Lower,Medium,0.051,0.949,0.858,0.091,0.091,0.54
5.0,Lower,Upper,0.037,0.963,0.827,0.137,0.137,0.557
5.0,Medium,Lower,0.954,0.046,0.046,0.0,0.0,0.657
5.0,Medium,Medium,0.393,0.607,0.605,0.002,0.002,0.694
5.0,Medium,Upper,0.122,0.878,0.839,0.038,0.038,0.731
5.0,Upper,Lower,0.805,0.195,0.195,0.0,0.0,0.926
5.0,Upper,Medium,0.425,0.575,0.573,0.002,0.002,0.925
5.0,Upper,Upper,0.245,0.755,0.748,0.007,0.007,0.908
7.0,Lower,Lower,0.082,0.918,0.905,0.013,0.007,0.275
7.0,Lower,Medium,0.003,0.997,0.974,0.022,0.01,0.305
7.0,Lower,Upper,0.002,0.998,0.959,0.039,0.022,0.347
7.0,Medium,Lower,0.794,0.206,0.206,0.0,0.0,0.484
7.0,Medium,Medium,0.094,0.906,0.906,0.0,0.0,0.543
7.0,Medium,Upper,0.013,0.987,0.983,0.004,0.004,0.588
7.0,Upper,Lower,0.511,0.489,0.489,0.0,0.0,0.893
7.0,Upper,Medium,0.097,0.903,0.903,0.0,0.0,0.882
7.0,Upper,Upper,0.035,0.965,0.965,0.0,0.0,0.856
9.0,Lower,Lower,0.022,0.978,0.872,0.105,0.001,0.149
9.0,Lower,Medium,0.0,1.0,0.824,0.176,0.001,0.176
9.0,Lower,Upper,0.0,1.0,0.78,0.22,0.004,0.226
9.0,Medium,Lower,0.567,0.433,0.433,0.0,0.0,0.367
9.0,Medium,Medium,0.011,0.989,0.988,0.001,0.0,0.429
9.0,Medium,Upper,0.001,0.999,0.964,0.036,0.001,0.495
9.0,Upper,Lower,0.282,0.718,0.718,0.0,0.0,0.859
9.0,Upper,Medium,0.013,0.987,0.987,0.0,0.0,0.848
9.0,Upper,Upper,0.003,0.997,0.996,0.001,0.0,0.81
11.0,Lower,Lower,0.005,0.995,0.681,0.314,0.0,0.08
11.0,Lower,Medium,0.0,1.0,0.472,0.528,0.0,0.107
11.0,Lower,Upper,0.0,1.0,0.381,0.619,0.002,0.147
11.0,Medium,Lower,0.372,0.628,0.628,0.0,0.0,0.288
11.0,Medium,Medium,0.001,0.999,0.981,0.019,0.0,0.353
11.0,Medium,Upper,0.0,1.0,0.816,0.184,0.0,0.412
11.0,Upper,Lower,0.154,0.846,0.846,0.0,0.0,0.829
11.0,Upper,Medium,0.001,0.999,0.997,0.002,0.0,0.817
11.0,Upper,Upper,0.0,1.0,0.969,0.03,0.0,0.775
