iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,majority_correct,expert_correct,compromise_correct
1000.0,3.0,0.5,,0.02,,0.364,0.636,0.0,0.636,0.636,1.0,0.518,0.545,0.529
1000.0,3.0,0.5,,0.03,,0.371,0.629,0.0,0.629,0.629,1.0,0.5195,0.545,0.545
1000.0,3.0,0.5,,0.04,,0.337,0.663,0.0,0.663,0.663,1.0,0.532,0.5605,0.5435
1000.0,3.0,0.5,,0.06,,0.343,0.657,0.0,0.657,0.657,1.0,0.5575,0.5725,0.573
1000.0,3.0,0.5,,0.07,,0.342,0.658,0.0,0.658,0.658,1.0,0.587,0.6,0.5785
1000.0,3.0,0.5,,0.08,,0.335,0.665,0.0,0.665,0.665,1.0,0.5955,0.604,0.5975
1000.0,3.0,0.5,,0.1,,0.335,0.665,0.0,0.665,0.665,1.0,0.6155,0.63,0.6505
1000.0,3.0,0.5,,0.11,,0.315,0.685,0.0,0.685,0.685,1.0,0.619,0.651,0.6495
1000.0,3.0,0.5,,0.12,,0.333,0.667,0.0,0.667,0.667,1.0,0.676,0.66,0.6655
1000.0,3.0,0.55,,0.02,,0.784,0.216,0.0,0.216,0.216,1.0,0.57,0.559,0.553
1000.0,3.0,0.55,,0.03,,0.603,0.397,0.0,0.397,0.397,1.0,0.576,0.582,0.5625
1000.0,3.0,0.55,,0.04,,0.498,0.502,0.0,0.502,0.502,1.0,0.593,0.5745,0.5965
1000.0,3.0,0.55,,0.06,,0.43,0.57,0.0,0.57,0.57,1.0,0.618,0.608,0.6195
1000.0,3.0,0.55,,0.07,,0.441,0.559,0.0,0.559,0.559,1.0,0.6125,0.606,0.5985
1000.0,3.0,0.55,,0.08,,0.394,0.606,0.0,0.606,0.606,1.0,0.613,0.643,0.628
1000.0,3.0,0.55,,0.1,,0.388,0.612,0.0,0.612,0.612,1.0,0.6475,0.6525,0.6745
1000.0,3.0,0.55,,0.11,,0.379,0.621,0.0,0.621,0.621,1.0,0.6585,0.6685,0.6765
1000.0,3.0,0.55,,0.12,,0.349,0.651,0.0,0.651,0.651,1.0,0.6755,0.693,0.691
