voters,mean,std,st-demo,wk-demo,wk-epis,st-epis,expert,min-coll,opt=maj
3.0,Lower,Lower,0.813,0.0,0.0,0.187,0.187,1.0,0.954
3.0,Lower,Medium,0.295,0.0,0.0,0.705,0.705,1.0,0.839
3.0,Lower,Upper,0.112,0.0,0.0,0.908,0.888,1.0,0.791
3.0,Medium,Lower,0.998,0.0,0.0,0.002,0.002,1.0,1.0
3.0,Medium,Medium,0.764,0.0,0.0,0.236,0.236,1.0,0.966
3.0,Medium,Upper,0.385,0.0,0.0,0.615,0.615,1.0,0.913
3.0,Upper,Lower,0.986,0.0,0.0,0.014,0.014,1.0,1.0
3.0,Upper,Medium,0.66,0.0,0.0,0.341,0.34,1.0,0.989
3.0,Upper,Upper,0.493,0.0,0.0,0.71,0.507,1.0,0.975
5.0,Lower,Lower,0.49,0.381,0.103,0.026,0.026,0.538,0.942
5.0,Lower,Medium,0.034,0.332,0.286,0.347,0.347,0.569,0.82
5.0,Lower,Upper,0.006,0.095,0.203,0.7,0.696,0.581,0.769
5.0,Medium,Lower,0.952,0.047,0.001,0.0,0.0,0.646,0.998
5.0,Medium,Medium,0.259,0.608,0.129,0.004,0.004,0.706,0.962
5.0,Medium,Upper,0.036,0.46,0.37,0.135,0.135,0.777,0.922
5.0,Upper,Lower,0.895,0.099,0.005,0.0,0.0,0.866,1.0
5.0,Upper,Medium,0.195,0.596,0.166,0.044,0.043,0.922,0.993
5.0,Upper,Upper,0.272,0.342,0.262,0.374,0.124,0.964,0.992
7.0,Lower,Lower,0.25,0.698,0.044,0.007,0.005,0.299,0.932
7.0,Lower,Medium,0.002,0.507,0.227,0.263,0.211,0.338,0.812
7.0,Lower,Upper,0.003,0.136,0.247,0.617,0.544,0.372,0.756
7.0,Medium,Lower,0.788,0.212,0.0,0.0,0.0,0.48,0.997
7.0,Medium,Medium,0.038,0.934,0.027,0.0,0.0,0.551,0.965
7.0,Medium,Upper,0.001,0.723,0.236,0.04,0.028,0.647,0.942
7.0,Upper,Lower,0.706,0.294,0.001,0.0,0.0,0.805,1.0
7.0,Upper,Medium,0.028,0.912,0.051,0.01,0.008,0.88,0.997
7.0,Upper,Upper,0.276,0.505,0.179,0.315,0.029,0.947,0.996
9.0,Lower,Lower,0.108,0.876,0.015,0.001,0.0,0.184,0.927
9.0,Lower,Medium,0.0,0.604,0.193,0.203,0.146,0.211,0.809
9.0,Lower,Upper,0.001,0.19,0.285,0.525,0.437,0.256,0.767
9.0,Medium,Lower,0.564,0.436,0.0,0.0,0.0,0.366,0.996
9.0,Medium,Medium,0.003,0.995,0.002,0.0,0.0,0.458,0.97
9.0,Medium,Upper,0.0,0.877,0.114,0.008,0.006,0.56,0.954
9.0,Upper,Lower,0.478,0.522,0.0,0.0,0.0,0.739,1.0
9.0,Upper,Medium,0.005,0.984,0.01,0.003,0.002,0.844,0.998
9.0,Upper,Upper,0.294,0.61,0.089,0.3,0.005,0.932,0.997
11.0,Lower,Lower,0.041,0.955,0.004,0.0,0.0,0.105,0.928
11.0,Lower,Medium,0.0,0.662,0.185,0.153,0.101,0.141,0.823
11.0,Lower,Upper,0.001,0.26,0.277,0.463,0.379,0.182,0.778
11.0,Medium,Lower,0.365,0.635,0.0,0.0,0.0,0.289,0.996
11.0,Medium,Medium,0.0,1.0,0.0,0.0,0.0,0.38,0.975
11.0,Medium,Upper,0.0,0.956,0.043,0.001,0.001,0.494,0.967
11.0,Upper,Lower,0.297,0.703,0.0,0.0,0.0,0.682,1.0
11.0,Upper,Medium,0.003,0.996,0.001,0.003,0.0,0.819,0.999
11.0,Upper,Upper,0.304,0.66,0.034,0.306,0.001,0.917,0.999
21.0,Lower,Lower,0.0,1.0,0.0,0.0,0.0,0.009,0.92
21.0,Lower,Medium,0.0,0.8,0.178,0.022,0.014,0.017,0.852
21.0,Lower,Upper,0.002,0.49,0.175,0.335,0.226,0.036,0.821
21.0,Medium,Lower,0.005,0.995,0.0,0.0,0.0,0.086,0.997
21.0,Medium,Medium,0.0,1.0,0.0,0.0,0.0,0.144,0.993
21.0,Medium,Upper,0.0,1.0,0.0,0.0,0.0,0.256,0.99
21.0,Upper,Lower,0.003,0.997,0.0,0.0,0.0,0.494,1.0
21.0,Upper,Medium,0.004,0.996,0.0,0.004,0.0,0.691,1.0
21.0,Upper,Upper,0.329,0.671,0.0,0.329,0.0,0.839,1.0
