iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,optimal_agrees_majority
1000.0,3.0,0.55,,0.02,,0.801,0.0,0.0,0.199,0.199,0.956
1000.0,3.0,0.55,,0.03,,0.542,0.0,0.0,0.458,0.458,0.861
1000.0,3.0,0.55,,0.04,,0.355,0.0,0.0,0.645,0.645,0.862
1000.0,3.0,0.55,,0.07,,0.079,0.0,0.0,0.921,0.921,0.764
1000.0,3.0,0.55,,0.08,,0.062,0.0,0.0,0.938,0.938,0.754
1000.0,3.0,0.55,,0.09,,0.029,0.0,0.0,0.971,0.971,0.754
1000.0,3.0,0.55,,0.12,,0.002,0.0,0.0,0.998,0.998,0.774
1000.0,3.0,0.55,,0.13,,0.027,0.0,0.0,1.0,0.973,0.748
1000.0,3.0,0.55,,0.14,,0.153,0.0,0.0,0.999,0.847,0.73
1000.0,3.0,0.6,,0.02,,0.996,0.0,0.0,0.004,0.004,1.0
1000.0,3.0,0.6,,0.03,,0.919,0.0,0.0,0.081,0.081,0.976
1000.0,3.0,0.6,,0.04,,0.764,0.0,0.0,0.236,0.236,0.949
1000.0,3.0,0.6,,0.07,,0.366,0.0,0.0,0.634,0.634,0.856
1000.0,3.0,0.6,,0.08,,0.294,0.0,0.0,0.706,0.706,0.859
1000.0,3.0,0.6,,0.09,,0.217,0.0,0.0,0.783,0.783,0.834
1000.0,3.0,0.6,,0.12,,0.091,0.0,0.0,0.909,0.909,0.774
1000.0,3.0,0.6,,0.13,,0.057,0.0,0.0,0.943,0.943,0.799
1000.0,3.0,0.6,,0.14,,0.05,0.0,0.0,0.95,0.95,0.798
1000.0,3.0,0.65,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.65,,0.03,,0.996,0.0,0.0,0.004,0.004,0.997
1000.0,3.0,0.65,,0.04,,0.941,0.0,0.0,0.059,0.059,0.985
1000.0,3.0,0.65,,0.07,,0.62,0.0,0.0,0.38,0.38,0.918
1000.0,3.0,0.65,,0.08,,0.556,0.0,0.0,0.444,0.444,0.908
1000.0,3.0,0.65,,0.09,,0.428,0.0,0.0,0.572,0.572,0.905
1000.0,3.0,0.65,,0.12,,0.243,0.0,0.0,0.757,0.757,0.849
1000.0,3.0,0.65,,0.13,,0.209,0.0,0.0,0.791,0.791,0.816
1000.0,3.0,0.65,,0.14,,0.172,0.0,0.0,0.828,0.828,0.832
1000.0,3.0,0.7,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.7,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.7,,0.04,,0.986,0.0,0.0,0.014,0.014,0.998
1000.0,3.0,0.7,,0.07,,0.794,0.0,0.0,0.206,0.206,0.962
1000.0,3.0,0.7,,0.08,,0.695,0.0,0.0,0.305,0.305,0.949
1000.0,3.0,0.7,,0.09,,0.607,0.0,0.0,0.393,0.393,0.922
1000.0,3.0,0.7,,0.12,,0.39,0.0,0.0,0.61,0.61,0.882
1000.0,3.0,0.7,,0.13,,0.313,0.0,0.0,0.687,0.687,0.891
1000.0,3.0,0.7,,0.14,,0.271,0.0,0.0,0.729,0.729,0.86
1000.0,3.0,0.75,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.75,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.75,,0.04,,0.997,0.0,0.0,0.003,0.003,0.999
1000.0,3.0,0.75,,0.07,,0.856,0.0,0.0,0.144,0.144,0.981
1000.0,3.0,0.75,,0.08,,0.796,0.0,0.0,0.204,0.204,0.969
1000.0,3.0,0.75,,0.09,,0.692,0.0,0.0,0.308,0.308,0.954
1000.0,3.0,0.75,,0.12,,0.459,0.0,0.0,0.541,0.541,0.931
1000.0,3.0,0.75,,0.13,,0.398,0.0,0.0,0.602,0.602,0.922
1000.0,3.0,0.75,,0.14,,0.331,0.0,0.0,0.669,0.669,0.906
1000.0,3.0,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.8,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.8,,0.04,,0.997,0.0,0.0,0.003,0.003,0.999
1000.0,3.0,0.8,,0.07,,0.882,0.0,0.0,0.118,0.118,0.994
1000.0,3.0,0.8,,0.08,,0.813,0.0,0.0,0.187,0.187,0.984
1000.0,3.0,0.8,,0.09,,0.743,0.0,0.0,0.257,0.257,0.975
1000.0,3.0,0.8,,0.12,,0.49,0.0,0.0,0.51,0.51,0.946
1000.0,3.0,0.8,,0.13,,0.434,0.0,0.0,0.566,0.566,0.953
1000.0,3.0,0.8,,0.14,,0.382,0.0,0.0,0.618,0.618,0.922
1000.0,3.0,0.85,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.85,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.85,,0.04,,0.999,0.0,0.0,0.001,0.001,1.0
1000.0,3.0,0.85,,0.07,,0.883,0.0,0.0,0.117,0.117,0.991
1000.0,3.0,0.85,,0.08,,0.792,0.0,0.0,0.208,0.208,0.986
1000.0,3.0,0.85,,0.09,,0.728,0.0,0.0,0.272,0.272,0.974
1000.0,3.0,0.85,,0.12,,0.477,0.0,0.0,0.523,0.523,0.957
1000.0,3.0,0.85,,0.13,,0.409,0.0,0.0,0.591,0.591,0.962
1000.0,3.0,0.85,,0.14,,0.382,0.0,0.0,0.618,0.618,0.955
1000.0,3.0,0.9,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.9,,0.03,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.9,,0.04,,0.992,0.0,0.0,0.008,0.008,1.0
1000.0,3.0,0.9,,0.07,,0.818,0.0,0.0,0.182,0.182,0.991
1000.0,3.0,0.9,,0.08,,0.74,0.0,0.0,0.26,0.26,0.988
1000.0,3.0,0.9,,0.09,,0.61,0.0,0.0,0.39,0.39,0.988
1000.0,3.0,0.9,,0.12,,0.399,0.0,0.0,0.601,0.601,0.98
1000.0,3.0,0.9,,0.13,,0.341,0.0,0.0,0.66,0.659,0.974
1000.0,3.0,0.9,,0.14,,0.293,0.0,0.0,0.709,0.707,0.978
1000.0,3.0,0.95,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,3.0,0.95,,0.03,,0.978,0.0,0.0,0.022,0.022,1.0
1000.0,3.0,0.95,,0.04,,0.908,0.0,0.0,0.092,0.092,0.999
1000.0,3.0,0.95,,0.07,,0.559,0.0,0.0,0.441,0.441,0.992
1000.0,3.0,0.95,,0.08,,0.452,0.0,0.0,0.548,0.548,0.997
1000.0,3.0,0.95,,0.09,,0.354,0.0,0.0,0.65,0.646,0.994
1000.0,3.0,0.95,,0.12,,0.511,0.0,0.0,0.803,0.489,0.994
1000.0,3.0,0.95,,0.13,,0.728,0.0,0.0,0.908,0.272,0.991
1000.0,3.0,0.95,,0.14,,0.899,0.0,0.0,0.979,0.101,0.987
1000.0,5.0,0.55,,0.02,,0.259,0.634,0.105,0.002,0.002,0.927
1000.0,5.0,0.55,,0.03,,0.076,0.598,0.289,0.037,0.037,0.866
1000.0,5.0,0.55,,0.04,,0.025,0.462,0.314,0.199,0.199,0.841
1000.0,5.0,0.55,,0.07,,0.001,0.078,0.273,0.648,0.648,0.755
1000.0,5.0,0.55,,0.08,,0.0,0.034,0.184,0.782,0.782,0.739
1000.0,5.0,0.55,,0.09,,0.0,0.009,0.116,0.875,0.875,0.71
1000.0,5.0,0.55,,0.12,,0.0,0.0,0.028,0.972,0.972,0.714
1000.0,5.0,0.55,,0.13,,0.001,0.0,0.012,0.988,0.987,0.704
1000.0,5.0,0.55,,0.14,,0.039,0.0,0.006,0.994,0.955,0.702
1000.0,5.0,0.6,,0.02,,0.883,0.114,0.003,0.0,0.0,0.992
1000.0,5.0,0.6,,0.03,,0.485,0.476,0.039,0.0,0.0,0.964
1000.0,5.0,0.6,,0.04,,0.259,0.599,0.142,0.0,0.0,0.92
1000.0,5.0,0.6,,0.07,,0.037,0.458,0.387,0.118,0.118,0.858
1000.0,5.0,0.6,,0.08,,0.016,0.372,0.392,0.22,0.22,0.836
1000.0,5.0,0.6,,0.09,,0.014,0.278,0.373,0.335,0.335,0.82
1000.0,5.0,0.6,,0.12,,0.002,0.083,0.286,0.629,0.629,0.746
1000.0,5.0,0.6,,0.13,,0.0,0.041,0.224,0.735,0.735,0.774
1000.0,5.0,0.6,,0.14,,0.001,0.016,0.165,0.818,0.818,0.74
