voters,mean,std,optimal_correct,majority_correct,d_majority_correct_d_voters,majority_correct_minus_mean,optimal_correct_minus_mean,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,Lower,Lower,0.593,0.592,0,0.042,0.043,0,1.036,,1.002
3,Lower,Medium,0.642,0.626,0,0.076,0.092,0,1.217,,1.027
3,Lower,Upper,0.688,0.667,0,0.117,0.138,0,1.192,,1.031
3,Medium,Lower,0.834,0.834,0,0.084,0.084,0,1.005,,1
3,Medium,Medium,0.852,0.846,0,0.096,0.102,0,1.06,,1.007
3,Medium,Upper,0.86,0.844,0,0.094,0.11,0,1.168,,1.019
3,Upper,Lower,0.985,0.985,0,0.035,0.035,0,0.999,,1
3,Upper,Medium,0.979,0.977,0,0.027,0.029,0,0.967,,1.001
3,Upper,Upper,0.969,0.965,0,0.015,0.019,0,1.198,,1.003
5,Lower,Lower,0.618,0.608,0.015,0.058,0.068,0.024,1.933,-0.814,1.018
5,Lower,Medium,0.679,0.654,0.028,0.104,0.129,0.037,1.252,1.414,1.039
5,Lower,Upper,0.734,0.708,0.04,0.158,0.184,0.046,1.174,1.971,1.036
5,Medium,Lower,0.893,0.893,0.059,0.143,0.143,0.059,1.002,1.002,1
5,Medium,Medium,0.898,0.89,0.043,0.14,0.148,0.046,1.064,1.117,1.01
5,Medium,Upper,0.91,0.891,0.047,0.141,0.16,0.051,1.137,1.359,1.022
5,Upper,Lower,0.997,0.996,0.011,0.046,0.047,0.012,1.003,1.014,1
5,Upper,Medium,0.995,0.994,0.016,0.044,0.045,0.016,1.027,0.956,1.001
5,Upper,Upper,0.99,0.988,0.022,0.038,0.04,0.022,1.025,1.008,1.003
7,Lower,Lower,0.636,0.629,0.021,0.079,0.086,0.018,1.153,0.758,1.012
7,Lower,Medium,0.698,0.669,0.016,0.119,0.148,0.019,1.27,0.975,1.044
7,Lower,Upper,0.766,0.72,0.013,0.17,0.216,0.032,1.269,2.005,1.063
7,Medium,Lower,0.925,0.925,0.032,0.175,0.175,0.032,1.004,1.012,1.001
7,Medium,Medium,0.934,0.926,0.036,0.176,0.184,0.036,1.045,0.971,1.009
7,Medium,Upper,0.943,0.919,0.027,0.169,0.193,0.033,1.147,1.305,1.027
7,Upper,Lower,0.999,0.999,0.003,0.049,0.049,0.002,1,0.905,1
7,Upper,Medium,0.999,0.999,0.005,0.049,0.049,0.004,0.869,inf,1.001
7,Upper,Upper,0.997,0.996,0.008,0.046,0.047,0.007,0.959,1.013,1.001
9,Lower,Lower,0.661,0.649,0.021,0.099,0.111,0.025,1.155,0.543,1.02
9,Lower,Medium,0.729,0.696,0.027,0.146,0.179,0.03,1.239,1.353,1.047
9,Lower,Upper,0.799,0.759,0.038,0.209,0.249,0.033,1.192,0.85,1.053
9,Medium,Lower,0.945,0.944,0.02,0.194,0.195,0.02,1.003,0.854,1.001
9,Medium,Medium,0.948,0.944,0.018,0.194,0.198,0.015,1.023,0.771,1.005
9,Medium,Upper,0.961,0.946,0.027,0.196,0.211,0.017,1.076,0.612,1.016
9,Upper,Lower,1,1,0.001,0.05,0.05,0.001,1.002,1.333,1
9,Upper,Medium,1,0.999,0.001,0.049,0.05,0,#NAME?,0.375,1
9,Upper,Upper,0.999,0.997,0.001,0.047,0.049,0.001,1.026,0.571,1.002
11,Lower,Lower,0.67,0.657,0.008,0.107,0.12,0.009,1.133,,1.021
11,Lower,Medium,0.746,0.716,0.02,0.166,0.196,0.017,1.183,0.532,1.042
11,Lower,Upper,0.832,0.778,0.019,0.228,0.282,0.033,1.237,inf,1.07
11,Medium,Lower,0.958,0.957,0.013,0.207,0.208,0.013,1.002,0.989,1
11,Medium,Medium,0.966,0.958,0.014,0.208,0.216,0.017,1.037,1.167,1.008
11,Medium,Upper,0.975,0.963,0.017,0.213,0.225,0.014,1.055,0.844,1.013
11,Upper,Lower,1,1,0,0.05,0.05,0,1,0.667,1
11,Upper,Medium,1,1,0,0.05,0.05,0,1.005,inf,1
11,Upper,Upper,0.999,0.999,0.002,0.049,0.049,0.001,0.997,0.214,1
21,Lower,Lower,0.717,0.705,0.048,0.155,0.167,0.047,1.096,1.041,1.019
21,Lower,Medium,0.81,0.769,0.052,0.219,0.26,0.064,1.194,1.296,1.054
21,Lower,Upper,0.887,0.842,0.063,0.292,0.337,0.055,1.156,0.881,1.054
21,Medium,Lower,0.989,0.989,0.032,0.239,0.239,0.032,0.999,0.993,1
21,Medium,Medium,0.992,0.99,0.032,0.24,0.242,0.026,1.007,0.696,1.002
21,Medium,Upper,0.995,0.989,0.027,0.239,0.245,0.021,1.023,0.772,1.006
21,Upper,Lower,1,1,0,0.05,0.05,0,1,,1
21,Upper,Medium,1,1,0,0.05,0.05,0,1,0,1
21,Upper,Upper,1,1,0.001,0.05,0.05,0.001,1,inf,1
31,Lower,Lower,0.776,0.762,0.038,0.206,0.219,0.038,1.076,1.986,1.019
31,Lower,Medium,0.854,0.82,0.051,0.27,0.304,0.044,1.125,0.852,1.041
31,Lower,Upper,0.936,0.89,0.049,0.34,0.386,0.05,1.136,1.08,1.052
31,Medium,Lower,0.996,0.996,0.007,0.246,0.246,0.007,1,0.995,1
31,Medium,Medium,0.997,0.996,0.006,0.246,0.247,0.006,1.004,1.046,1.001
31,Medium,Upper,0.999,0.997,0.007,0.247,0.249,0.004,1.009,0.438,1.003
31,Upper,Lower,1,1,0,0.05,0.05,0,1,,1
31,Upper,Medium,1,1,0,0.05,0.05,0,1,,1
31,Upper,Upper,1,1,0,0.05,0.05,0,1,,1
41,Lower,Lower,0.781,0.754,0.016,0.204,0.231,0.031,1.188,0.845,1.04
41,Lower,Medium,0.886,0.847,0.027,0.297,0.336,0.032,1.139,1.462,1.048
41,Lower,Upper,0.957,0.912,0.022,0.362,0.407,0.021,1.124,1.074,1.05
41,Medium,Lower,0.999,0.999,0.003,0.249,0.249,0.003,1,1.016,1
41,Medium,Medium,1,0.999,0.003,0.249,0.25,0.002,1.002,0.885,1
41,Medium,Upper,1,0.999,0.002,0.249,0.25,0.001,1.003,0.144,1.001
41,Upper,Lower,1,1,0,0.05,0.05,0,1,,1
41,Upper,Medium,1,1,0,0.05,0.05,0,1,,1
41,Upper,Upper,1,1,0,0.05,0.05,0,1,,1
51,Lower,Lower,0.813,0.788,0.034,0.238,0.263,0.032,1.155,1.463,1.036
51,Lower,Medium,0.91,0.868,0.021,0.318,0.36,0.023,1.139,0.425,1.05
51,Lower,Upper,0.969,0.934,0.022,0.384,0.419,0.012,1.092,0.754,1.038
51,Medium,Lower,0.999,0.999,0,0.249,0.249,0,1,0.875,1
51,Medium,Medium,1,1,0.001,0.25,0.25,0,1,#NAME?,1
51,Medium,Upper,1,1,0.001,0.25,0.25,0,1,-0.2,1
51,Upper,Lower,1,1,0,0.05,0.05,0,1,,1
51,Upper,Medium,1,1,0,0.05,0.05,0,1,,1
51,Upper,Upper,1,1,0,0.05,0.05,0,1,,1
