voters,mean,std,st-demo,wk-demo,wk-epis,st-epis,expert,min-coll,opt=maj
3.0,Lower,Lower,0.844,0.0,0.0,0.156,0.156,1.0,0.964
3.0,Lower,Medium,0.51,0.0,0.0,0.49,0.49,1.0,0.89
3.0,Lower,Upper,0.393,0.0,0.0,0.607,0.607,1.0,0.872
3.0,Medium,Lower,0.997,0.0,0.0,0.003,0.003,1.0,0.999
3.0,Medium,Medium,0.77,0.0,0.0,0.23,0.23,1.0,0.968
3.0,Medium,Upper,0.52,0.0,0.0,0.48,0.48,1.0,0.931
3.0,Upper,Lower,0.981,0.0,0.0,0.019,0.019,1.0,1.0
3.0,Upper,Medium,0.827,0.0,0.0,0.173,0.173,1.0,0.992
3.0,Upper,Upper,0.655,0.0,0.0,0.345,0.345,1.0,0.975
5.0,Lower,Lower,0.516,0.362,0.115,0.007,0.007,0.535,0.947
5.0,Lower,Medium,0.082,0.513,0.351,0.054,0.054,0.567,0.877
5.0,Lower,Upper,0.035,0.45,0.381,0.135,0.135,0.62,0.868
5.0,Medium,Lower,0.957,0.043,0.001,0.0,0.0,0.657,0.998
5.0,Medium,Medium,0.298,0.561,0.135,0.006,0.006,0.695,0.961
5.0,Medium,Upper,0.081,0.56,0.294,0.065,0.065,0.752,0.933
5.0,Upper,Lower,0.897,0.097,0.006,0.0,0.0,0.862,1.0
5.0,Upper,Medium,0.349,0.566,0.08,0.005,0.005,0.877,0.992
5.0,Upper,Upper,0.158,0.635,0.183,0.025,0.025,0.866,0.983
7.0,Lower,Lower,0.256,0.688,0.054,0.001,0.0,0.296,0.944
7.0,Lower,Medium,0.006,0.781,0.2,0.012,0.006,0.35,0.879
7.0,Lower,Upper,0.001,0.697,0.265,0.037,0.024,0.417,0.876
7.0,Medium,Lower,0.793,0.207,0.0,0.0,0.0,0.477,0.996
7.0,Medium,Medium,0.045,0.913,0.041,0.001,0.001,0.55,0.966
7.0,Medium,Upper,0.006,0.827,0.157,0.01,0.008,0.608,0.953
7.0,Upper,Lower,0.696,0.304,0.0,0.0,0.0,0.793,1.0
7.0,Upper,Medium,0.075,0.914,0.011,0.0,0.0,0.812,0.997
7.0,Upper,Upper,0.015,0.931,0.051,0.002,0.002,0.791,0.989
9.0,Lower,Lower,0.116,0.864,0.02,0.0,0.0,0.177,0.935
9.0,Lower,Medium,0.0,0.91,0.089,0.001,0.0,0.225,0.878
9.0,Lower,Upper,0.0,0.856,0.138,0.005,0.005,0.301,0.887
9.0,Medium,Lower,0.573,0.427,0.0,0.0,0.0,0.367,0.997
9.0,Medium,Medium,0.005,0.984,0.011,0.0,0.0,0.454,0.972
9.0,Medium,Upper,0.0,0.941,0.056,0.002,0.002,0.515,0.962
9.0,Upper,Lower,0.474,0.526,0.0,0.0,0.0,0.726,1.0
9.0,Upper,Medium,0.009,0.99,0.001,0.0,0.0,0.765,0.998
9.0,Upper,Upper,0.0,0.989,0.011,0.0,0.0,0.748,0.995
11.0,Lower,Lower,0.046,0.947,0.007,0.0,0.0,0.106,0.938
11.0,Lower,Medium,0.0,0.965,0.035,0.0,0.0,0.152,0.883
11.0,Lower,Upper,0.0,0.944,0.055,0.001,0.001,0.219,0.895
11.0,Medium,Lower,0.371,0.629,0.0,0.0,0.0,0.289,0.996
11.0,Medium,Medium,0.0,0.997,0.002,0.0,0.0,0.375,0.979
11.0,Medium,Upper,0.0,0.978,0.022,0.0,0.0,0.443,0.971
11.0,Upper,Lower,0.296,0.704,0.0,0.0,0.0,0.681,1.0
11.0,Upper,Medium,0.0,1.0,0.0,0.0,0.0,0.719,0.999
11.0,Upper,Upper,0.0,0.997,0.003,0.0,0.0,0.695,0.996
21.0,Lower,Lower,0.0,1.0,0.0,0.0,0.0,0.009,0.946
21.0,Lower,Medium,0.0,1.0,0.0,0.0,0.0,0.019,0.911
21.0,Lower,Upper,0.0,1.0,0.0,0.0,0.0,0.051,0.944
21.0,Medium,Lower,0.001,0.999,0.0,0.0,0.0,0.098,0.998
21.0,Medium,Medium,0.0,1.0,0.0,0.0,0.0,0.136,0.991
21.0,Medium,Upper,0.0,1.0,0.0,0.0,0.0,0.171,0.993
21.0,Upper,Lower,0.003,0.997,0.0,0.0,0.0,0.472,1.0
21.0,Upper,Medium,0.0,1.0,0.0,0.0,0.0,0.524,1.0
21.0,Upper,Upper,0.0,1.0,0.0,0.0,0.0,0.473,1.0
