iterations,voters,mean,std,simple_majority,minority_decisive,minority_decisive_not_tyrannic,minority_tyranny,expert_tyranny,majority_correct,expert_correct
1000,5,0.55,0.002,1,0,0,0,0,0.6075,0.553
1000,5,0.55,0.004,1,0,0,0,0,0.5895,0.5695
1000,5,0.55,0.006,1,0,0,0,0,0.6005,0.5545
1000,5,0.55,0.008,0.972,0.028,0.028,0,0,0.596,0.5545
1000,5,0.55,0.01,0.89,0.11,0.11,0,0,0.5885,0.562
1000,5,0.55,0.012,0.754,0.246,0.246,0,0,0.6005,0.546
1000,5,0.55,0.014,0.594,0.406,0.406,0,0,0.5895,0.5525
1000,5,0.55,0.016,0.421,0.579,0.579,0,0,0.581,0.5755
1000,5,0.55,0.018,0.397,0.603,0.603,0.001,0.001,0.5905,0.5625
1000,5,0.55,0.02,0.294,0.706,0.706,0.002,0.002,0.5995,0.5855
1000,5,0.55,0.022,0.234,0.766,0.766,0.001,0.001,0.587,0.562
1000,5,0.55,0.024,0.203,0.797,0.797,0.004,0.004,0.5965,0.5685
1000,5,0.55,0.026,0.149,0.851,0.851,0.004,0.004,0.5925,0.589
1000,5,0.55,0.028,0.155,0.845,0.845,0.009,0.009,0.571,0.583
1000,5,0.55,0.03,0.137,0.863,0.863,0.017,0.017,0.5905,0.5935
1000,5,0.55,0.032,0.1,0.9,0.9,0.018,0.018,0.607,0.5855
1000,5,0.55,0.034,0.109,0.891,0.891,0.027,0.027,0.6015,0.578
1000,5,0.55,0.036,0.108,0.892,0.892,0.027,0.027,0.607,0.602
1000,5,0.55,0.038,0.093,0.907,0.907,0.036,0.036,0.6165,0.588
1000,5,0.55,0.04,0.088,0.912,0.912,0.031,0.031,0.597,0.6065
1000,5,0.55,0.042,0.061,0.939,0.939,0.042,0.042,0.605,0.6
1000,5,0.55,0.044,0.062,0.938,0.938,0.04,0.04,0.62,0.5975
1000,5,0.55,0.046,0.062,0.938,0.938,0.057,0.057,0.5935,0.623
1000,5,0.55,0.048,0.057,0.943,0.943,0.055,0.055,0.607,0.624
1000,5,0.55,0.05,0.055,0.945,0.945,0.073,0.073,0.63,0.6075
1000,5,0.55,0.052,0.06,0.94,0.94,0.061,0.061,0.6105,0.625
1000,5,0.55,0.054,0.057,0.943,0.943,0.057,0.057,0.6365,0.6075
1000,5,0.55,0.056,0.054,0.946,0.946,0.061,0.061,0.618,0.625
1000,5,0.55,0.058,0.055,0.945,0.945,0.072,0.072,0.6355,0.642
1000,5,0.55,0.06,0.059,0.941,0.941,0.072,0.072,0.624,0.6385
1000,5,0.55,0.062,0.053,0.947,0.947,0.071,0.071,0.6475,0.6205
1000,5,0.55,0.064,0.043,0.957,0.957,0.081,0.081,0.6305,0.6415
1000,5,0.55,0.066,0.039,0.961,0.961,0.077,0.077,0.63,0.6325
1000,5,0.55,0.068,0.045,0.955,0.955,0.074,0.074,0.6455,0.6235
1000,5,0.55,0.07,0.04,0.96,0.96,0.099,0.099,0.648,0.657
1000,5,0.55,0.072,0.053,0.947,0.947,0.09,0.09,0.649,0.63
1000,5,0.55,0.074,0.05,0.95,0.95,0.086,0.086,0.657,0.64
1000,5,0.55,0.076,0.042,0.958,0.958,0.098,0.098,0.649,0.653
1000,5,0.55,0.078,0.034,0.966,0.966,0.1,0.1,0.673,0.6505
1000,5,0.55,0.08,0.033,0.967,0.967,0.105,0.105,0.6545,0.6495
1000,5,0.55,0.082,0.033,0.967,0.967,0.105,0.105,0.6605,0.6565
1000,5,0.55,0.084,0.041,0.959,0.959,0.117,0.117,0.669,0.653
1000,5,0.55,0.086,0.035,0.965,0.965,0.13,0.13,0.671,0.662
1000,5,0.55,0.088,0.035,0.965,0.965,0.098,0.098,0.672,0.671
1000,5,0.55,0.09,0.034,0.966,0.966,0.099,0.099,0.6695,0.6725
1000,5,0.55,0.092,0.035,0.965,0.965,0.115,0.115,0.675,0.6795
1000,5,0.55,0.094,0.029,0.971,0.971,0.121,0.121,0.6765,0.669
1000,5,0.55,0.096,0.036,0.964,0.964,0.112,0.112,0.6795,0.692
1000,5,0.55,0.098,0.022,0.978,0.978,0.125,0.125,0.6795,0.6925
