iterations,voters,mean,std,minority_decisive,majority_correct
1000.0,5.0,0.55,0.001,0.0,1.0
1000.0,5.0,0.55,0.002,0.0,1.0
1000.0,5.0,0.55,0.003,0.0,1.0
1000.0,5.0,0.55,0.004,0.0,1.0
1000.0,5.0,0.55,0.005,0.0,1.0
1000.0,5.0,0.55,0.006,0.002,1.0
1000.0,5.0,0.55,0.007,0.005,1.0
1000.0,5.0,0.55,0.008,0.018,1.0
1000.0,5.0,0.55,0.009000000000000001,0.077,1.0
1000.0,5.0,0.55,0.010000000000000002,0.11,1.0
1000.0,5.0,0.55,0.011,0.198,1.0
1000.0,5.0,0.55,0.012,0.255,1.0
1000.0,5.0,0.55,0.013000000000000001,0.34,1.0
1000.0,5.0,0.55,0.014000000000000002,0.421,1.0
1000.0,5.0,0.55,0.015,0.457,1.0
1000.0,5.0,0.55,0.016,0.535,1.0
1000.0,5.0,0.55,0.017,0.57,1.0
1000.0,5.0,0.55,0.018000000000000002,0.602,1.0
1000.0,5.0,0.55,0.019000000000000003,0.651,1.0
1000.0,5.0,0.55,0.02,0.714,1.0
1000.0,5.0,0.55,0.021,0.741,1.0
1000.0,5.0,0.55,0.022000000000000002,0.761,1.0
1000.0,5.0,0.55,0.023,0.782,1.0
1000.0,5.0,0.55,0.024,0.801,1.0
1000.0,5.0,0.55,0.025,0.812,1.0
1000.0,5.0,0.55,0.026000000000000002,0.833,1.0
1000.0,5.0,0.55,0.027000000000000003,0.841,1.0
1000.0,5.0,0.55,0.028,0.866,1.0
1000.0,5.0,0.55,0.029,0.884,1.0
1000.0,5.0,0.55,0.030000000000000002,0.892,1.0
1000.0,5.0,0.55,0.031,0.868,1.0
1000.0,5.0,0.55,0.032,0.893,1.0
1000.0,5.0,0.55,0.033,0.897,1.0
1000.0,5.0,0.55,0.034,0.882,1.0
1000.0,5.0,0.55,0.035,0.9,1.0
1000.0,5.0,0.55,0.036000000000000004,0.915,1.0
1000.0,5.0,0.55,0.037000000000000005,0.906,1.0
1000.0,5.0,0.55,0.038,0.935,1.0
1000.0,5.0,0.55,0.039,0.903,1.0
1000.0,5.0,0.55,0.04,0.921,1.0
1000.0,5.0,0.55,0.041,0.929,1.0
1000.0,5.0,0.55,0.042,0.93,1.0
1000.0,5.0,0.55,0.043000000000000003,0.95,1.0
1000.0,5.0,0.55,0.044000000000000004,0.929,1.0
1000.0,5.0,0.55,0.045,0.931,1.0
1000.0,5.0,0.55,0.046,0.932,1.0
1000.0,5.0,0.55,0.047,0.929,1.0
1000.0,5.0,0.55,0.048,0.928,1.0
1000.0,5.0,0.55,0.049,0.945,1.0
1000.0,5.0,0.55,0.05,0.953,1.0
1000.0,5.0,0.55,0.051000000000000004,0.925,1.0
1000.0,5.0,0.55,0.052000000000000005,0.946,1.0
1000.0,5.0,0.55,0.053000000000000005,0.927,1.0
1000.0,5.0,0.55,0.054,0.957,1.0
1000.0,5.0,0.55,0.055,0.949,1.0
1000.0,5.0,0.55,0.056,0.939,1.0
1000.0,5.0,0.55,0.057,0.946,1.0
1000.0,5.0,0.55,0.058,0.958,1.0
1000.0,5.0,0.55,0.059000000000000004,0.948,1.0
1000.0,5.0,0.55,0.060000000000000005,0.951,1.0
1000.0,5.0,0.55,0.061,0.954,1.0
1000.0,5.0,0.55,0.062,0.954,1.0
1000.0,5.0,0.55,0.063,0.961,1.0
1000.0,5.0,0.55,0.064,0.957,1.0
1000.0,5.0,0.55,0.065,0.955,1.0
1000.0,5.0,0.55,0.066,0.96,1.0
1000.0,5.0,0.55,0.067,0.956,1.0
1000.0,5.0,0.55,0.068,0.96,1.0
1000.0,5.0,0.55,0.069,0.954,1.0
1000.0,5.0,0.55,0.07,0.959,1.0
1000.0,5.0,0.55,0.07100000000000001,0.957,1.0
1000.0,5.0,0.55,0.07200000000000001,0.958,1.0
1000.0,5.0,0.55,0.07300000000000001,0.959,1.0
1000.0,5.0,0.55,0.074,0.961,1.0
1000.0,5.0,0.55,0.075,0.958,1.0
1000.0,5.0,0.55,0.076,0.962,1.0
1000.0,5.0,0.55,0.077,0.975,1.0
1000.0,5.0,0.55,0.078,0.957,1.0
1000.0,5.0,0.55,0.079,0.96,1.0
1000.0,5.0,0.55,0.08,0.969,1.0
1000.0,5.0,0.55,0.081,0.965,1.0
1000.0,5.0,0.55,0.082,0.96,1.0
1000.0,5.0,0.55,0.083,0.968,1.0
1000.0,5.0,0.55,0.084,0.97,1.0
1000.0,5.0,0.55,0.085,0.963,1.0
1000.0,5.0,0.55,0.08600000000000001,0.962,1.0
1000.0,5.0,0.55,0.08700000000000001,0.969,1.0
1000.0,5.0,0.55,0.08800000000000001,0.956,1.0
1000.0,5.0,0.55,0.089,0.966,1.0
1000.0,5.0,0.55,0.09,0.963,1.0
1000.0,5.0,0.55,0.091,0.959,1.0
1000.0,5.0,0.55,0.092,0.963,1.0
1000.0,5.0,0.55,0.093,0.965,1.0
1000.0,5.0,0.55,0.094,0.972,1.0
1000.0,5.0,0.55,0.095,0.966,1.0
1000.0,5.0,0.55,0.096,0.966,1.0
1000.0,5.0,0.55,0.097,0.954,1.0
1000.0,5.0,0.55,0.098,0.965,1.0
1000.0,5.0,0.55,0.099,0.971,1.0
1000.0,5.0,0.55,0.1,0.966,1.0
1000.0,5.0,0.55,0.101,0.962,1.0
1000.0,5.0,0.55,0.10200000000000001,0.96,1.0
1000.0,5.0,0.55,0.10300000000000001,0.969,1.0
1000.0,5.0,0.55,0.10400000000000001,0.972,1.0
1000.0,5.0,0.55,0.10500000000000001,0.969,1.0
1000.0,5.0,0.55,0.106,0.963,1.0
1000.0,5.0,0.55,0.107,0.974,1.0
1000.0,5.0,0.55,0.108,0.969,1.0
1000.0,5.0,0.55,0.109,0.973,1.0
1000.0,5.0,0.55,0.11,0.969,1.0
1000.0,5.0,0.55,0.111,0.972,1.0
1000.0,5.0,0.55,0.112,0.971,1.0
1000.0,5.0,0.55,0.113,0.966,1.0
1000.0,5.0,0.55,0.114,0.977,1.0
1000.0,5.0,0.55,0.115,0.968,1.0
1000.0,5.0,0.55,0.116,0.978,1.0
1000.0,5.0,0.55,0.117,0.965,1.0
1000.0,5.0,0.55,0.11800000000000001,0.973,1.0
1000.0,5.0,0.55,0.11900000000000001,0.969,1.0
1000.0,5.0,0.55,0.12000000000000001,0.975,1.0
1000.0,5.0,0.55,0.121,0.968,1.0
1000.0,5.0,0.55,0.122,0.979,1.0
1000.0,5.0,0.55,0.123,0.979,1.0
1000.0,5.0,0.55,0.124,0.972,1.0
1000.0,5.0,0.55,0.125,0.977,1.0
1000.0,5.0,0.55,0.126,0.968,1.0
1000.0,5.0,0.55,0.127,0.974,1.0
1000.0,5.0,0.55,0.128,0.973,1.0
1000.0,5.0,0.55,0.129,0.979,1.0
1000.0,5.0,0.55,0.13,0.971,1.0
1000.0,5.0,0.55,0.131,0.978,1.0
1000.0,5.0,0.55,0.132,0.974,1.0
1000.0,5.0,0.55,0.133,0.975,1.0
1000.0,5.0,0.55,0.134,0.976,1.0
1000.0,5.0,0.55,0.135,0.969,1.0
1000.0,5.0,0.55,0.136,0.97,1.0
1000.0,5.0,0.55,0.137,0.977,1.0
1000.0,5.0,0.55,0.138,0.976,1.0
1000.0,5.0,0.55,0.139,0.982,1.0
1000.0,5.0,0.55,0.14,0.977,1.0
1000.0,5.0,0.55,0.14100000000000001,0.973,1.0
1000.0,5.0,0.55,0.14200000000000002,0.968,1.0
1000.0,5.0,0.55,0.14300000000000002,0.962,1.0
1000.0,5.0,0.55,0.14400000000000002,0.973,1.0
1000.0,5.0,0.55,0.14500000000000002,0.971,1.0
1000.0,5.0,0.55,0.146,0.972,1.0
1000.0,5.0,0.55,0.147,0.98,1.0
1000.0,5.0,0.55,0.148,0.977,1.0
1000.0,5.0,0.55,0.149,0.974,1.0
1000.0,5.0,0.55,0.15,0.971,1.0
1000.0,5.0,0.55,0.151,0.976,1.0
1000.0,5.0,0.55,0.152,0.979,1.0
1000.0,5.0,0.55,0.153,0.978,1.0
1000.0,5.0,0.55,0.154,0.97,1.0
1000.0,5.0,0.55,0.155,0.98,1.0
1000.0,5.0,0.55,0.156,0.981,1.0
1000.0,5.0,0.55,0.157,0.972,1.0
1000.0,5.0,0.55,0.158,0.975,1.0
1000.0,5.0,0.55,0.159,0.976,1.0
1000.0,5.0,0.55,0.16,0.97,1.0
1000.0,5.0,0.55,0.161,0.966,1.0
1000.0,5.0,0.55,0.162,0.976,1.0
1000.0,5.0,0.55,0.163,0.965,1.0
1000.0,5.0,0.55,0.164,0.973,1.0
1000.0,5.0,0.55,0.165,0.967,1.0
1000.0,5.0,0.55,0.166,0.973,1.0
1000.0,5.0,0.55,0.167,0.981,1.0
1000.0,5.0,0.55,0.168,0.976,1.0
1000.0,5.0,0.55,0.169,0.98,1.0
1000.0,5.0,0.55,0.17,0.977,1.0
1000.0,5.0,0.55,0.171,0.974,1.0
1000.0,5.0,0.55,0.17200000000000001,0.972,1.0
1000.0,5.0,0.55,0.17300000000000001,0.973,1.0
1000.0,5.0,0.55,0.17400000000000002,0.976,1.0
1000.0,5.0,0.55,0.17500000000000002,0.982,1.0
1000.0,5.0,0.55,0.17600000000000002,0.979,1.0
1000.0,5.0,0.55,0.177,0.981,1.0
1000.0,5.0,0.55,0.178,0.973,1.0
1000.0,5.0,0.55,0.179,0.97,1.0
1000.0,5.0,0.55,0.18,0.98,1.0
1000.0,5.0,0.55,0.181,0.978,1.0
1000.0,5.0,0.55,0.182,0.979,1.0
1000.0,5.0,0.55,0.183,0.981,1.0
1000.0,5.0,0.55,0.184,0.985,1.0
1000.0,5.0,0.55,0.185,0.987,1.0
1000.0,5.0,0.55,0.186,0.974,1.0
1000.0,5.0,0.55,0.187,0.977,1.0
1000.0,5.0,0.55,0.188,0.978,1.0
1000.0,5.0,0.55,0.189,0.972,1.0
1000.0,5.0,0.55,0.19,0.983,1.0
1000.0,5.0,0.55,0.191,0.976,1.0
1000.0,5.0,0.55,0.192,0.982,1.0
1000.0,5.0,0.55,0.193,0.98,1.0
