iterations,voters,mean,std,minority_decisive,minority_tyrannic,expert_decisive,majority_correct,expert_correct
1000.0,5.0,0.55,0.002,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.004,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.006,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.008,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.01,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.012,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.014,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.016,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.018000000000000002,0.0,0.0,0.0,0.0,0.0
1000.0,5.0,0.55,0.020000000000000004,0.0,0.001,0.0,0.0,0.0
1000.0,5.0,0.55,0.022,0.0,0.004,0.0,0.0,0.0
1000.0,5.0,0.55,0.024,0.0,0.004,0.0,0.0,0.0
1000.0,5.0,0.55,0.026000000000000002,0.0,0.021,0.0,0.0,0.0
1000.0,5.0,0.55,0.028000000000000004,0.0,0.014,0.0,0.0,0.0
1000.0,5.0,0.55,0.03,0.0,0.016,0.0,0.0,0.0
1000.0,5.0,0.55,0.032,0.0,0.018,0.0,0.0,0.0
1000.0,5.0,0.55,0.034,0.0,0.023,0.0,0.0,0.0
1000.0,5.0,0.55,0.036000000000000004,0.0,0.024,0.0,0.0,0.0
1000.0,5.0,0.55,0.038000000000000006,0.0,0.032,0.0,0.0,0.0
1000.0,5.0,0.55,0.04,0.0,0.043,0.0,0.0,0.0
1000.0,5.0,0.55,0.042,0.0,0.05,0.0,0.0,0.0
1000.0,5.0,0.55,0.044000000000000004,0.0,0.043,0.0,0.0,0.0
1000.0,5.0,0.55,0.046,0.0,0.053,0.0,0.0,0.0
1000.0,5.0,0.55,0.048,0.0,0.056,0.0,0.0,0.0
1000.0,5.0,0.55,0.05,0.0,0.051,0.0,0.0,0.0
1000.0,5.0,0.55,0.052000000000000005,0.0,0.063,0.0,0.0,0.0
1000.0,5.0,0.55,0.054000000000000006,0.0,0.072,0.0,0.0,0.0
1000.0,5.0,0.55,0.056,0.0,0.083,0.0,0.0,0.0
1000.0,5.0,0.55,0.058,0.0,0.078,0.0,0.0,0.0
1000.0,5.0,0.55,0.060000000000000005,0.0,0.073,0.0,0.0,0.0
1000.0,5.0,0.55,0.062,0.0,0.076,0.0,0.0,0.0
1000.0,5.0,0.55,0.064,0.0,0.073,0.0,0.0,0.0
1000.0,5.0,0.55,0.066,0.0,0.096,0.0,0.0,0.0
1000.0,5.0,0.55,0.068,0.0,0.086,0.0,0.0,0.0
1000.0,5.0,0.55,0.07,0.0,0.091,0.0,0.0,0.0
1000.0,5.0,0.55,0.07200000000000001,0.0,0.078,0.0,0.0,0.0
1000.0,5.0,0.55,0.07400000000000001,0.0,0.094,0.0,0.0,0.0
1000.0,5.0,0.55,0.076,0.0,0.095,0.0,0.0,0.0
1000.0,5.0,0.55,0.078,0.0,0.1,0.0,0.0,0.0
1000.0,5.0,0.55,0.08,0.0,0.123,0.0,0.0,0.0
1000.0,5.0,0.55,0.082,0.0,0.101,0.0,0.0,0.0
1000.0,5.0,0.55,0.084,0.0,0.096,0.0,0.0,0.0
