iterations,voters,mean,std,minority_decisive,majority_correct
1000.0,5.0,0.55,0.002,0.0,0.5815
1000.0,5.0,0.55,0.004,0.0,0.583
1000.0,5.0,0.55,0.006,0.001,0.6105
1000.0,5.0,0.55,0.008,0.036,0.6115
1000.0,5.0,0.55,0.01,0.129,0.5795
1000.0,5.0,0.55,0.012,0.268,0.5805
1000.0,5.0,0.55,0.014,0.377,0.5815
1000.0,5.0,0.55,0.016,0.511,0.6005
1000.0,5.0,0.55,0.018000000000000002,0.647,0.5805
1000.0,5.0,0.55,0.020000000000000004,0.709,0.591
1000.0,5.0,0.55,0.022,0.768,0.5985
1000.0,5.0,0.55,0.024,0.796,0.5935
1000.0,5.0,0.55,0.026000000000000002,0.818,0.5935
1000.0,5.0,0.55,0.028000000000000004,0.831,0.6075
1000.0,5.0,0.55,0.03,0.861,0.607
1000.0,5.0,0.55,0.032,0.887,0.6025
1000.0,5.0,0.55,0.034,0.897,0.6105
1000.0,5.0,0.55,0.036000000000000004,0.903,0.5925
1000.0,5.0,0.55,0.038000000000000006,0.931,0.6055
1000.0,5.0,0.55,0.04,0.926,0.6105
1000.0,5.0,0.55,0.042,0.936,0.619
1000.0,5.0,0.55,0.044000000000000004,0.935,0.6155
1000.0,5.0,0.55,0.046,0.929,0.609
1000.0,5.0,0.55,0.048,0.93,0.6145
1000.0,5.0,0.55,0.05,0.932,0.6155
1000.0,5.0,0.55,0.052000000000000005,0.938,0.6195
1000.0,5.0,0.55,0.054000000000000006,0.949,0.642
1000.0,5.0,0.55,0.056,0.945,0.6445
1000.0,5.0,0.55,0.058,0.941,0.618
1000.0,5.0,0.55,0.060000000000000005,0.932,0.6135
1000.0,5.0,0.55,0.062,0.947,0.6535
1000.0,5.0,0.55,0.064,0.963,0.64
1000.0,5.0,0.55,0.066,0.954,0.6515
1000.0,5.0,0.55,0.068,0.954,0.6255
1000.0,5.0,0.55,0.07,0.96,0.6345
1000.0,5.0,0.55,0.07200000000000001,0.956,0.6545
1000.0,5.0,0.55,0.07400000000000001,0.963,0.6305
1000.0,5.0,0.55,0.076,0.967,0.6585
1000.0,5.0,0.55,0.078,0.963,0.6525
1000.0,5.0,0.55,0.08,0.967,0.6495
1000.0,5.0,0.55,0.082,0.963,0.658
1000.0,5.0,0.55,0.084,0.963,0.6605
1000.0,5.0,0.55,0.08600000000000001,0.963,0.668
1000.0,5.0,0.55,0.08800000000000001,0.966,0.669
1000.0,5.0,0.55,0.09,0.973,0.6435
1000.0,5.0,0.55,0.092,0.962,0.6825
1000.0,5.0,0.55,0.094,0.978,0.6825
1000.0,5.0,0.55,0.096,0.964,0.6885
1000.0,5.0,0.55,0.098,0.965,0.684
1000.0,5.0,0.55,0.1,0.958,0.6965
1000.0,5.0,0.55,0.10200000000000001,0.965,0.6795
1000.0,5.0,0.55,0.10400000000000001,0.973,0.681
1000.0,5.0,0.55,0.10600000000000001,0.974,0.6945
1000.0,5.0,0.55,0.108,0.967,0.693
1000.0,5.0,0.55,0.11,0.968,0.6975
1000.0,5.0,0.55,0.112,0.97,0.6855
1000.0,5.0,0.55,0.114,0.967,0.698
1000.0,5.0,0.55,0.116,0.971,0.695
1000.0,5.0,0.55,0.11800000000000001,0.966,0.7215
1000.0,5.0,0.55,0.12000000000000001,0.968,0.698
1000.0,5.0,0.55,0.122,0.973,0.707
1000.0,5.0,0.55,0.124,0.974,0.7265
1000.0,5.0,0.55,0.126,0.968,0.7085
1000.0,5.0,0.55,0.128,0.962,0.7145
1000.0,5.0,0.55,0.13,0.971,0.7175
1000.0,5.0,0.55,0.132,0.971,0.728
1000.0,5.0,0.55,0.134,0.967,0.716
1000.0,5.0,0.55,0.136,0.962,0.7365
1000.0,5.0,0.55,0.138,0.975,0.7375
1000.0,5.0,0.55,0.14,0.981,0.713
1000.0,5.0,0.55,0.14200000000000002,0.982,0.747
1000.0,5.0,0.55,0.14400000000000002,0.972,0.7375
1000.0,5.0,0.55,0.14600000000000002,0.974,0.754
1000.0,5.0,0.55,0.148,0.972,0.742
1000.0,5.0,0.55,0.15,0.971,0.736
1000.0,5.0,0.55,0.152,0.972,0.7605
1000.0,5.0,0.55,0.154,0.967,0.745
1000.0,5.0,0.55,0.156,0.977,0.7555
1000.0,5.0,0.55,0.158,0.977,0.751
1000.0,5.0,0.55,0.16,0.971,0.7635
1000.0,5.0,0.55,0.162,0.971,0.7705
1000.0,5.0,0.55,0.164,0.982,0.7585
1000.0,5.0,0.55,0.166,0.974,0.7615
1000.0,5.0,0.55,0.168,0.981,0.7585
1000.0,5.0,0.55,0.17,0.977,0.774
1000.0,5.0,0.55,0.17200000000000001,0.98,0.782
1000.0,5.0,0.55,0.17400000000000002,0.982,0.7795
1000.0,5.0,0.55,0.17600000000000002,0.984,0.768
1000.0,5.0,0.55,0.178,0.967,0.7795
1000.0,5.0,0.55,0.18,0.974,0.7805
1000.0,5.0,0.55,0.182,0.98,0.785
1000.0,5.0,0.55,0.184,0.982,0.791
1000.0,5.0,0.55,0.186,0.984,0.788
1000.0,5.0,0.55,0.188,0.975,0.788
1000.0,5.0,0.55,0.19,0.982,0.8055
1000.0,5.0,0.55,0.192,0.974,0.779
1000.0,5.0,0.55,0.194,0.986,0.795
1000.0,5.0,0.55,0.196,0.977,0.7985
1000.0,5.0,0.55,0.198,0.975,0.7785
1000.0,5.0,0.6,0.002,0.0,0.6805
1000.0,5.0,0.6,0.004,0.0,0.6795
1000.0,5.0,0.6,0.006,0.0,0.6715
1000.0,5.0,0.6,0.008,0.0,0.6885
1000.0,5.0,0.6,0.01,0.0,0.688
1000.0,5.0,0.6,0.012,0.0,0.6795
1000.0,5.0,0.6,0.014,0.007,0.6875
1000.0,5.0,0.6,0.016,0.029,0.6745
1000.0,5.0,0.6,0.018000000000000002,0.076,0.6825
1000.0,5.0,0.6,0.020000000000000004,0.115,0.668
1000.0,5.0,0.6,0.022,0.184,0.6905
1000.0,5.0,0.6,0.024,0.284,0.677
1000.0,5.0,0.6,0.026000000000000002,0.376,0.6655
1000.0,5.0,0.6,0.028000000000000004,0.456,0.6845
1000.0,5.0,0.6,0.03,0.513,0.676
1000.0,5.0,0.6,0.032,0.564,0.675
1000.0,5.0,0.6,0.034,0.605,0.687
1000.0,5.0,0.6,0.036000000000000004,0.642,0.692
1000.0,5.0,0.6,0.038000000000000006,0.654,0.6775
1000.0,5.0,0.6,0.04,0.706,0.6705
1000.0,5.0,0.6,0.042,0.756,0.6975
1000.0,5.0,0.6,0.044000000000000004,0.769,0.6965
1000.0,5.0,0.6,0.046,0.8,0.6825
1000.0,5.0,0.6,0.048,0.831,0.6815
1000.0,5.0,0.6,0.05,0.827,0.6835
1000.0,5.0,0.6,0.052000000000000005,0.847,0.6985
1000.0,5.0,0.6,0.054000000000000006,0.867,0.675
1000.0,5.0,0.6,0.056,0.881,0.699
1000.0,5.0,0.6,0.058,0.897,0.6925
1000.0,5.0,0.6,0.060000000000000005,0.871,0.711
1000.0,5.0,0.6,0.062,0.907,0.703
1000.0,5.0,0.6,0.064,0.894,0.694
1000.0,5.0,0.6,0.066,0.907,0.7105
1000.0,5.0,0.6,0.068,0.91,0.6955
1000.0,5.0,0.6,0.07,0.924,0.7115
1000.0,5.0,0.6,0.07200000000000001,0.93,0.6805
1000.0,5.0,0.6,0.07400000000000001,0.913,0.7085
1000.0,5.0,0.6,0.076,0.922,0.69
1000.0,5.0,0.6,0.078,0.91,0.708
1000.0,5.0,0.6,0.08,0.922,0.73
1000.0,5.0,0.6,0.082,0.93,0.721
1000.0,5.0,0.6,0.084,0.947,0.7265
1000.0,5.0,0.6,0.08600000000000001,0.943,0.716
1000.0,5.0,0.6,0.08800000000000001,0.929,0.7255
1000.0,5.0,0.6,0.09,0.943,0.7045
1000.0,5.0,0.6,0.092,0.942,0.7075
1000.0,5.0,0.6,0.094,0.937,0.7245
1000.0,5.0,0.6,0.096,0.947,0.7175
1000.0,5.0,0.6,0.098,0.943,0.731
1000.0,5.0,0.6,0.1,0.948,0.728
1000.0,5.0,0.6,0.10200000000000001,0.955,0.7315
1000.0,5.0,0.6,0.10400000000000001,0.967,0.7175
1000.0,5.0,0.6,0.10600000000000001,0.955,0.742
1000.0,5.0,0.6,0.108,0.955,0.7375
1000.0,5.0,0.6,0.11,0.95,0.7385
1000.0,5.0,0.6,0.112,0.951,0.737
1000.0,5.0,0.6,0.114,0.969,0.743
1000.0,5.0,0.6,0.116,0.948,0.7275
1000.0,5.0,0.6,0.11800000000000001,0.96,0.7455
1000.0,5.0,0.6,0.12000000000000001,0.965,0.7515
1000.0,5.0,0.6,0.122,0.968,0.7375
1000.0,5.0,0.6,0.124,0.96,0.7505
1000.0,5.0,0.6,0.126,0.952,0.7665
1000.0,5.0,0.6,0.128,0.965,0.761
1000.0,5.0,0.6,0.13,0.966,0.756
1000.0,5.0,0.6,0.132,0.973,0.7615
1000.0,5.0,0.6,0.134,0.949,0.772
1000.0,5.0,0.6,0.136,0.969,0.761
1000.0,5.0,0.6,0.138,0.964,0.796
1000.0,5.0,0.6,0.14,0.97,0.766
1000.0,5.0,0.6,0.14200000000000002,0.964,0.7725
1000.0,5.0,0.6,0.14400000000000002,0.974,0.777
1000.0,5.0,0.6,0.14600000000000002,0.979,0.775
1000.0,5.0,0.6,0.148,0.975,0.792
1000.0,5.0,0.6,0.15,0.973,0.7785
1000.0,5.0,0.6,0.152,0.964,0.783
1000.0,5.0,0.6,0.154,0.971,0.7945
1000.0,5.0,0.6,0.156,0.966,0.7905
